experiment_id,organism_name,treatment_type,background_factors,omics_type,compartment,table_scope,table_scope_detail,is_time_course,coculture_partner,gene_count,distinct_gene_count,genes_by_status_significant_up,genes_by_status_significant_down,growth_phases,publication_doi,publication_title,experiment_name,treatment,control
10.1186/1471-2180-14-11_expression_profiling_med4_rnaseq,Prochlorococcus MED4,growth_phase,axenic | light,RNASEQ,whole_cell,,,False,,0,0,0,0,,10.1186/1471-2180-14-11,The transcriptome landscape of Prochlorococcus MED4 and the factors for stabilizing the core genome,MED4 steady-state expression profiling across growth conditions,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)","Multi-condition profiling (Pro99/AMP, exponential/stationary)"
10.1126/science.1243457_vesicle_proteomics_med4,Prochlorococcus MED4,compartment,axenic | light,VESICLE_PROTEOMICS,vesicle,significant_only,Proteins meeting Mascot >=97% identification probability with >=1 exclusive unique peptide; no whole-cell comparison reported.,False,,0,0,0,0,,10.1126/science.1243457,Bacterial Vesicles in Marine Ecosystems,"MED4 vesicle proteome (LC-MS/MS, presence + Mascot probability + PSORTb localization)",Vesicle fraction (extracellular),Whole cell (intracellular)
10.1126/science.1243457_vesicle_dnaseq_med4,Prochlorococcus MED4,compartment,axenic | light,VESICLE_DNASEQ,vesicle,top_n,Top 50 ORFs by average read coverage; full set of 1079 covered ORFs not in supplementary.,False,,0,0,0,0,,10.1126/science.1243457,Bacterial Vesicles in Marine Ecosystems,MED4 vesicle-encapsulated DNA-seq (top-50 ORFs by avg read coverage),Vesicle-encapsulated DNA fraction (DNase-protected),"None (vesicle DNA content profiling, no comparison)"
10.1126/science.1243457_vesicle_proteomics_mit9313,Prochlorococcus MIT9313,compartment,axenic | light,VESICLE_PROTEOMICS,vesicle,significant_only,Proteins meeting Mascot identification threshold with >=1 exclusive unique peptide; no whole-cell comparison reported.,False,,0,0,0,0,,10.1126/science.1243457,Bacterial Vesicles in Marine Ecosystems,"MIT9313 vesicle proteome (LC-MS/MS, presence + Mascot probability + PSORTb localization)",Vesicle fraction (extracellular),Whole cell (intracellular)
10.1371/journal.pone.0043432_waldbauer_2012_med4_paired_diel,Prochlorococcus MED4,diel,axenic,PAIRED_RNASEQ_PROTEOME,whole_cell,,,False,,0,0,0,0,,10.1371/journal.pone.0043432,Transcriptome and Proteome Dynamics of a Light-Dark Synchronized Bacterial Cell Cycle,MED4 diel paired transcript-protein analysis (Waldbauer 2012),Light-dark synchronized diel cycle (14:10),
10.1186/2046-9063-8-7_pi_limitation_mit9312_itraq,Prochlorococcus MIT9312,phosphorus,light | axenic,PROTEOMICS,whole_cell,significant_only,Only proteins reaching the paper^s fold-change cutoff (>1.6 or <0.6) are reported in S1.,False,,38,38,4,4,stationary,10.1186/2046-9063-8-7,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,MIT9312 proteomics: Pi replete vs Pi deplete (iTRAQ),Phosphate deplete (10 uM NaH2PO4),Phosphate replete (50 uM NaH2PO4)
10.1186/2046-9063-8-7_pi_limitation_natl2a_itraq,Prochlorococcus NATL2A,phosphorus,light | axenic,PROTEOMICS,whole_cell,significant_only,Only proteins reaching the paper^s fold-change cutoff (>1.6 or <0.6) are reported in S1.,False,,63,63,0,61,exponential,10.1186/2046-9063-8-7,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,NATL2A proteomics: Pi replete vs Pi deplete (iTRAQ),Phosphate deplete (10 uM NaH2PO4),Phosphate replete (50 uM NaH2PO4)
10.1186/2046-9063-8-7_pi_limitation_ss120_itraq,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),phosphorus,light | axenic,PROTEOMICS,whole_cell,significant_only,Only proteins reaching the paper^s fold-change cutoff (>1.6 or <0.6) are reported in S1.,False,,34,34,4,1,stationary,10.1186/2046-9063-8-7,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,SS120 proteomics: Pi replete vs Pi deplete (iTRAQ),Phosphate deplete (10 uM NaH2PO4),Phosphate replete (50 uM NaH2PO4)
10.1038/ismej.2011.49_iron_iron_starvation_med4_med4_microarray_light_2,Prochlorococcus MED4,iron,axenic | light,MICROARRAY,whole_cell,significant_any_timepoint,,False,,112,112,60,32,nutrient_limited,10.1038/ismej.2011.49,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,MED4 Iron starvation (MED4) vs Iron-replete control (MED4) (MICROARRAY),Iron starvation (MED4),Iron-replete control (MED4)
10.1038/ismej.2011.49_iron_iron_starvation_med4_med4_microarray_light,Prochlorococcus MED4,iron,axenic | light,MICROARRAY,whole_cell,significant_any_timepoint,,True,,224,112,90,35,acute_stress,10.1038/ismej.2011.49,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,MED4 Iron starvation (MED4) vs Iron-replete control (MED4) (MICROARRAY),Iron starvation (MED4),Iron-replete control (MED4)
10.1038/ismej.2011.49_growth_medium_ironreplete_control_med4_med4_microarray,Prochlorococcus MED4,iron,axenic | light,MICROARRAY,whole_cell,significant_any_timepoint,,False,,112,112,40,66,recovery,10.1038/ismej.2011.49,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,MED4 Iron-replete control (MED4) vs Iron starvation (MED4) (MICROARRAY),Iron-replete control (MED4),Iron starvation (MED4)
10.1038/ismej.2011.49_iron_iron_starvation_mit9313_mit9313_microarray,Prochlorococcus MIT9313,iron,axenic | light,MICROARRAY,whole_cell,significant_any_timepoint,,True,,294,98,68,48,nutrient_limited | acute_stress,10.1038/ismej.2011.49,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,MIT9313 Iron starvation (MIT9313) vs Iron-replete control (MIT9313) (MICROARRAY),Iron starvation (MIT9313),Iron-replete control (MIT9313)
10.1038/ismej.2011.49_growth_medium_ironreplete_control_mit9313_mit9313_microarray,Prochlorococcus MIT9313,iron,axenic | light,MICROARRAY,whole_cell,significant_any_timepoint,,False,,98,98,11,35,recovery,10.1038/ismej.2011.49,Transcriptome response of high- and low-light-adapted Prochlorococcus strains to changing iron availability,MIT9313 Iron-replete control (MIT9313) vs Iron starvation (MIT9313) (MICROARRAY),Iron-replete control (MIT9313),Iron starvation (MIT9313)
10.1371/journal.pone.0005135_diel_cycling_med4_microarray,Prochlorococcus MED4,diel,axenic | diel,MICROARRAY,whole_cell,,,False,,0,0,0,0,,10.1371/journal.pone.0005135,"Choreography of the Transcriptome, Photophysiology, and Cell Cycle of a Minimal Photoautotroph, Prochlorococcus",MED4 diel gene expression profiling over 48h light-dark cycle,Simulated diel light-dark cycle (14h light : 10h dark) over 48 hours,Time-series — each timepoint vs mean expression
10.1038/nature06130_viral_phage_infected_med4_microarray,Prochlorococcus MED4,viral,light,MICROARRAY,whole_cell,significant_only,Upregulated genes only,True,Phage,360,45,117,0,infected,10.1038/nature06130,Genome-wide expression dynamics of a marine virus and host reveal features of co-evolution,MED4 Phage infected vs Pro99 medium phage infection baseline (MICROARRAY),Phage infected,Pro99 medium phage infection baseline
10.1021/pr060460c_light_HL_vs_LL_med4_proteomics,Prochlorococcus MED4,light,axenic | diel,PROTEOMICS,whole_cell,all_detected_genes,All proteins quantified in either iTRAQ1 or iTRAQ2 are reported (~184 unique proteins; ~11% of MED4 coding genes); only ~15 reach the paper^s combined logFC + p-value + error-factor + relative-variance significance criteria.,False,,179,179,11,5,acclimated_steady_state,10.1021/pr060460c,A Quantitative Proteomic Analysis of Light Adaptation in a Globally Significant Marine Cyanobacterium Prochlorococcus marinus MED4,MED4 proteomics: high light (100 uE) vs low light (20 uE) (iTRAQ),High light (100 umol photons m-2 s-1),Low light (20 umol photons m-2 s-1)
10.1021/pr060460c_light_ML_vs_LL_med4_proteomics,Prochlorococcus MED4,light,axenic | diel,PROTEOMICS,whole_cell,all_detected_genes,All proteins quantified in either iTRAQ1 or iTRAQ2 are reported (~184 unique proteins; ~11% of MED4 coding genes).,False,,178,178,12,6,acclimated_steady_state,10.1021/pr060460c,A Quantitative Proteomic Analysis of Light Adaptation in a Globally Significant Marine Cyanobacterium Prochlorococcus marinus MED4,MED4 proteomics: medium light (60 uE) vs low light (20 uE) (iTRAQ),Medium light (60 umol photons m-2 s-1),Low light (20 umol photons m-2 s-1)
10.1128/JB.01097-06_light_stress_blue_light_13_umol_med4_microarray,Prochlorococcus MED4,light,axenic,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,64,40,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 Blue light (13 umol photons m-2 s-1) vs Darkness control (MICROARRAY),Blue light (13 umol photons m-2 s-1),Darkness control
10.1128/JB.01097-06_light_stress_dcmu_white_light_13_med4_microarray,Prochlorococcus MED4,light,axenic | chemical,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,2,7,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 DCMU + white light (13 umol photons m-2 s-1) vs White light (13 umol photons m-2 s-1) (MICROARRAY),DCMU + white light (13 umol photons m-2 s-1),White light (13 umol photons m-2 s-1)
10.1128/JB.01097-06_light_stress_green_light_13_umol_med4_microarray,Prochlorococcus MED4,light,axenic,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,1,1,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 Green light (13 umol photons m-2 s-1) vs Darkness control (MICROARRAY),Green light (13 umol photons m-2 s-1),Darkness control
10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,Prochlorococcus MED4,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,False,,1697,1697,20,23,exponential,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MED4 Growth on cyanate as sole N source (MED4) vs N-replete Pro99 medium (MED4) (MICROARRAY),Growth on cyanate as sole N source (MED4),N-replete Pro99 medium (MED4)
10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,Prochlorococcus MED4,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,False,,1697,1697,18,14,exponential,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MED4 Growth on urea as sole N source (MED4) vs N-replete Pro99 medium (MED4) (MICROARRAY),Growth on urea as sole N source (MED4),N-replete Pro99 medium (MED4)
10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,Prochlorococcus MED4,light,axenic,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,115,59,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 High white light (55 umol photons m-2 s-1) vs Darkness control (MICROARRAY),High white light (55 umol photons m-2 s-1),Darkness control
10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,Prochlorococcus MED4,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,True,,10182,1697,392,476,acute_stress,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MED4 Nitrogen deprivation (MED4) vs N-replete Pro99 medium (MED4) (MICROARRAY),Nitrogen deprivation (MED4),N-replete Pro99 medium (MED4)
10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,Prochlorococcus MED4,phosphorus,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes with q < 0.05 at t=48h, all timepoints reported",True,,170,34,48,6,nutrient_limited | acute_stress | exponential,10.1073/pnas.0601301103,Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation,MED4 Phosphate starvation vs P-replete Pro99 medium (MICROARRAY),Phosphate starvation,P-replete Pro99 medium
10.1128/JB.01097-06_light_stress_red_light_13_umol_med4_microarray,Prochlorococcus MED4,light,axenic,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,22,3,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 Red light (13 umol photons m-2 s-1) vs Darkness control (MICROARRAY),Red light (13 umol photons m-2 s-1),Darkness control
10.1128/JB.01097-06_light_stress_white_light_13_umol_med4_microarray,Prochlorococcus MED4,light,axenic,MICROARRAY,whole_cell,filtered_subset,"Genes significant in any of 6 light conditions, all conditions in single table",False,,198,198,69,3,acute_stress,10.1128/JB.01097-06,Genome-Wide Analysis of Light Sensing in Prochlorococcus/H17188,MED4 White light (13 umol photons m-2 s-1) vs Darkness control (MICROARRAY),White light (13 umol photons m-2 s-1),Darkness control
10.1038/msb4100087_growth_medium_growth_on_nitrite_as_mit9313_microarray,Prochlorococcus MIT9313,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,False,,2241,2241,12,8,exponential,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MIT9313 Growth on nitrite as sole N source (MIT9313) vs N-replete Pro99 medium (MIT9313) (MICROARRAY),Growth on nitrite as sole N source (MIT9313),N-replete Pro99 medium (MIT9313)
10.1038/msb4100087_growth_medium_growth_on_urea_as_mit9313_microarray,Prochlorococcus MIT9313,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,False,,2241,2241,49,61,exponential,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MIT9313 Growth on urea as sole N source (MIT9313) vs N-replete Pro99 medium (MIT9313) (MICROARRAY),Growth on urea as sole N source (MIT9313),N-replete Pro99 medium (MIT9313)
10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,Prochlorococcus MIT9313,nitrogen,axenic | light,MICROARRAY,whole_cell,all_detected_genes,,True,,13446,2241,305,604,acute_stress,10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,MIT9313 Nitrogen deprivation (MIT9313) vs N-replete Pro99 medium (MIT9313) (MICROARRAY),Nitrogen deprivation (MIT9313),N-replete Pro99 medium (MIT9313)
10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,Prochlorococcus MIT9313,phosphorus,axenic | light,MICROARRAY,whole_cell,filtered_subset,"Genes with q < 0.05 at t=48h, all timepoints reported",True,,708,177,39,143,acute_stress | exponential,10.1073/pnas.0601301103,Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation,MIT9313 Phosphate starvation vs P-replete Pro99 medium (MICROARRAY),Phosphate starvation,P-replete Pro99 medium
