locus_tag,gene_name,derived_metric_id,value_kind,name,rankable,has_p_value,rank_by_metric,metric_percentile,metric_bucket,metric_type,field_description,unit,allowed_categories,compartment,treatment_type,background_factors,publication_doi,treatment,light_condition,experimental_context
PMM1028,,derived_metric:ismej.2015.36:s2_concordance_low_co2_no_o2:expression_change_low_co2_no_o2_shock,categorical,MED4 expression change under -CO2/-O2 shock (Bagby 2015 Table S2),False,False,,,,expression_change_low_co2_no_o2_shock,"Direction of initial change under -CO2/-O2 shock as indicated by cluster membership (cluster 1 = up; clusters 2,3,4 = down).",,up | down | -,whole_cell,carbon,axenic | light,10.1038/ismej.2015.36,Low CO2 and no O2 (0.004% CO2 / 0% O2),continuous light,"Pro99 medium, mid-exponential phase, constant light 60 umol photons m-2 s-1, 21C. Highest FC across timepoints (3h, 6h, 9h, 12h, 18h, 24h)."
PMM1436,groL1,derived_metric:science.1243457:s2_med4_vesicle_proteome:vesicle_proteome_member,boolean,MED4 protein detected in vesicle proteome (Biller 2014 Table S2),False,False,,,,vesicle_proteome_member,Boolean flag: protein identified in MED4 vesicle proteome by LC-MS/MS (Mascot >=97% identification probability with >=1 exclusive unique peptide).,,,vesicle,compartment,axenic | light,10.1126/science.1243457,Vesicle fraction (extracellular),continuous light,"20 L axenic MED4 culture; vesicles isolated by tangential flow filtration + OptiPrep gradient; SDS-PAGE band, trypsin digest, LTQ LC-MS/MS, Mascot search; PSORTb subcellular-localization prediction. Table S2 lists the proteins identified at >=97% Mascot identification probability with at least one exclusive unique peptide."
PMM1436,groL1,derived_metric:1471-2180-14-11:med4_expression_level:expression_level_class,categorical,MED4 RPKM expression-level class (Wang 2014),False,False,,,,expression_level_class,"Per-gene expression-level class assigned from RPKM quartiles aggregated across 10 RNA-seq samples (MED4 in Pro99 and AMP media, exponential and log-phase; 21C, continuous light at 28 umol quanta m-2 s-1). Class meanings reported in Wang 2014: VEG = very highly expressed (top RPKM quartile across conditions); HEG = highly expressed, enriched for COG ""C"" energy production and conversion, ""J"" translation and ribosomal structure, and ""O"" protein modification, folding and turnover (Figure 4c) and showing significantly lower nonsynonymous substitution rate (Ka) than MEG or LEG (P<0.001, Figure 3a); MEG = moderately expressed, significantly enriched for essential genes with homologs in the Database of Essential Genes (DEG-hit rate, P<0.001, Figure 4b); LEG = lowly expressed, slightly enriched for COG ""R"" general function (P=0.023); NEG = not expressed, under-represented in the core genome (1.5% core vs 6.6% flexible, P<0.001, Figure 3c); -- = unclassified (RPKM did not fit any quartile bin).",,VEG | HEG | MEG | LEG | NEG | --,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1436,groL1,derived_metric:1471-2180-14-11:med4_expression_level:pangenome_membership,categorical,MED4 core vs flexible genome assignment (Wang 2014),False,False,,,,pangenome_membership,"Pangenome membership for each MED4 CDS gene. Core = present across sequenced Prochlorococcus genomes (Prochlorococcus core gene set); Flexible = strain-specific or variably present across Prochlorococcus genomes (flexible/accessory gene set). Wang 2014 reports that the core genome contains significantly fewer NEG and VEG genes than the flexible genome (NEG: 1.5% < 6.6%; VEG: 49.6% < 64.6%; both P<0.001, Figure 3c), indicating that conserved core genes cluster around moderate expression while flexible genes are enriched at the high and low extremes.",,Core | Flexible,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1436,groL1,derived_metric:science.1243457:s2_med4_vesicle_proteome:predicted_subcellular_localization,categorical,MED4 vesicle protein PSORTb predicted localization (Biller 2014 Table S2),False,False,,,,predicted_subcellular_localization,PSORTb-predicted subcellular localization for proteins in the MED4 vesicle proteome.,,Cytoplasmic | Cytoplasmic Membrane | Periplasmic | Outer Membrane | Extracellular | Unknown,vesicle,compartment,axenic | light,10.1126/science.1243457,Vesicle fraction (extracellular),continuous light,"20 L axenic MED4 culture; vesicles isolated by tangential flow filtration + OptiPrep gradient; SDS-PAGE band, trypsin digest, LTQ LC-MS/MS, Mascot search; PSORTb subcellular-localization prediction. Table S2 lists the proteins identified at >=97% Mascot identification probability with at least one exclusive unique peptide."
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:damping_ratio,numeric,Transcript:protein amplitude ratio,True,False,75.0,76.20578778135048,top_quartile,damping_ratio,Ratio of transcript log2-amplitude to protein log2-amplitude. Higher = stronger damping of transcript oscillations at the protein level (post-transcriptional buffering).,,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:diel_amplitude_protein_log2,numeric,Protein amplitude (log2),True,False,267.0,14.469453376205788,low,diel_amplitude_protein_log2,log2 peak-to-trough amplitude of protein abundance across the diel cycle. Higher = stronger protein oscillation.,log2,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:diel_amplitude_transcript_log2,numeric,Transcript amplitude (log2),True,False,186.0,40.51446945337621,mid,diel_amplitude_transcript_log2,log2 peak-to-trough amplitude of transcript abundance across the diel cycle. Higher = stronger mRNA oscillation.,log2,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:peak_time_protein_h,numeric,Time of peak protein abundance (h),False,False,,,,peak_time_protein_h,"Clock-hour at which protein abundance peaks across the 14:10 diel cycle (0-24h). Phase metric (circular), not a magnitude — not rankable.",hours,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:peak_time_transcript_h,numeric,Time of peak transcript abundance (h),False,False,,,,peak_time_transcript_h,"Clock-hour at which mRNA abundance peaks across the 14:10 diel cycle (0-24h). Phase metric (circular), not a magnitude — not rankable.",hours,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:journal.pone.0043432:table_s2_waldbauer_diel_metrics:protein_transcript_lag_h,numeric,Protein-transcript lag (h),True,False,165.0,47.266881028938904,mid,protein_transcript_lag_h,"Lag between transcript peak and protein peak (protein_peak - transcript_peak, mod 24h). Higher = greater post-transcriptional / translational delay.",hours,,whole_cell,diel,axenic,10.1371/journal.pone.0043432,Light-dark synchronized diel cycle (14:10),14:10 light:dark cycle,"Derived per-gene metrics (phase, amplitude, lag, damping) from paired mRNA (RNA-seq) and protein (LC-MS 14N/15N SILAC) time courses sampled every 2h over 26h for 312 significantly cycling genes"
PMM1436,groL1,derived_metric:science.1243457:s2_med4_vesicle_proteome:mascot_identification_probability,numeric,MED4 vesicle protein Mascot identification probability (Biller 2014 Table S2),False,False,,,,mascot_identification_probability,"Mascot peptide-identification probability (%) for the protein in the MED4 vesicle proteome; quality score, not abundance. Cutoff was 97%.",percent,,vesicle,compartment,axenic | light,10.1126/science.1243457,Vesicle fraction (extracellular),continuous light,"20 L axenic MED4 culture; vesicles isolated by tangential flow filtration + OptiPrep gradient; SDS-PAGE band, trypsin digest, LTQ LC-MS/MS, Mascot search; PSORTb subcellular-localization prediction. Table S2 lists the proteins identified at >=97% Mascot identification probability with at least one exclusive unique peptide."
PMM1683,,derived_metric:1471-2180-14-11:med4_expression_level:expression_level_class,categorical,MED4 RPKM expression-level class (Wang 2014),False,False,,,,expression_level_class,"Per-gene expression-level class assigned from RPKM quartiles aggregated across 10 RNA-seq samples (MED4 in Pro99 and AMP media, exponential and log-phase; 21C, continuous light at 28 umol quanta m-2 s-1). Class meanings reported in Wang 2014: VEG = very highly expressed (top RPKM quartile across conditions); HEG = highly expressed, enriched for COG ""C"" energy production and conversion, ""J"" translation and ribosomal structure, and ""O"" protein modification, folding and turnover (Figure 4c) and showing significantly lower nonsynonymous substitution rate (Ka) than MEG or LEG (P<0.001, Figure 3a); MEG = moderately expressed, significantly enriched for essential genes with homologs in the Database of Essential Genes (DEG-hit rate, P<0.001, Figure 4b); LEG = lowly expressed, slightly enriched for COG ""R"" general function (P=0.023); NEG = not expressed, under-represented in the core genome (1.5% core vs 6.6% flexible, P<0.001, Figure 3c); -- = unclassified (RPKM did not fit any quartile bin).",,VEG | HEG | MEG | LEG | NEG | --,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
PMM1683,,derived_metric:1471-2180-14-11:med4_expression_level:pangenome_membership,categorical,MED4 core vs flexible genome assignment (Wang 2014),False,False,,,,pangenome_membership,"Pangenome membership for each MED4 CDS gene. Core = present across sequenced Prochlorococcus genomes (Prochlorococcus core gene set); Flexible = strain-specific or variably present across Prochlorococcus genomes (flexible/accessory gene set). Wang 2014 reports that the core genome contains significantly fewer NEG and VEG genes than the flexible genome (NEG: 1.5% < 6.6%; VEG: 49.6% < 64.6%; both P<0.001, Figure 3c), indicating that conserved core genes cluster around moderate expression while flexible genes are enriched at the high and low extremes.",,Core | Flexible,whole_cell,growth_phase,axenic | light,10.1186/1471-2180-14-11,"Multiple growth conditions (Pro99 and AMP media, exponential and log-phase)",continuous light,RNA-seq across 10 samples from MED4 grown in Pro99 and AMP media at exponential and log-phase; RPKM quartiles used to classify genes by expression level; 21C under continuous light at 28 umol quanta m-2 s-1
