marker_id,tier,gene_name,product,gene_category,strain,clade,organism,locus_tag,protein_accession,protein_length_aa,sequence_available,is_medoid,locus_block,mean_identity_to_siblings_pct,min_pairwise_identity_pct,shared_domain_in_a_genome,cross_aligns_another_marker,caution,ortholog_groups
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0504,WP_011618463.1,165,True,True,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0460,WP_006850994.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2009,WP_011128867.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08951,WP_009788996.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m006,1_annotated,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0492,WP_011932406.1,165,True,False,B19,90.9,82.3,True,True,,cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0505,WP_041426329.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0461,WP_006850273.1,178,True,True,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2008,WP_011128866.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08956,WP_037988737.1,178,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m007,1_annotated,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0493,WP_011932407.1,181,True,False,B19,90.8,79.0,True,True,,cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,CC9311,I,Synechococcus CC9311,SYNC_RS02450,WP_041426330.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0465,WP_071823037.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH8102,III,Synechococcus WH8102,TX72_RS10080,WP_042503822.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_08976,WP_009789001.1,73,True,True,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0496,WP_011932410.1,196,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m020,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_2842,WP_011620730.1,66,True,False,,45.4,33.9,False,False,,cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2
m020,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_1103,WP_025362228.1,63,True,True,,45.4,33.9,False,False,,cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2
m020,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,S8102_15941,,,False,False,,45.4,33.9,False,False,,cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2
m020,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_11491,WP_009789481.1,63,True,False,,45.4,33.9,False,False,,cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2
m020,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0887,,,False,False,,45.4,33.9,False,False,,cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2
m045,2_exploratory,,uncharacterized conserved secreted protein,Unknown,CC9311,I,Synechococcus CC9311,sync_1789,WP_011619706.1,51,True,True,,64.7,56.5,False,False,,cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2
m045,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_1619,WP_006851686.1,77,True,False,,64.7,56.5,False,False,,cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2
m045,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW2557,,,False,False,,64.7,56.5,False,False,,cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2
m045,2_exploratory,,uncharacterized conserved secreted protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_RS08895,WP_037988405.1,81,True,False,,64.7,56.5,False,False,,cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2
m045,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0844,WP_011932752.1,67,True,False,,64.7,56.5,False,False,,cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2
m048,2_exploratory,,putative membrane protein,Cell wall and membrane,CC9311,I,Synechococcus CC9311,sync_0527,,,False,False,,,,False,False,,cyanorak:CK_00002723
m048,2_exploratory,,putative membrane protein,Cell wall and membrane,WH8109,II,Synechococcus WH8109,Syncc8109_0497,,,False,False,,,,False,False,,cyanorak:CK_00002723
m048,2_exploratory,,putative membrane protein,Cell wall and membrane,WH8102,III,Synechococcus WH8102,S8102_22071,,,False,False,,,,False,False,,cyanorak:CK_00002723
m048,2_exploratory,,putative membrane protein,Cell wall and membrane,BL107,IV,Synechococcus sp. BL107,SynBL107_50002,,,False,False,,,,False,False,,cyanorak:CK_00002723
m048,2_exploratory,,putative membrane protein,Cell wall and membrane,WH7803,V,Synechococcus WH7803,SynWH7803_2545,,,False,False,,,,False,False,,cyanorak:CK_00002723
m013,2_exploratory,,uncharacterized conserved membrane protein,Cell wall and membrane,CC9311,I,Synechococcus CC9311,sync_0207,WP_041426281.1,104,True,False,B01,63.2,46.1,False,False,,cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2
m013,2_exploratory,,uncharacterized conserved membrane protein,Cell wall and membrane,WH8109,II,Synechococcus WH8109,Syncc8109_0163,WP_006851771.1,116,True,False,B01,63.2,46.1,False,False,,cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2
m013,2_exploratory,,uncharacterized conserved membrane protein,Cell wall and membrane,WH8102,III,Synechococcus WH8102,SYNW0158,WP_011127034.1,106,True,False,B01,63.2,46.1,False,False,,cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2
m013,2_exploratory,,uncharacterized conserved membrane protein,Cell wall and membrane,BL107,IV,Synechococcus sp. BL107,BL107_05734,WP_009788374.1,105,True,True,B01,63.2,46.1,False,False,,cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2
m013,2_exploratory,,uncharacterized conserved membrane protein,Cell wall and membrane,WH7803,V,Synechococcus WH7803,SynWH7803_0211,WP_011932141.1,101,True,False,B01,63.2,46.1,False,False,,cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2
m051,2_exploratory,,uncharacterized conserved membrane protein,Unknown,CC9311,I,Synechococcus CC9311,sync_0322,WP_041426303.1,165,True,False,B02,59.6,48.4,False,False,,eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2
m051,2_exploratory,,uncharacterized conserved membrane protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_RS12765,WP_025362043.1,167,True,False,B02,59.6,48.4,False,False,,eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2
m051,2_exploratory,,uncharacterized conserved membrane protein,Unknown,WH8102,III,Synechococcus WH8102,TX72_RS14610,WP_071820816.1,167,True,False,B02,59.6,48.4,False,False,,eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2
m051,2_exploratory,,uncharacterized conserved membrane protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_07994,WP_009788816.1,167,True,False,B02,59.6,48.4,False,False,,eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2
m051,2_exploratory,,uncharacterized conserved membrane protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0325,WP_011932251.1,156,True,True,B02,59.6,48.4,False,False,,eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,CC9311,I,Synechococcus CC9311,sync_0829,WP_041426401.1,82,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8109,II,Synechococcus WH8109,Syncc8109_2223,WP_006850125.1,87,True,True,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8102,III,Synechococcus WH8102,SYNW0541,WP_011127410.1,87,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,BL107,IV,Synechococcus sp. BL107,BL107_16460,WP_009790448.1,87,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH7803,V,Synechococcus WH7803,SynWH7803_1682,WP_011933580.1,85,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m043,2_exploratory,,putative membrane protein,Cell wall and membrane,CC9311,I,Synechococcus CC9311,sync_2266,WP_011620175.1,256,True,False,B04,71.6,46.9,False,False,,cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2
m043,2_exploratory,,putative membrane protein,Cell wall and membrane,WH8109,II,Synechococcus WH8109,Syncc8109_2238,WP_006852088.1,245,True,False,B04,71.6,46.9,False,False,,cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2
m043,2_exploratory,,putative membrane protein,Cell wall and membrane,WH8102,III,Synechococcus WH8102,SYNW0528,WP_011127398.1,94,True,True,B04,71.6,46.9,False,False,,cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2
m043,2_exploratory,,putative membrane protein,Cell wall and membrane,BL107,IV,Synechococcus sp. BL107,BL107_16525,WP_009790461.1,242,True,False,B04,71.6,46.9,False,False,,cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2
m043,2_exploratory,,putative membrane protein,Cell wall and membrane,WH7803,V,Synechococcus WH7803,SynWH7803_1986,WP_011933881.1,257,True,False,B04,71.6,46.9,False,False,,cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2
m039,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,CC9311,I,Synechococcus CC9311,sync_0923,WP_041426936.1,79,True,False,B05,58.3,36.9,False,False,,cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2
m039,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8109,II,Synechococcus WH8109,Syncc8109_2067,WP_006851314.1,73,True,True,B05,58.3,36.9,False,False,,cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2
m039,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8102,III,Synechococcus WH8102,SYNW0700,WP_011127567.1,76,True,False,B05,58.3,36.9,False,False,,cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2
m039,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,BL107,IV,Synechococcus sp. BL107,BL107_15615,WP_232192989.1,68,True,False,B05,58.3,36.9,False,False,,cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2
m039,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH7803,V,Synechococcus WH7803,SynWH7803_1619,WP_011933520.1,81,True,False,B05,58.3,36.9,False,False,,cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2
m037,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_0982,WP_237699279.1,145,True,False,B06,51.1,38.2,False,False,,cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2
m037,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_2031,WP_006850973.1,148,True,False,B06,51.1,38.2,False,False,,cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2
m037,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0734,WP_011127599.1,152,True,True,B06,51.1,38.2,False,False,,cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2
m037,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_15405,WP_009790246.1,146,True,False,B06,51.1,38.2,False,False,,cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2
m037,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_1578,WP_011933481.1,153,True,False,B06,51.1,38.2,False,False,,cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,CC9311,I,Synechococcus CC9311,sync_0981,WP_011618916.1,68,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8109,II,Synechococcus WH8109,Syncc8109_2032,WP_006850367.1,69,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8102,III,Synechococcus WH8102,TX72_RS03575,WP_042503137.1,67,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,BL107,IV,Synechococcus sp. BL107,BL107_15410,WP_037989016.1,69,True,True,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH7803,V,Synechococcus WH7803,SynWH7803_1579,WP_011933482.1,68,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m052,2_exploratory,,uncharacterized conserved secreted protein,Unknown,CC9311,I,Synechococcus CC9311,sync_0985,WP_011618920.1,184,True,False,B06,55.0,0.0,False,False,,eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2
m052,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_2028,WP_052328033.1,162,True,True,B06,55.0,0.0,False,False,,eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2
m052,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8102,III,Synechococcus WH8102,TX72_RS14675,WP_225867735.1,69,True,False,B06,55.0,0.0,False,False,,eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2
m052,2_exploratory,,uncharacterized conserved secreted protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_15390,WP_009790243.1,168,True,False,B06,55.0,0.0,False,False,,eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2
m052,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_1575,WP_011933478.1,183,True,False,B06,55.0,0.0,False,False,,eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2
m036,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_1710,WP_011619627.1,109,True,False,B07,62.5,53.2,False,False,,cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2
m036,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0817,WP_025362170.1,95,True,True,B07,62.5,53.2,False,False,,cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2
m036,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0786,WP_011127651.1,107,True,False,B07,62.5,53.2,False,False,,cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2
m036,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_15090,WP_009790184.1,95,True,False,B07,62.5,53.2,False,False,,cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2
m036,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_1150,WP_083833632.1,116,True,False,B07,62.5,53.2,False,False,,cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_2062,WP_011619977.1,80,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0908,WP_006851999.1,83,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0869,WP_011127734.1,83,True,True,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_14640,WP_009790096.1,89,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0946,WP_011932854.1,81,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m035,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_1182,WP_011619113.1,110,True,False,B08,82.8,63.3,False,False,,cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2
m035,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0887,WP_006849924.1,105,True,False,B08,82.8,63.3,False,False,,cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2
m035,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0849,WP_042503207.1,101,True,True,B08,82.8,63.3,False,False,,cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2
m035,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_14730,WP_009790113.1,125,True,False,B08,82.8,63.3,False,False,,cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2
m035,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_1410,WP_011933314.1,98,True,False,B08,82.8,63.3,False,False,,cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2
m046,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_1841,WP_237699197.1,175,True,False,B08,63.3,47.7,False,False,,cyanorak:CK_00001902;eggnog:1GNAB@1117;eggnog:1H0MW@1129;eggnog:30S5U@2
m046,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0910,WP_232202456.1,170,True,True,B08,63.3,47.7,False,False,,cyanorak:CK_00001902;eggnog:1GNAB@1117;eggnog:1H0MW@1129;eggnog:30S5U@2
m046,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0871,WP_011127736.1,167,True,False,B08,63.3,47.7,False,False,,cyanorak:CK_00001902;eggnog:1GNAB@1117;eggnog:1H0MW@1129;eggnog:30S5U@2
