marker_id,tier,gene_name,product,gene_category,strain,clade,organism,locus_tag,protein_accession,protein_length_aa,sequence_available,is_medoid,locus_block,mean_identity_to_siblings_pct,min_pairwise_identity_pct,shared_domain_in_a_genome,cross_aligns_another_marker,caution,ortholog_groups
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,CC9311,I,Synechococcus CC9311,sync_0492,WP_011618451.1,200,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH8109,II,Synechococcus WH8109,Syncc8109_0442,WP_006849863.1,203,True,True,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH8102,III,Synechococcus WH8102,SYNW2019,WP_144416645.1,193,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,BL107,IV,Synechococcus sp. BL107,BL107_08896,WP_037988036.1,205,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m002,1_annotated,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,WH7803,V,Synechococcus WH7803,SynWH7803_0483,WP_011932397.1,201,True,False,B19,74.0,65.5,False,False,,cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,CC9311,I,Synechococcus CC9311,SYNC_RS02450,WP_041426330.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0465,WP_071823037.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH8102,III,Synechococcus WH8102,TX72_RS10080,WP_042503822.1,77,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_08976,WP_009789001.1,73,True,True,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m011,1_annotated,unk7,nif11-like leader peptide domain protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0496,WP_011932410.1,196,True,False,B19,60.5,48.1,True,True,"73 aa and 48% minimum pairwise identity; short and divergent, weak query",cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,CC9311,I,Synechococcus CC9311,sync_2062,WP_011619977.1,80,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_0908,WP_006851999.1,83,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW0869,WP_011127734.1,83,True,True,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_14640,WP_009790096.1,89,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m034,2_exploratory,,conserved hypothetical protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_0946,WP_011932854.1,81,True,False,B08,77.6,70.3,False,False,,cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2
m027,2_exploratory,,uncharacterized conserved secreted protein,Unknown,CC9311,I,Synechococcus CC9311,sync_1360,WP_011619285.1,104,True,False,B12,78.5,69.3,False,False,,cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2
m027,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8109,II,Synechococcus WH8109,Syncc8109_1296,WP_006850242.1,95,True,False,B12,78.5,69.3,False,False,,cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2
m027,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH8102,III,Synechococcus WH8102,SYNW1245,WP_011128109.1,95,True,True,B12,78.5,69.3,False,False,,cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2
m027,2_exploratory,,uncharacterized conserved secreted protein,Unknown,BL107,IV,Synechococcus sp. BL107,BL107_12965,WP_009789768.1,95,True,False,B12,78.5,69.3,False,False,,cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2
m027,2_exploratory,,uncharacterized conserved secreted protein,Unknown,WH7803,V,Synechococcus WH7803,SynWH7803_1270,WP_011933176.1,100,True,False,B12,78.5,69.3,False,False,,cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,CC9311,I,Synechococcus CC9311,sync_0829,WP_041426401.1,82,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8109,II,Synechococcus WH8109,Syncc8109_2223,WP_006850125.1,87,True,True,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8102,III,Synechococcus WH8102,SYNW0541,WP_011127410.1,87,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,BL107,IV,Synechococcus sp. BL107,BL107_16460,WP_009790448.1,87,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m042,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH7803,V,Synechococcus WH7803,SynWH7803_1682,WP_011933580.1,85,True,False,B04,78.3,64.4,False,False,,cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,CC9311,I,Synechococcus CC9311,sync_0981,WP_011618916.1,68,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8109,II,Synechococcus WH8109,Syncc8109_2032,WP_006850367.1,69,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH8102,III,Synechococcus WH8102,TX72_RS03575,WP_042503137.1,67,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,BL107,IV,Synechococcus sp. BL107,BL107_15410,WP_037989016.1,69,True,True,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
m038,2_exploratory,,conserved hypothetical protein,Stress response and adaptation,WH7803,V,Synechococcus WH7803,SynWH7803_1579,WP_011933482.1,68,True,False,B06,68.3,59.7,False,False,,cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2
