marker_id,gene,product,strain,clade,organism,locus_tag,protein_accession,aa_sequence_in_kg
m007,mpeB,"C-phycoerythrin class II, beta chain",WH7803,V,Synechococcus WH7803,SynWH7803_0493,WP_011932407.1,True
m008,unk11,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,SYNC_RS14125,WP_148201806.1,True
m008,unk11,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_50007,,False
m008,unk11,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW2014,WP_148228813.1,True
m008,unk11,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_08926,,False
m008,unk11,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_2535,,False
m009,unk12,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0498,WP_041426327.1,True
m009,unk12,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_RS11475,WP_071823033.1,True
m009,unk12,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW2015,WP_318655395.1,True
m009,unk12,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_08921,WP_009788990.1,True
m009,unk12,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0490,WP_011932404.1,True
m010,unk4,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0518,WP_011618477.1,True
m010,unk4,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0473,WP_006851926.1,True
m010,unk4,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1995,WP_011128853.1,True
m010,unk4,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_09026,WP_009789011.1,True
m010,unk4,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0507,WP_011932421.1,True
m011,unk7,nif11-like leader peptide domain protein,CC9311,I,Synechococcus CC9311,SYNC_RS02450,WP_041426330.1,True
m011,unk7,nif11-like leader peptide domain protein,WH8109,II,Synechococcus WH8109,Syncc8109_0465,WP_071823037.1,True
m011,unk7,nif11-like leader peptide domain protein,WH8102,III,Synechococcus WH8102,TX72_RS10080,WP_042503822.1,True
m011,unk7,nif11-like leader peptide domain protein,BL107,IV,Synechococcus sp. BL107,BL107_08976,WP_009789001.1,True
m011,unk7,nif11-like leader peptide domain protein,WH7803,V,Synechococcus WH7803,SynWH7803_0496,WP_011932410.1,True
m012,unk9,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0507,WP_011618466.1,True
m012,unk9,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0463,WP_006851061.1,True
m012,unk9,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW2006,WP_071820853.1,True
m012,unk9,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_08966,WP_009788999.1,True
m012,unk9,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0495,WP_011932409.1,True
m013,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_0207,WP_041426281.1,True
m013,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_0163,WP_006851771.1,True
m013,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW0158,WP_011127034.1,True
m013,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_05734,WP_009788374.1,True
m013,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0211,WP_011932141.1,True
m014,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_2934,WP_006854947.1,True
m014,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_2754,WP_006851462.1,True
m014,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW2518,WP_011129371.1,True
m014,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_06694,WP_009788564.1,True
m014,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_2525,WP_011934410.1,True
m015,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_2769,WP_011620658.1,True
m015,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2600,WP_025362564.1,True
m015,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW2361,WP_011129214.1,True
m015,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_07369,WP_037988697.1,True
m015,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_2399,WP_011934285.1,True
m016,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_2092,WP_237699205.1,True
m016,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_0633,WP_006852120.1,True
m016,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW1893,WP_173358505.1,True
m016,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_09641,WP_009789132.1,True
m016,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_1904,,False
m017,,Conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_2035,WP_041426646.1,True
m017,,Conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0747,WP_006849832.1,True
m017,,Conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1784,WP_011128644.1,True
m017,,Conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_10217,WP_037988131.1,True
m017,,Conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0610,WP_011932522.1,True
m018,,putative membrane protein,CC9311,I,Synechococcus CC9311,sync_1997,WP_011619912.1,True
m018,,putative membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_1983,WP_006850038.1,True
m018,,putative membrane protein,WH8102,III,Synechococcus WH8102,TX72_RS08795,WP_042503752.1,True
m018,,putative membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_10426,WP_009789275.1,True
m018,,putative membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0647,WP_011932559.1,True
m019,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0721,WP_041426379.1,True
m019,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0789,WP_006850327.1,True
m019,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1390,WP_011128254.1,True
m019,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_10956,WP_232192799.1,True
m019,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0878,WP_011932786.1,True
m020,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_2842,WP_011620730.1,True
m020,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1103,WP_025362228.1,True
m020,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,S8102_15941,,False
m020,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_11491,WP_009789481.1,True
m020,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0887,,False
m021,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0995,WP_167897170.1,True
m021,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1105,,False
m021,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,TX72_RS14445,WP_173358497.1,True
m021,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_11501,,False
m021,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_2549,,False
m022,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1760,WP_011619677.1,True
m022,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1182,WP_006851982.1,True
m022,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,TX72_RS06715,WP_042503537.1,True
m022,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_12465,WP_009789671.1,True
m022,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0855,WP_011932763.1,True
m023,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0866,WP_049750388.1,True
m023,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1036,WP_006852071.1,True
m023,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0979,WP_148228857.1,True
m023,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_12475,WP_009789673.1,True
m023,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1007,WP_011932915.1,True
m024,,uncharacterized conserved secreted protein,CC9311,I,Synechococcus CC9311,sync_0830,WP_049750320.1,True
m024,,uncharacterized conserved secreted protein,WH8109,II,Synechococcus WH8109,Syncc8109_1184,WP_006850114.1,True
m024,,uncharacterized conserved secreted protein,WH8102,III,Synechococcus WH8102,SYNW1332,WP_225867678.1,True
m024,,uncharacterized conserved secreted protein,BL107,IV,Synechococcus sp. BL107,BL107_12515,WP_232192834.1,True
m024,,uncharacterized conserved secreted protein,WH7803,V,Synechococcus WH7803,SynWH7803_1681,WP_011933579.1,True
m025,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1425,WP_041426528.1,True
m025,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1231,WP_025362248.1,True
m025,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1305,WP_042504304.1,True
m025,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_12640,WP_009789705.1,True
m025,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1208,WP_011933116.1,True
m026,,"conserved hypothetical protein, Ycf35 family",CC9311,I,Synechococcus CC9311,sync_1380,WP_011619305.1,True
m026,,"conserved hypothetical protein, Ycf35 family",WH8109,II,Synechococcus WH8109,Syncc8109_1278,WP_006851848.1,True
m026,,"conserved hypothetical protein, Ycf35 family",WH8102,III,Synechococcus WH8102,SYNW1260,WP_011128124.1,True
m026,,"conserved hypothetical protein, Ycf35 family",BL107,IV,Synechococcus sp. BL107,BL107_12880,WP_009789753.1,True
m026,,"conserved hypothetical protein, Ycf35 family",WH7803,V,Synechococcus WH7803,SynWH7803_1255,WP_011933161.1,True
m027,,uncharacterized conserved secreted protein,CC9311,I,Synechococcus CC9311,sync_1360,WP_011619285.1,True
m027,,uncharacterized conserved secreted protein,WH8109,II,Synechococcus WH8109,Syncc8109_1296,WP_006850242.1,True
m027,,uncharacterized conserved secreted protein,WH8102,III,Synechococcus WH8102,SYNW1245,WP_011128109.1,True
m027,,uncharacterized conserved secreted protein,BL107,IV,Synechococcus sp. BL107,BL107_12965,WP_009789768.1,True
m027,,uncharacterized conserved secreted protein,WH7803,V,Synechococcus WH7803,SynWH7803_1270,WP_011933176.1,True
m028,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1356,WP_041426984.1,True
m028,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1300,WP_006850013.1,True
m028,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1241,WP_011128105.1,True
m028,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_12985,WP_009789772.1,True
m028,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1274,WP_011933180.1,True
m029,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1663,WP_041426580.1,True
m029,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1402,WP_369792020.1,True
m029,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1157,WP_225867745.1,True
m029,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_13375,WP_009789846.1,True
m029,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1485,WP_011933388.1,True
m030,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_1764,WP_011619681.1,True
m030,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_1149,WP_006849846.1,True
m030,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW1361,WP_011128225.1,True
m030,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_14040,WP_009789977.1,True
m030,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0962,WP_011932870.1,True
m031,,nif11-like leader peptide domain protein,CC9311,I,Synechococcus CC9311,sync_1792,WP_083756074.1,True
m031,,nif11-like leader peptide domain protein,WH8109,II,Synechococcus WH8109,Syncc8109_2291,WP_232202413.1,True
m031,,nif11-like leader peptide domain protein,WH8102,III,Synechococcus WH8102,SYNW1431,WP_011128295.1,True
m031,,nif11-like leader peptide domain protein,BL107,IV,Synechococcus sp. BL107,BL107_14100,WP_006169687.1,True
m031,,nif11-like leader peptide domain protein,WH7803,V,Synechococcus WH7803,SynWH7803_0939,WP_041428444.1,True
m032,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_1800,WP_237699192.1,True
m032,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_1624,WP_025362347.1,True
m032,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW1445,WP_011128309.1,True
m032,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_14185,,False
m032,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0943,WP_011932851.1,True
m033,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_1815,WP_167897106.1,True
m033,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_1626,WP_006850963.1,True
m033,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW1448,WP_173358500.1,True
m033,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_14190,WP_009790006.1,True
m033,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_0827,,False
m034,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_2062,WP_011619977.1,True
m034,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0908,WP_006851999.1,True
m034,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0869,WP_011127734.1,True
m034,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_14640,WP_009790096.1,True
m034,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0946,WP_011932854.1,True
m035,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1182,WP_011619113.1,True
m035,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0887,WP_006849924.1,True
m035,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0849,WP_042503207.1,True
m035,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_14730,WP_009790113.1,True
m035,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1410,WP_011933314.1,True
m036,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1710,WP_011619627.1,True
m036,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0817,WP_025362170.1,True
m036,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0786,WP_011127651.1,True
m036,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_15090,WP_009790184.1,True
m036,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1150,WP_083833632.1,True
m037,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0982,WP_237699279.1,True
m037,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2031,WP_006850973.1,True
m037,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0734,WP_011127599.1,True
m037,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_15405,WP_009790246.1,True
m037,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1578,WP_011933481.1,True
m038,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0981,WP_011618916.1,True
m038,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2032,WP_006850367.1,True
m038,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,TX72_RS03575,WP_042503137.1,True
m038,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_15410,WP_037989016.1,True
m038,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1579,WP_011933482.1,True
m039,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0923,WP_041426936.1,True
m039,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2067,WP_006851314.1,True
m039,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0700,WP_011127567.1,True
m039,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_15615,WP_232192989.1,True
m039,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1619,WP_011933520.1,True
m040,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1779,WP_011619696.1,True
m040,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2133,WP_006850229.1,True
m040,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1378,WP_011128242.1,True
m040,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_15930,WP_009790345.1,True
m040,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_0920,WP_011932828.1,True
m041,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_1646,WP_011619565.1,True
m041,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_1623,WP_232202394.1,True
m041,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,SYNW1444,WP_011128308.1,True
m041,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_16190,WP_009790396.1,True
m041,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_1004,WP_011932912.1,True
m042,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_0829,WP_041426401.1,True
m042,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2223,WP_006850125.1,True
m042,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0541,WP_011127410.1,True
m042,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_16460,WP_009790448.1,True
m042,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1682,WP_011933580.1,True
m043,,putative membrane protein,CC9311,I,Synechococcus CC9311,sync_2266,WP_011620175.1,True
m043,,putative membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_2238,WP_006852088.1,True
m043,,putative membrane protein,WH8102,III,Synechococcus WH8102,SYNW0528,WP_011127398.1,True
m043,,putative membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_16525,WP_009790461.1,True
m043,,putative membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_1986,WP_011933881.1,True
m044,,uncharacterized conserved membrane protein,CC9311,I,Synechococcus CC9311,sync_1774,WP_011619691.1,True
m044,,uncharacterized conserved membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_RS11805,WP_369792006.1,True
m044,,uncharacterized conserved membrane protein,WH8102,III,Synechococcus WH8102,TX72_RS05290,WP_042504271.1,True
m044,,uncharacterized conserved membrane protein,BL107,IV,Synechococcus sp. BL107,BL107_16885,WP_037988557.1,True
m044,,uncharacterized conserved membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_1000,WP_011932908.1,True
m045,,uncharacterized conserved secreted protein,CC9311,I,Synechococcus CC9311,sync_1789,WP_011619706.1,True
m045,,uncharacterized conserved secreted protein,WH8109,II,Synechococcus WH8109,Syncc8109_1619,WP_006851686.1,True
m045,,uncharacterized conserved secreted protein,WH8102,III,Synechococcus WH8102,SYNW2557,,False
m045,,uncharacterized conserved secreted protein,BL107,IV,Synechococcus sp. BL107,BL107_RS08895,WP_037988405.1,True
m045,,uncharacterized conserved secreted protein,WH7803,V,Synechococcus WH7803,SynWH7803_0844,WP_011932752.1,True
m046,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1841,WP_237699197.1,True
m046,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0910,WP_232202456.1,True
m046,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW0871,WP_011127736.1,True
m046,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_RS09340,WP_050749847.1,True
m046,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SYNWH7803_RS03360,WP_011932577.1,True
m047,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1837,WP_041426613.1,True
m047,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_2004,WP_006850989.1,True
m047,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,TX72_RS13905,WP_144416604.1,True
m047,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_RS13140,WP_232192969.1,True
m047,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1697,WP_011933595.1,True
m048,,putative membrane protein,CC9311,I,Synechococcus CC9311,sync_0527,,False
m048,,putative membrane protein,WH8109,II,Synechococcus WH8109,Syncc8109_0497,,False
m048,,putative membrane protein,WH8102,III,Synechococcus WH8102,S8102_22071,,False
m048,,putative membrane protein,BL107,IV,Synechococcus sp. BL107,SynBL107_50002,,False
m048,,putative membrane protein,WH7803,V,Synechococcus WH7803,SynWH7803_2545,,False
m049,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_1680,WP_011619598.1,True
m049,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_1386,,False
m049,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,TX72_RS13180,WP_071820841.1,True
m049,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_17408,,False
m049,,conserved hypothetical protein,WH7803,V,Synechococcus WH7803,SynWH7803_1481,WP_011933384.1,True
m050,,conserved hypothetical protein,CC9311,I,Synechococcus CC9311,sync_2132,WP_011620046.1,True
m050,,conserved hypothetical protein,WH8109,II,Synechococcus WH8109,Syncc8109_0671,WP_006851516.1,True
m050,,conserved hypothetical protein,WH8102,III,Synechococcus WH8102,SYNW1856,WP_011128714.1,True
m050,,conserved hypothetical protein,BL107,IV,Synechococcus sp. BL107,BL107_09836,WP_009789171.1,True
