group_ids,consensus_gene_name,consensus_product,gene_category,levels,sources,locus_CC9311,locus_WH8109,locus_WH8102,locus_BL107,locus_WH7803
cyanorak:CK_00001578;eggnog:1GNUC@1117;eggnog:1H1M3@1129;eggnog:323BV@2,,uncharacterized conserved membrane protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2092,Syncc8109_0633,SYNW1893,BL107_09641,SynWH7803_1904
cyanorak:CK_00001694;eggnog:1GNCY@1117;eggnog:1H0RZ@1129;eggnog:30S9R@2,,Conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2035,Syncc8109_0747,SYNW1784,BL107_10217,SynWH7803_0610
cyanorak:CK_00054860;eggnog:1GH1G@1117;eggnog:1H1JZ@1129;eggnog:2ZXGV@2,,putative membrane protein,Cell wall and membrane,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1997,Syncc8109_1983,TX72_RS08795,BL107_10426,SynWH7803_0647
cyanorak:CK_00001910;eggnog:1GNAM@1117;eggnog:1H0NC@1129;eggnog:322K7@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0721,Syncc8109_0789,SYNW1390,BL107_10956,SynWH7803_0878
cyanorak:CK_00048382;eggnog:1GNWW@1117;eggnog:1H1SW@1129;eggnog:30TUC@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2842,Syncc8109_1103,S8102_15941,BL107_11491,SynWH7803_0887
cyanorak:CK_00056191,,conserved hypothetical protein,Unknown,curated,cyanorak,sync_0995,Syncc8109_1105,TX72_RS14445,BL107_11501,SynWH7803_2549
cyanorak:CK_00002290;eggnog:1GNRH@1117;eggnog:1H1FY@1129;eggnog:32IR1@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1760,Syncc8109_1182,TX72_RS06715,BL107_12465,SynWH7803_0855
cyanorak:CK_00001848;eggnog:1GNQ0@1117;eggnog:1H1CI@1129;eggnog:32356@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0866,Syncc8109_1036,SYNW0979,BL107_12475,SynWH7803_1007
cyanorak:CK_00002132;eggnog:1GGMF@1117;eggnog:1H1IJ@1129;eggnog:2ZSR4@2,,uncharacterized conserved secreted protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0830,Syncc8109_1184,SYNW1332,BL107_12515,SynWH7803_1681
cyanorak:CK_00001783;eggnog:1GRIW@1117;eggnog:1H1KQ@1129;eggnog:31V9R@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1425,Syncc8109_1231,SYNW1305,BL107_12640,SynWH7803_1208
cyanorak:CK_00002133;eggnog:1GP28@1117;eggnog:1H24I@1129;eggnog:30FM8@2,,"conserved hypothetical protein, Ycf35 family",Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1380,Syncc8109_1278,SYNW1260,BL107_12880,SynWH7803_1255
cyanorak:CK_00001784;eggnog:1GNJK@1117;eggnog:1H11N@1129;eggnog:322YF@2,,uncharacterized conserved secreted protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1360,Syncc8109_1296,SYNW1245,BL107_12965,SynWH7803_1270
cyanorak:CK_00001611;eggnog:1GM8E@1117;eggnog:1GYHW@1129;eggnog:3213E@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1356,Syncc8109_1300,SYNW1241,BL107_12985,SynWH7803_1274
cyanorak:CK_00048772;eggnog:1GNR1@1117;eggnog:1H1EZ@1129;eggnog:3236G@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1663,Syncc8109_1402,SYNW1157,BL107_13375,SynWH7803_1485
cyanorak:CK_00040838;eggnog:1GNRJ@1117;eggnog:1H1G0@1129;eggnog:30S79@2,,uncharacterized conserved membrane protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1764,Syncc8109_1149,SYNW1361,BL107_14040,SynWH7803_0962
cyanorak:CK_00056823;eggnog:1GNR6@1117;eggnog:1H1FA@1129;eggnog:30TBH@2,,nif11-like leader peptide domain protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1792,Syncc8109_2291,SYNW1431,BL107_14100,SynWH7803_0939
cyanorak:CK_00043584,,uncharacterized conserved membrane protein,Unknown,curated,cyanorak,sync_1800,Syncc8109_1624,SYNW1445,BL107_14185,SynWH7803_0943
cyanorak:CK_00034873;eggnog:1GNSD@1117;eggnog:1H1HE@1129;eggnog:32388@2,,uncharacterized conserved membrane protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1815,Syncc8109_1626,SYNW1448,BL107_14190,SynWH7803_0827
cyanorak:CK_00001856;eggnog:1GNVV@1117;eggnog:1H1Q5@1129;eggnog:323DW@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2062,Syncc8109_0908,SYNW0869,BL107_14640,SynWH7803_0946
cyanorak:CK_00044532;eggnog:1GNM7@1117;eggnog:1H14S@1129;eggnog:2ZZIK@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1182,Syncc8109_0887,SYNW0849,BL107_14730,SynWH7803_1410
cyanorak:CK_00001721;eggnog:1GNC4@1117;eggnog:1H0QV@1129;eggnog:2ZT3I@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1710,Syncc8109_0817,SYNW0786,BL107_15090,SynWH7803_1150
cyanorak:CK_00001724;eggnog:1GNP1@1117;eggnog:1H19K@1129;eggnog:30T2G@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0982,Syncc8109_2031,SYNW0734,BL107_15405,SynWH7803_1578
cyanorak:CK_00001926;eggnog:1GRJ5@1117;eggnog:1H1NY@1129;eggnog:323D3@2,,conserved hypothetical protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0981,Syncc8109_2032,TX72_RS03575,BL107_15410,SynWH7803_1579
cyanorak:CK_00002066;eggnog:1GNPF@1117;eggnog:1H1AZ@1129;eggnog:30T4X@2,,conserved hypothetical protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0923,Syncc8109_2067,SYNW0700,BL107_15615,SynWH7803_1619
cyanorak:CK_00048408;eggnog:1GNUR@1117;eggnog:1H1MK@1129;eggnog:30TQB@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1779,Syncc8109_2133,SYNW1378,BL107_15930,SynWH7803_0920
cyanorak:CK_00048774;eggnog:1GNT2@1117;eggnog:1H1IU@1129;eggnog:3239K@2,,uncharacterized conserved membrane protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1646,Syncc8109_1623,SYNW1444,BL107_16190,SynWH7803_1004
cyanorak:CK_00047412;eggnog:1GNJI@1117;eggnog:1H11K@1129;eggnog:30SP8@2,,conserved hypothetical protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0829,Syncc8109_2223,SYNW0541,BL107_16460,SynWH7803_1682
cyanorak:CK_00001810;eggnog:1GMBZ@1117;eggnog:1GYTK@1129;eggnog:32H4E@2,,putative membrane protein,Cell wall and membrane,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2266,Syncc8109_2238,SYNW0528,BL107_16525,SynWH7803_1986
cyanorak:CK_00045320;eggnog:1GNWY@1117;eggnog:1H1T1@1129;eggnog:30UA3@2,,uncharacterized conserved membrane protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1774,Syncc8109_RS11805,TX72_RS05290,BL107_16885,SynWH7803_1000
cyanorak:CK_00051877;eggnog:1GNZY@1117;eggnog:1H1ZY@1129;eggnog:306PX@2,,uncharacterized conserved secreted protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1789,Syncc8109_1619,SYNW2557,BL107_RS08895,SynWH7803_0844
cyanorak:CK_00001902;eggnog:1GNAB@1117;eggnog:1H0MW@1129;eggnog:30S5U@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1841,Syncc8109_0910,SYNW0871,BL107_RS09340,SYNWH7803_RS03360
cyanorak:CK_00002607;eggnog:1GP69@1117;eggnog:1H2BX@1129;eggnog:323WI@2,,conserved hypothetical protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1837,Syncc8109_2004,TX72_RS13905,BL107_RS13140,SynWH7803_1697
cyanorak:CK_00002723,,putative membrane protein,Cell wall and membrane,curated,cyanorak,sync_0527,Syncc8109_0497,S8102_22071,SynBL107_50002,SynWH7803_2545
cyanorak:CK_00043632;eggnog:1GRJJ@1117;eggnog:1H1SF@1129;eggnog:30TU4@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1680,Syncc8109_1386,TX72_RS13180,BL107_17408,SynWH7803_1481
cyanorak:CK_00051332;eggnog:1GRKQ@1117;eggnog:1H239@1129;eggnog:30U3W@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2132,Syncc8109_0671,SYNW1856,BL107_09836,SynWH7803_1866
eggnog:1GNHQ@1117;eggnog:1H0Z7@1129;eggnog:33ZED@2,,uncharacterized conserved membrane protein,Unknown,Bacteria;Cyanobacteria;Synechococcus,eggnog,sync_0322,Syncc8109_RS12765,TX72_RS14610,BL107_07994,SynWH7803_0325
eggnog:1GN9Q@1117;eggnog:1H0KX@1129;eggnog:32ICD@2,,uncharacterized conserved secreted protein,Unknown,Bacteria;Cyanobacteria;Synechococcus,eggnog,sync_0985,Syncc8109_2028,TX72_RS14675,BL107_15390,SynWH7803_1575
