marker_id,gene,product,category,annotated,multi_copy_family,cross_aligns_another_marker,acc_CC9311,locus_CC9311,acc_WH8109,locus_WH8109,acc_WH8102,locus_WH8102,acc_BL107,locus_BL107,acc_WH7803,locus_WH7803,domain_paralog_check,accessions_available,recommended_as_query
m010,unk4,conserved hypothetical protein,Unknown,False,False,False,WP_011618477.1,sync_0518,WP_006851926.1,Syncc8109_0473,WP_011128853.1,SYNW1995,WP_009789011.1,BL107_09026,WP_011932421.1,SynWH7803_0507,untested_no_pfam,5,False
m012,unk9,conserved hypothetical protein,Unknown,False,False,False,WP_011618466.1,sync_0507,WP_006851061.1,Syncc8109_0463,WP_071820853.1,SYNW2006,WP_009788999.1,BL107_08966,WP_011932409.1,SynWH7803_0495,untested_no_pfam,5,False
m013,,uncharacterized conserved membrane protein,Cell wall and membrane,False,False,False,WP_041426281.1,sync_0207,WP_006851771.1,Syncc8109_0163,WP_011127034.1,SYNW0158,WP_009788374.1,BL107_05734,WP_011932141.1,SynWH7803_0211,untested_no_pfam,5,False
m014,,uncharacterized conserved membrane protein,Unknown,False,False,False,WP_006854947.1,sync_2934,WP_006851462.1,Syncc8109_2754,WP_011129371.1,SYNW2518,WP_009788564.1,BL107_06694,WP_011934410.1,SynWH7803_2525,untested_no_pfam,5,False
m015,,conserved hypothetical protein,Unknown,False,False,False,WP_011620658.1,sync_2769,WP_025362564.1,Syncc8109_2600,WP_011129214.1,SYNW2361,WP_037988697.1,BL107_07369,WP_011934285.1,SynWH7803_2399,untested_no_pfam,5,False
m016,,uncharacterized conserved membrane protein,Stress response and adaptation,False,False,False,WP_237699205.1,sync_2092,WP_006852120.1,Syncc8109_0633,WP_173358505.1,SYNW1893,WP_009789132.1,BL107_09641,,SynWH7803_1904,untested_no_pfam,4,False
m017,,Conserved hypothetical protein,Unknown,False,False,False,WP_041426646.1,sync_2035,WP_006849832.1,Syncc8109_0747,WP_011128644.1,SYNW1784,WP_037988131.1,BL107_10217,WP_011932522.1,SynWH7803_0610,clean,5,False
m018,,putative membrane protein,Cell wall and membrane,False,False,False,WP_011619912.1,sync_1997,WP_006850038.1,Syncc8109_1983,WP_042503752.1,TX72_RS08795,WP_009789275.1,BL107_10426,WP_011932559.1,SynWH7803_0647,untested_no_pfam,5,False
m019,,conserved hypothetical protein,Unknown,False,False,False,WP_041426379.1,sync_0721,WP_006850327.1,Syncc8109_0789,WP_011128254.1,SYNW1390,WP_232192799.1,BL107_10956,WP_011932786.1,SynWH7803_0878,untested_no_pfam,5,False
m020,,conserved hypothetical protein,Unknown,False,False,False,WP_011620730.1,sync_2842,WP_025362228.1,Syncc8109_1103,,S8102_15941,WP_009789481.1,BL107_11491,,SynWH7803_0887,untested_no_pfam,3,False
m021,,conserved hypothetical protein,Unknown,False,False,False,WP_167897170.1,sync_0995,,Syncc8109_1105,WP_173358497.1,TX72_RS14445,,BL107_11501,,SynWH7803_2549,untested_no_pfam,2,False
m022,,conserved hypothetical protein,Unknown,False,False,False,WP_011619677.1,sync_1760,WP_006851982.1,Syncc8109_1182,WP_042503537.1,TX72_RS06715,WP_009789671.1,BL107_12465,WP_011932763.1,SynWH7803_0855,untested_no_pfam,5,False
m023,,conserved hypothetical protein,Unknown,False,False,False,WP_049750388.1,sync_0866,WP_006852071.1,Syncc8109_1036,WP_148228857.1,SYNW0979,WP_009789673.1,BL107_12475,WP_011932915.1,SynWH7803_1007,untested_no_pfam,5,False
m024,,uncharacterized conserved secreted protein,Unknown,False,False,False,WP_049750320.1,sync_0830,WP_006850114.1,Syncc8109_1184,WP_225867678.1,SYNW1332,WP_232192834.1,BL107_12515,WP_011933579.1,SynWH7803_1681,untested_no_pfam,5,False
m025,,conserved hypothetical protein,Unknown,False,False,False,WP_041426528.1,sync_1425,WP_025362248.1,Syncc8109_1231,WP_042504304.1,SYNW1305,WP_009789705.1,BL107_12640,WP_011933116.1,SynWH7803_1208,untested_no_pfam,5,False
m026,,"conserved hypothetical protein, Ycf35 family",Unknown,False,False,False,WP_011619305.1,sync_1380,WP_006851848.1,Syncc8109_1278,WP_011128124.1,SYNW1260,WP_009789753.1,BL107_12880,WP_011933161.1,SynWH7803_1255,clean,5,False
m027,,uncharacterized conserved secreted protein,Unknown,False,False,False,WP_011619285.1,sync_1360,WP_006850242.1,Syncc8109_1296,WP_011128109.1,SYNW1245,WP_009789768.1,BL107_12965,WP_011933176.1,SynWH7803_1270,untested_no_pfam,5,False
m028,,conserved hypothetical protein,Unknown,False,False,False,WP_041426984.1,sync_1356,WP_006850013.1,Syncc8109_1300,WP_011128105.1,SYNW1241,WP_009789772.1,BL107_12985,WP_011933180.1,SynWH7803_1274,untested_no_pfam,5,False
m029,,conserved hypothetical protein,Unknown,False,False,True,WP_041426580.1,sync_1663,WP_369792020.1,Syncc8109_1402,WP_225867745.1,SYNW1157,WP_009789846.1,BL107_13375,WP_011933388.1,SynWH7803_1485,untested_no_pfam,5,False
m030,,uncharacterized conserved membrane protein,Unknown,False,False,False,WP_011619681.1,sync_1764,WP_006849846.1,Syncc8109_1149,WP_011128225.1,SYNW1361,WP_009789977.1,BL107_14040,WP_011932870.1,SynWH7803_0962,untested_no_pfam,5,False
m031,,nif11-like leader peptide domain protein,Unknown,False,False,True,WP_083756074.1,sync_1792,WP_232202413.1,Syncc8109_2291,WP_011128295.1,SYNW1431,WP_006169687.1,BL107_14100,WP_041428444.1,SynWH7803_0939,shares_domain,5,False
m032,,uncharacterized conserved membrane protein,Unknown,False,False,False,WP_237699192.1,sync_1800,WP_025362347.1,Syncc8109_1624,WP_011128309.1,SYNW1445,,BL107_14185,WP_011932851.1,SynWH7803_0943,untested_no_pfam,4,False
m033,,uncharacterized conserved membrane protein,Unknown,False,False,False,WP_167897106.1,sync_1815,WP_006850963.1,Syncc8109_1626,WP_173358500.1,SYNW1448,WP_009790006.1,BL107_14190,,SynWH7803_0827,untested_no_pfam,4,False
m034,,conserved hypothetical protein,Unknown,False,False,False,WP_011619977.1,sync_2062,WP_006851999.1,Syncc8109_0908,WP_011127734.1,SYNW0869,WP_009790096.1,BL107_14640,WP_011932854.1,SynWH7803_0946,untested_no_pfam,5,False
m035,,conserved hypothetical protein,Unknown,False,False,False,WP_011619113.1,sync_1182,WP_006849924.1,Syncc8109_0887,WP_042503207.1,SYNW0849,WP_009790113.1,BL107_14730,WP_011933314.1,SynWH7803_1410,clean,5,False
m036,,conserved hypothetical protein,Unknown,False,False,False,WP_011619627.1,sync_1710,WP_025362170.1,Syncc8109_0817,WP_011127651.1,SYNW0786,WP_009790184.1,BL107_15090,WP_083833632.1,SynWH7803_1150,untested_no_pfam,5,False
m037,,conserved hypothetical protein,Unknown,False,False,False,WP_237699279.1,sync_0982,WP_006850973.1,Syncc8109_2031,WP_011127599.1,SYNW0734,WP_009790246.1,BL107_15405,WP_011933481.1,SynWH7803_1578,untested_no_pfam,5,False
m038,,conserved hypothetical protein,Stress response and adaptation,False,False,False,WP_011618916.1,sync_0981,WP_006850367.1,Syncc8109_2032,WP_042503137.1,TX72_RS03575,WP_037989016.1,BL107_15410,WP_011933482.1,SynWH7803_1579,untested_no_pfam,5,False
m039,,conserved hypothetical protein,Stress response and adaptation,False,False,False,WP_041426936.1,sync_0923,WP_006851314.1,Syncc8109_2067,WP_011127567.1,SYNW0700,WP_232192989.1,BL107_15615,WP_011933520.1,SynWH7803_1619,untested_no_pfam,5,False
m040,,conserved hypothetical protein,Unknown,False,False,False,WP_011619696.1,sync_1779,WP_006850229.1,Syncc8109_2133,WP_011128242.1,SYNW1378,WP_009790345.1,BL107_15930,WP_011932828.1,SynWH7803_0920,clean,5,False
m041,,uncharacterized conserved membrane protein,Stress response and adaptation,False,False,True,WP_011619565.1,sync_1646,WP_232202394.1,Syncc8109_1623,WP_011128308.1,SYNW1444,WP_009790396.1,BL107_16190,WP_011932912.1,SynWH7803_1004,untested_no_pfam,5,False
m042,,conserved hypothetical protein,Stress response and adaptation,False,False,False,WP_041426401.1,sync_0829,WP_006850125.1,Syncc8109_2223,WP_011127410.1,SYNW0541,WP_009790448.1,BL107_16460,WP_011933580.1,SynWH7803_1682,untested_no_pfam,5,False
m043,,putative membrane protein,Cell wall and membrane,False,False,False,WP_011620175.1,sync_2266,WP_006852088.1,Syncc8109_2238,WP_011127398.1,SYNW0528,WP_009790461.1,BL107_16525,WP_011933881.1,SynWH7803_1986,untested_no_pfam,5,False
m044,,uncharacterized conserved membrane protein,Stress response and adaptation,False,False,False,WP_011619691.1,sync_1774,WP_369792006.1,Syncc8109_RS11805,WP_042504271.1,TX72_RS05290,WP_037988557.1,BL107_16885,WP_011932908.1,SynWH7803_1000,clean,5,False
m045,,uncharacterized conserved secreted protein,Unknown,False,False,False,WP_011619706.1,sync_1789,WP_006851686.1,Syncc8109_1619,,SYNW2557,WP_037988405.1,BL107_RS08895,WP_011932752.1,SynWH7803_0844,untested_no_pfam,4,False
m046,,conserved hypothetical protein,Unknown,False,False,False,WP_237699197.1,sync_1841,WP_232202456.1,Syncc8109_0910,WP_011127736.1,SYNW0871,WP_050749847.1,BL107_RS09340,WP_011932577.1,SYNWH7803_RS03360,untested_no_pfam,5,False
m047,,conserved hypothetical protein,Stress response and adaptation,False,False,False,WP_041426613.1,sync_1837,WP_006850989.1,Syncc8109_2004,WP_144416604.1,TX72_RS13905,WP_232192969.1,BL107_RS13140,WP_011933595.1,SynWH7803_1697,untested_no_pfam,5,False
m048,,putative membrane protein,Cell wall and membrane,False,False,False,,sync_0527,,Syncc8109_0497,,S8102_22071,,SynBL107_50002,,SynWH7803_2545,untested_no_pfam,0,False
m049,,conserved hypothetical protein,Unknown,False,False,False,WP_011619598.1,sync_1680,,Syncc8109_1386,WP_071820841.1,TX72_RS13180,,BL107_17408,WP_011933384.1,SynWH7803_1481,untested_no_pfam,3,False
m050,,conserved hypothetical protein,Unknown,False,False,False,WP_011620046.1,sync_2132,WP_006851516.1,Syncc8109_0671,WP_011128714.1,SYNW1856,WP_009789171.1,BL107_09836,WP_011933764.1,SynWH7803_1866,untested_no_pfam,5,False
m051,,uncharacterized conserved membrane protein,Unknown,False,False,False,WP_041426303.1,sync_0322,WP_025362043.1,Syncc8109_RS12765,WP_071820816.1,TX72_RS14610,WP_009788816.1,BL107_07994,WP_011932251.1,SynWH7803_0325,untested_no_pfam,5,False
m052,,uncharacterized conserved secreted protein,Unknown,False,False,False,WP_011618920.1,sync_0985,WP_052328033.1,Syncc8109_2028,WP_225867735.1,TX72_RS14675,WP_009790243.1,BL107_15390,WP_011933478.1,SynWH7803_1575,clean,5,False
