locus_tag,gene_name,product,gene_category,contig,start,end,strand,role,ko_id,ko_name,ko_substrate,brite_leaf,tcdb_id,tcdb_name,substrate_call,resolution_level,organic_or_inorganic,substrate_source,substrate_confidence,substrate_evidence,substrate_options,sources
EZ55_00169,rarD,EamA family transporter RarD,Unknown,NZ_OX359237.1,181930,182844,+,,kegg.orthology:K05786,rarD; chloramphenicol-sensitive protein RarD,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.7,2.A.7.7,unresolved,unresolved,,,none,rarD; chloramphenicol-sensitive protein RarD,,brite;tcdb;func
EZ55_00183,,ABC transporter substrate-binding protein,Carbohydrate metabolism,NZ_OX359237.1,196705,197946,+,SBP,kegg.orthology:K02027,ABC.MS.S; multiple sugar transport system substrate-binding protein,multiple sugar,Putative multiple sugar transporter,tcdb:3.A.1.1,3.A.1.1,sugar,broad_class,organic,kegg_ko,confident,ABC.MS.S; multiple sugar transport system substrate-binding protein,,brite;kegg;tcdb;func
EZ55_00195,yegD,Hsp70 family protein,Post-translational modification,NZ_OX359237.1,207554,209056,+,,kegg.orthology:K04046,yegD; hypothetical chaperone protein,,,tcdb:1.A.33,The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family,unresolved,unresolved,,,none,yegD; hypothetical chaperone protein,,tcdb
EZ55_00198,yajR,MFS transporter,Amino acid metabolism,NZ_OX359237.1,212677,214014,+,PERM,,,,,,,unresolved,unresolved,,,none,MFS transporter,,func
EZ55_00206,sglT,sodium/sugar symporter,Unknown,NZ_OX359237.1,221924,223486,+,,kegg.orthology:K03307,"TC.SSS; solute:Na+ symporter, SSS family",,,tcdb:2.A.21,The Solute:Sodium Symporter (SSS) Family,The Solute:Sodium Symporter (SSS),specific_compound,inorganic,tcdb_family,inferred,The Solute:Sodium Symporter (SSS) Family,,kegg;tcdb;func
EZ55_00211,,SLC5 family protein,Unknown,NZ_OX359237.1,229484,230938,-,,kegg.orthology:K03307,"TC.SSS; solute:Na+ symporter, SSS family",,,tcdb:2.A.21,The Solute:Sodium Symporter (SSS) Family,The Solute:Sodium Symporter (SSS),specific_compound,inorganic,tcdb_family,inferred,The Solute:Sodium Symporter (SSS) Family,,kegg;tcdb;func
EZ55_00212,,TonB-dependent receptor,Inorganic ion transport,NZ_OX359237.1,231005,233749,-,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor,,func
EZ55_00213,glpK,glycerol kinase GlpK,Energy production,NZ_OX359237.1,234055,235539,-,,kegg.orthology:K00864,"glpK, GK; glycerol kinase [EC:2.7.1.30]",,,,,glycerol,specific_compound,organic,function_description,inferred,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,,func
EZ55_00236,mreB,rod shape-determining protein,Cell cycle and division,NZ_OX359237.1,258373,259416,+,,kegg.orthology:K03569,mreB; rod shape-determining protein MreB and related proteins,,,tcdb:1.A.33.1,1.A.33.1,unresolved,unresolved,,,none,mreB; rod shape-determining protein MreB and related proteins,,tcdb
EZ55_00237,mreC,rod shape-determining protein MreC,Cell wall and membrane,NZ_OX359237.1,259454,260356,+,,kegg.orthology:K03570,mreC; rod shape-determining protein MreC,,,tcdb:9.B.157.1,9.B.157.1,unresolved,unresolved,,,none,mreC; rod shape-determining protein MreC,,tcdb
EZ55_00238,mreD,rod shape-determining protein MreD,Cell wall and membrane,NZ_OX359237.1,260349,260825,+,,kegg.orthology:K03571,mreD; rod shape-determining protein MreD,,,tcdb:9.B.157.1,9.B.157.1,unresolved,unresolved,,,none,mreD; rod shape-determining protein MreD,,tcdb
EZ55_00283,czcC,TolC family protein,Cell wall and membrane,NZ_OX359237.1,309940,311220,+,,kegg.orthology:K15725,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,Pores ion channels [TC:1],tcdb:1.B.17.2.2,1.B.17.2.2,unresolved,unresolved,,,none,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,brite;kegg;tcdb
EZ55_00284,,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,311223,312404,+,,kegg.orthology:K15727,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,Accessory factors involved in transport [TC:8],tcdb:8.A.1.2.1,8.A.1.2.1,unresolved,unresolved,,,none,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,brite;kegg;tcdb;func
EZ55_00285,helA,efflux RND transporter permease subunit,Inorganic ion transport,NZ_OX359237.1,312420,315527,+,PERM,kegg.orthology:K15726,"czcA, cusA, cnrA; heavy metal efflux system protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.1.2,2.A.6.1.2,unresolved,unresolved,,,none,"czcA, cusA, cnrA; heavy metal efflux system protein",,brite;kegg;tcdb;func
EZ55_00286,,cation diffusion facilitator family transporter,Inorganic ion transport,NZ_OX359237.1,315571,316449,+,,kegg.orthology:K16264,"czcD, zitB; cobalt-zinc-cadmium efflux system protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.4.1,2.A.4.1,zinc,specific_compound,inorganic,kegg_ko_keyword,inferred,"czcD, zitB; cobalt-zinc-cadmium efflux system protein",,brite;kegg;tcdb;func
EZ55_00293,,LNS2 domain-containing protein,Unknown,NZ_OX359237.1,322890,323183,-,,,,,,,,unresolved,unresolved,,,none,LNS2 domain-containing protein,,func
EZ55_00299,czcA,efflux RND transporter permease subunit,Inorganic ion transport,NZ_OX359237.1,327832,330978,-,PERM,kegg.orthology:K15726,"czcA, cusA, cnrA; heavy metal efflux system protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.1.2,2.A.6.1.2,unresolved,unresolved,,,none,"czcA, cusA, cnrA; heavy metal efflux system protein",,brite;kegg;tcdb;func
EZ55_00300,czcB,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,330991,332229,-,,kegg.orthology:K15727,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,Accessory factors involved in transport [TC:8],tcdb:8.A.1.2.1,8.A.1.2.1,unresolved,unresolved,,,none,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,brite;kegg;tcdb;func
EZ55_00301,czcC,TolC family protein,Cell wall and membrane,NZ_OX359237.1,332226,333515,-,,kegg.orthology:K15725,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,Pores ion channels [TC:1],tcdb:1.B.17.2.2,1.B.17.2.2,unresolved,unresolved,,,none,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,brite;kegg;tcdb
EZ55_00326,,TonB-dependent receptor,Inorganic ion transport,NZ_OX359237.1,362817,365075,-,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor,,func
EZ55_00328,,MFS transporter,Carbohydrate metabolism,NZ_OX359237.1,366584,367822,+,,,,,,,,unresolved,unresolved,,,none,MFS transporter,,func
EZ55_00331,,DMT family transporter,Amino acid metabolism,NZ_OX359237.1,371379,372272,-,,,,,,,,unresolved,unresolved,,,none,DMT family transporter,,func
EZ55_00340,,nucleoside permease,Amino acid metabolism,NZ_OX359237.1,382243,383460,+,PERM,kegg.orthology:K05820,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",MFS,Phenylproprionate permease (PPP) family [TC:2.A.1.27],tcdb:2.A.1.27,2.A.1.27,3-phenylpropionic acid,specific_compound,organic,kegg_ko_keyword,inferred,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",,brite;kegg;tcdb;func
EZ55_00371,nhaP,cation:proton antiporter,Inorganic ion transport,NZ_OX359237.1,413820,415637,-,,kegg.orthology:K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.36,The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,unresolved,unresolved,,,none,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,brite;kegg;tcdb;func
EZ55_00391,amtB,ammonium transporter,Inorganic ion transport,NZ_OX359237.1,439302,440549,+,,kegg.orthology:K03320,"amt, AMT, MEP; ammonium transporter, Amt family",ammonium,Pores ion channels [TC:1],tcdb:1.A.11,The Ammonium Transporter Channel (Amt) Family,ammonium,specific_compound,inorganic,kegg_ko,confident,"amt, AMT, MEP; ammonium transporter, Amt family",,brite;kegg;tcdb;func
EZ55_00401,,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,450003,451142,+,,kegg.orthology:K21136,"triA; membrane fusion protein, multidrug efflux system",,Accessory factors involved in transport [TC:8],tcdb:2.A.6.2.27,2.A.6.2.27,unresolved,unresolved,,,none,"triA; membrane fusion protein, multidrug efflux system",,brite;kegg;tcdb;func
EZ55_00402,,efflux RND transporter permease subunit,Defense mechanisms,NZ_OX359237.1,451142,454288,+,PERM,,,,,,,unresolved,unresolved,,,none,efflux RND transporter permease subunit,,func
EZ55_00416,,TorF family putative porin,Unknown,NZ_OX359237.1,473105,473926,+,,,,,,,,unresolved,unresolved,,,none,TorF family putative porin,,func
EZ55_00423,pilQ,type IV pilus secretin PilQ,Intracellular trafficking,NZ_OX359237.1,479296,481068,-,,kegg.orthology:K02507,hofQ; protein transport protein HofQ,protein,,tcdb:3.A.15.2,3.A.15.2,unresolved,unresolved,,,none,hofQ; protein transport protein HofQ,,tcdb
EZ55_00456,,TonB-dependent receptor domain-containing protein,Inorganic ion transport,NZ_OX359237.1,517868,519931,+,,kegg.orthology:K16087,"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein",,Pores ion channels [TC:1],tcdb:1.B.14.2,1.B.14.2,unresolved,unresolved,,,none,"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein",,brite;tcdb;func
EZ55_00459,pvdR,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,521900,523078,+,,kegg.orthology:K02005,ABC.CD.TX; HlyD family secretion protein,,Accessory factors involved in transport [TC:8],tcdb:8.A.1,The Membrane Fusion Protein (MFP) Family,unresolved,unresolved,,,none,ABC.CD.TX; HlyD family secretion protein,,brite;kegg;tcdb;func
EZ55_00460,macB,MacB family efflux pump subunit,Defense mechanisms,NZ_OX359237.1,523080,525050,+,ATP,kegg.orthology:K02003,ABC.CD.A; putative ABC transport system ATP-binding protein,putative ABC,Macrolide exporter,tcdb:3.A.1.122.1,3.A.1.122.1,unresolved,unresolved,,,none,ABC.CD.A; putative ABC transport system ATP-binding protein,,brite;kegg;tcdb;func
EZ55_00464,secB,protein-export chaperone SecB,Intracellular trafficking,NZ_OX359237.1,528149,528658,-,,kegg.orthology:K03071,secB; preprotein translocase subunit SecB,,,tcdb:3.A.5,The General Secretory Pathway (Sec) Family,unresolved,unresolved,,,none,secB; preprotein translocase subunit SecB,,kegg;tcdb
EZ55_00471,,DMT family transporter,Amino acid metabolism,NZ_OX359237.1,533300,534175,-,PERM,,,,,,,unresolved,unresolved,,,none,DMT family transporter,,func
EZ55_00478,,TonB-dependent receptor domain-containing protein,Cell wall and membrane,NZ_OX359237.1,538150,541236,+,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor domain-containing protein,,func
EZ55_00488,tatA,Sec-independent protein translocase subunit TatA,Intracellular trafficking,NZ_OX359237.1,549675,549920,+,,kegg.orthology:K03116,tatA; sec-independent protein translocase protein TatA,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,unresolved,unresolved,,,none,tatA; sec-independent protein translocase protein TatA,,kegg;tcdb;func
EZ55_00489,tatB,Sec-independent protein translocase protein TatB,Intracellular trafficking,NZ_OX359237.1,549920,550219,+,,kegg.orthology:K03117,tatB; sec-independent protein translocase protein TatB,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,unresolved,unresolved,,,none,tatB; sec-independent protein translocase protein TatB,,kegg;tcdb
EZ55_00490,tatC,twin-arginine translocase subunit TatC,Intracellular trafficking,NZ_OX359237.1,550220,550975,+,,kegg.orthology:K03118,tatC; sec-independent protein translocase protein TatC,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,arginine,specific_compound,organic,product,inferred,twin-arginine translocase subunit TatC,,kegg;tcdb
EZ55_00501,nhaA,Na+/H+ antiporter NhaA,Inorganic ion transport,NZ_OX359237.1,564484,565758,-,,kegg.orthology:K03313,"nhaA; Na+:H+ antiporter, NhaA family",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.33.1,2.A.33.1,sodium,specific_compound,inorganic,function_description,inferred,Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,,brite;kegg;tcdb;func
EZ55_00519,mleN,Na+/H+ antiporter NhaC family protein,Energy production,NZ_OX359237.1,583252,584628,-,,,,,,,,unresolved,unresolved,,,none,Na+/H+ antiporter NhaC family protein,,func
EZ55_00521,,mechanosensitive ion channel family protein,Cell wall and membrane,NZ_OX359237.1,586917,587987,+,,,,,,,,unresolved,unresolved,,,none,mechanosensitive ion channel family protein,,func
EZ55_00529,,TonB-dependent receptor,Inorganic ion transport,NZ_OX359237.1,594704,595822,+,,,,,,,,phosphate,specific_compound,inorganic,function_description,inferred,phosphate-selective porin O and P,,func
EZ55_00530,,substrate-binding periplasmic protein,Amino acid metabolism,NZ_OX359237.1,595842,596639,+,SBP,kegg.orthology:K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein,polar amino acid,Putative polar amino acid transporter,tcdb:3.A.1.3,3.A.1.3,polar amino acid,narrow_class,organic,kegg_ko,confident,ABC.PA.S; polar amino acid transport system substrate-binding protein,glutamate; aspartate; glutamine; arginine,brite;kegg;tcdb;func
EZ55_00531,,NRAMP family divalent metal transporter,Inorganic ion transport,NZ_OX359237.1,596949,598220,+,,,,,,,,unresolved,unresolved,,,none,NRAMP family divalent metal transporter,,func
EZ55_00538,,YnfA family protein,Unknown,NZ_OX359237.1,602336,602704,-,,kegg.orthology:K09771,TC.SMR3; small multidrug resistance family-3 protein,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.26,2.A.7.26,unresolved,unresolved,,,none,TC.SMR3; small multidrug resistance family-3 protein,,brite;tcdb
EZ55_00589,,ZIP family metal transporter,Inorganic ion transport,NZ_OX359237.1,637875,638591,+,,kegg.orthology:K07238,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",zinc,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.5.5,2.A.5.5,zinc,specific_compound,inorganic,kegg_ko,confident,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",,brite;kegg;tcdb;func
EZ55_00600,nlpD,peptidoglycan DD-metalloendopeptidase family protein,Cell cycle and division,NZ_OX359237.1,645956,646795,-,,kegg.orthology:K06194,nlpD; lipoprotein NlpD,,,tcdb:1.A.34.1.2,1.A.34.1.2,unresolved,unresolved,,,none,nlpD; lipoprotein NlpD,,tcdb
EZ55_00611,,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_OX359237.1,660465,661943,+,,,,,,,,unresolved,unresolved,,,none,efflux RND transporter periplasmic adaptor subunit,,func
EZ55_00612,,efflux RND transporter permease subunit,Defense mechanisms,NZ_OX359237.1,661933,665160,+,PERM,,,,,,,unresolved,unresolved,,,none,efflux RND transporter permease subunit,,func
EZ55_00620,ptsP,phosphoenolpyruvate--protein phosphotransferase,Signal transduction,NZ_OX359237.1,672272,674563,+,,kegg.orthology:K08483,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,Enzyme I [TC:8.A.7],tcdb:8.A.7,The Phosphotransferase System Enzyme I (EI) Family,unresolved,unresolved,,,none,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,brite;tcdb
EZ55_00621,,sulfite exporter TauE/SafE family protein,Unknown,NZ_OX359237.1,674567,675373,+,,kegg.orthology:K07090,K07090; uncharacterized protein,,,,,unresolved,unresolved,,,none,K07090; uncharacterized protein,,func
EZ55_00627,ampG,AmpG family muropeptide MFS transporter,Carbohydrate metabolism,NZ_OX359237.1,681362,682708,-,PERM,kegg.orthology:K08218,"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",MFS,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],tcdb:2.A.1.25,2.A.1.25,peptide,narrow_class,organic,brite_leaf,confident,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],,brite;kegg;tcdb;func
EZ55_00642,,ion transporter,Inorganic ion transport,NZ_OX359237.1,704953,705807,-,,kegg.orthology:K08714,VGSC; voltage-gated sodium channel,voltage-gated sodium,Pores ion channels [TC:1],tcdb:1.A.1.14,1.A.1.14,voltage-gated sodium,specific_compound,inorganic,kegg_ko,confident,VGSC; voltage-gated sodium channel,,brite;kegg;tcdb;func
EZ55_00644,tolC,outer membrane channel protein TolC,Cell wall and membrane,NZ_OX359237.1,706315,707688,-,,kegg.orthology:K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,Pores ion channels [TC:1],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,brite;tcdb;func
EZ55_00653,,Hsp70 family protein,Post-translational modification,NZ_OX359237.1,714622,717117,+,,kegg.orthology:K04043,"dnaK, HSPA9; molecular chaperone DnaK",,,tcdb:1.A.33.1,1.A.33.1,unresolved,unresolved,,,none,"dnaK, HSPA9; molecular chaperone DnaK",,tcdb
EZ55_00666,,TonB-dependent receptor,Coenzyme metabolism,NZ_OX359237.1,730002,732395,+,,kegg.orthology:K02014,TC.FEV.OM; iron complex outermembrane recepter protein,,Pores ion channels [TC:1],tcdb:1.B.14,The Outer Membrane Receptor (OMR) Family,iron/siderophore,specific_compound,inorganic,kegg_ko_keyword,inferred,TC.FEV.OM; iron complex outermembrane recepter protein,,brite;tcdb;func
EZ55_00678,,SulP family inorganic anion transporter,Inorganic ion transport,NZ_OX359237.1,741992,743557,+,PERM,kegg.orthology:K03321,"TC.SULP; sulfate permease, SulP family",sulfate,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.53.3,2.A.53.3,sulfate,specific_compound,inorganic,kegg_ko,confident,"TC.SULP; sulfate permease, SulP family",,brite;kegg;tcdb;func
EZ55_00688,nrtC,CmpA/NrtA family ABC transporter substrate-binding protein,Inorganic ion transport,NZ_OX359237.1,757220,758629,+,SBP,kegg.orthology:K15576,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate; nitrite,brite;kegg;tcdb;func
EZ55_00689,nrtB,ABC transporter permease,Inorganic ion transport,NZ_OX359237.1,758718,759713,+,PERM,kegg.orthology:K15577,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",nitrate; nitrite,brite;kegg;tcdb;func
EZ55_00690,nasD,ABC transporter ATP-binding protein,Inorganic ion transport,NZ_OX359237.1,759730,760632,+,ATP,kegg.orthology:K15578,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]",nitrate; nitrite,brite;kegg;tcdb;func
EZ55_00694,btuB,TonB-dependent receptor plug domain-containing protein,Coenzyme metabolism,NZ_OX359237.1,763921,765843,-,,kegg.orthology:K16092,btuB; vitamin B12 transporter,vitamin B12,Pores ion channels [TC:1],tcdb:1.B.14.3,1.B.14.3,vitamin B12,specific_compound,organic,kegg_ko,confident,btuB; vitamin B12 transporter,,brite;kegg;tcdb;func
