system_id,locus_tags,gene_names,n_genes,KO_ids,component_roles,substrate_call,resolution_level,confidence_flag,source,substrate_evidence,substrate_options,importer_or_exporter,organic_or_inorganic,gene_categories
EZ55_TS018,EZ55_00183,,1,kegg.orthology:K02027,SBP,sugar,broad_class,confident,kegg_ko,ABC.MS.S; multiple sugar transport system substrate-binding protein,,importer,organic,Carbohydrate metabolism
EZ55_TS019,EZ55_00195,yegD,1,kegg.orthology:K04046,-,unresolved,unresolved,none,,yegD; hypothetical chaperone protein,,importer,unknown,Post-translational modification
EZ55_TS020,EZ55_00198,yajR,1,,PERM,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Amino acid metabolism
EZ55_TS021,EZ55_00206,sglT,1,kegg.orthology:K03307,-,The Solute:Sodium Symporter (SSS),specific_compound,inferred,tcdb_family,The Solute:Sodium Symporter (SSS) Family,,importer,inorganic,Unknown
EZ55_TS022,EZ55_00211,,1,kegg.orthology:K03307,-,The Solute:Sodium Symporter (SSS),specific_compound,inferred,tcdb_family,The Solute:Sodium Symporter (SSS) Family,,importer,inorganic,Unknown
EZ55_TS023,EZ55_00212,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
EZ55_TS024,EZ55_00213,glpK,1,kegg.orthology:K00864,-,glycerol,specific_compound,inferred,reclassified: enzyme / biosynthesis (not a membrane solute transporter),Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,,non_transporter,organic,Energy production
EZ55_TS025,EZ55_00236,mreB,1,kegg.orthology:K03569,-,unresolved,unresolved,none,,mreB; rod shape-determining protein MreB and related proteins,,importer,unknown,Cell cycle and division
EZ55_TS026,EZ55_00237,mreC,1,kegg.orthology:K03570,-,unresolved,unresolved,none,,mreC; rod shape-determining protein MreC,,importer,unknown,Cell wall and membrane
EZ55_TS027,EZ55_00238,mreD,1,kegg.orthology:K03571,-,unresolved,unresolved,none,,mreD; rod shape-determining protein MreD,,importer,unknown,Cell wall and membrane
EZ55_TS028,EZ55_00283,czcC,1,kegg.orthology:K15725,-,unresolved,unresolved,none,,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
EZ55_TS029,EZ55_00284;EZ55_00285,;helA,2,kegg.orthology:K15727;kegg.orthology:K15726,-;PERM,unresolved,unresolved,none,,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane;Inorganic ion transport
EZ55_TS030,EZ55_00286,,1,kegg.orthology:K16264,-,zinc,specific_compound,inferred,kegg_ko_keyword,"czcD, zitB; cobalt-zinc-cadmium efflux system protein",,exporter,inorganic,Inorganic ion transport
EZ55_TS031,EZ55_00293,,1,,-,unresolved,unresolved,none,,LNS2 domain-containing protein,,importer,unknown,Unknown
EZ55_TS032,EZ55_00299,czcA,1,kegg.orthology:K15726,PERM,unresolved,unresolved,none,,"czcA, cusA, cnrA; heavy metal efflux system protein",,exporter,unknown,Inorganic ion transport
EZ55_TS033,EZ55_00300,czcB,1,kegg.orthology:K15727,-,unresolved,unresolved,none,,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
EZ55_TS034,EZ55_00301,czcC,1,kegg.orthology:K15725,-,unresolved,unresolved,none,,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
EZ55_TS035,EZ55_00326,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
EZ55_TS036,EZ55_00328,,1,,-,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Carbohydrate metabolism
EZ55_TS037,EZ55_00331,,1,,-,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
EZ55_TS038,EZ55_00340,,1,kegg.orthology:K05820,PERM,3-phenylpropionic acid,specific_compound,inferred,kegg_ko_keyword,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",,importer,organic,Amino acid metabolism
EZ55_TS039,EZ55_00371,nhaP,1,kegg.orthology:K03316,-,unresolved,unresolved,none,,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,importer,unknown,Inorganic ion transport
EZ55_TS040,EZ55_00391,amtB,1,kegg.orthology:K03320,-,ammonium,specific_compound,confident,kegg_ko,"amt, AMT, MEP; ammonium transporter, Amt family",,importer,inorganic,Inorganic ion transport
EZ55_TS041,EZ55_00401;EZ55_00402,;,2,kegg.orthology:K21136,-;PERM,unresolved,unresolved,none,,"triA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS042,EZ55_00416,,1,,-,unresolved,unresolved,none,,TorF family putative porin,,importer,unknown,Unknown
EZ55_TS043,EZ55_00423,pilQ,1,kegg.orthology:K02507,-,unresolved,unresolved,none,,hofQ; protein transport protein HofQ,,importer,unknown,Intracellular trafficking
EZ55_TS044,EZ55_00456,,1,kegg.orthology:K16087,-,unresolved,unresolved,none,,"TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR; hemoglobin/transferrin/lactoferrin receptor protein",,importer,unknown,Inorganic ion transport
EZ55_TS045,EZ55_00459;EZ55_00460,pvdR;macB,2,kegg.orthology:K02005;kegg.orthology:K02003,-;ATP,unresolved,unresolved,none,,ABC.CD.TX; HlyD family secretion protein,,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS046,EZ55_00464,secB,1,kegg.orthology:K03071,-,unresolved,unresolved,none,,secB; preprotein translocase subunit SecB,,exporter,unknown,Intracellular trafficking
EZ55_TS047,EZ55_00471,,1,,PERM,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
EZ55_TS048,EZ55_00478,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Cell wall and membrane
EZ55_TS049,EZ55_00488,tatA,1,kegg.orthology:K03116,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),tatA; sec-independent protein translocase protein TatA,,non_transporter,unknown,Intracellular trafficking
EZ55_TS050,EZ55_00489,tatB,1,kegg.orthology:K03117,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),tatB; sec-independent protein translocase protein TatB,,non_transporter,unknown,Intracellular trafficking
EZ55_TS051,EZ55_00490,tatC,1,kegg.orthology:K03118,-,arginine,specific_compound,inferred,reclassified: protein-export/secretion (not a solute importer),twin-arginine translocase subunit TatC,,non_transporter,organic,Intracellular trafficking
EZ55_TS052,EZ55_00501,nhaA,1,kegg.orthology:K03313,-,sodium,specific_compound,inferred,function_description,Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,,importer,inorganic,Inorganic ion transport
EZ55_TS053,EZ55_00519,mleN,1,,-,unresolved,unresolved,none,,Na+/H+ antiporter NhaC family protein,,importer,unknown,Energy production
EZ55_TS054,EZ55_00521,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
EZ55_TS055,EZ55_00529;EZ55_00530,;,2,kegg.orthology:K02030,-;SBP,phosphate,specific_compound,inferred,function_description,phosphate-selective porin O and P,,importer,inorganic,Amino acid metabolism;Inorganic ion transport
EZ55_TS056,EZ55_00531,,1,,-,unresolved,unresolved,none,,NRAMP family divalent metal transporter,,importer,unknown,Inorganic ion transport
EZ55_TS057,EZ55_00538,,1,kegg.orthology:K09771,-,unresolved,unresolved,none,,TC.SMR3; small multidrug resistance family-3 protein,,exporter,unknown,Unknown
EZ55_TS058,EZ55_00589,,1,kegg.orthology:K07238,-,zinc,specific_compound,confident,kegg_ko,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",,importer,inorganic,Inorganic ion transport
EZ55_TS059,EZ55_00600,nlpD,1,kegg.orthology:K06194,-,unresolved,unresolved,none,,nlpD; lipoprotein NlpD,,importer,unknown,Cell cycle and division
EZ55_TS060,EZ55_00611;EZ55_00612,;,2,,-;PERM,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS061,EZ55_00620,ptsP,1,kegg.orthology:K08483,-,unresolved,unresolved,none,,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,importer,unknown,Signal transduction
EZ55_TS062,EZ55_00621,,1,kegg.orthology:K07090,-,unresolved,unresolved,none,,K07090; uncharacterized protein,,exporter,unknown,Unknown
EZ55_TS063,EZ55_00627,ampG,1,kegg.orthology:K08218,PERM,peptide,narrow_class,confident,brite_leaf,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],,importer,organic,Carbohydrate metabolism
EZ55_TS064,EZ55_00642,,1,kegg.orthology:K08714,-,voltage-gated sodium,specific_compound,confident,kegg_ko,VGSC; voltage-gated sodium channel,,importer,inorganic,Inorganic ion transport
EZ55_TS065,EZ55_00644,tolC,1,kegg.orthology:K12340,-,unresolved,unresolved,none,,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,importer,unknown,Cell wall and membrane
EZ55_TS066,EZ55_00653,,1,kegg.orthology:K04043,-,unresolved,unresolved,none,,"dnaK, HSPA9; molecular chaperone DnaK",,importer,unknown,Post-translational modification
EZ55_TS067,EZ55_00666,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Coenzyme metabolism
EZ55_TS068,EZ55_00678,,1,kegg.orthology:K03321,PERM,sulfate,specific_compound,confident,kegg_ko,"TC.SULP; sulfate permease, SulP family",,importer,inorganic,Inorganic ion transport
EZ55_TS069,EZ55_00688;EZ55_00689;EZ55_00690,nrtC;nrtB;nasD,3,kegg.orthology:K15576;kegg.orthology:K15577;kegg.orthology:K15578,SBP;PERM;ATP,nitrate/nitrite,multi_substrate,confident,kegg_ko,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate; nitrite,importer,inorganic,Inorganic ion transport
EZ55_TS070,EZ55_00694,btuB,1,kegg.orthology:K16092,-,vitamin B12,specific_compound,confident,kegg_ko,btuB; vitamin B12 transporter,,importer,organic,Coenzyme metabolism
EZ55_TS071,EZ55_00707;EZ55_00708,;acrF,2,kegg.orthology:K03585;kegg.orthology:K18138,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS072,EZ55_00709,,1,,SBP,phosphate,specific_compound,inferred,function_description,Phosphate ABC transporter substrate-binding protein,,importer,inorganic,Inorganic ion transport
EZ55_TS073,EZ55_00725,benE,1,kegg.orthology:K05782,-,benzoate,specific_compound,confident,kegg_ko,benE; benzoate membrane transport protein,,importer,organic,Secondary metabolites
EZ55_TS074,EZ55_00731,pstS,1,kegg.orthology:K02040,SBP,phosphate,specific_compound,confident,kegg_ko,pstS; phosphate transport system substrate-binding protein,,importer,inorganic,Inorganic ion transport
EZ55_TS075,EZ55_00734,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Inorganic ion transport
EZ55_TS076,EZ55_00736,,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
EZ55_TS077,EZ55_00737,,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
EZ55_TS078,EZ55_00738,,1,kegg.orthology:K03559,-,unresolved,unresolved,none,,exbD; biopolymer transport protein ExbD,,importer,unknown,Intracellular trafficking
EZ55_TS079,EZ55_00739,,1,kegg.orthology:K03832,-,unresolved,unresolved,none,,tonB; periplasmic protein TonB,,importer,unknown,Cell wall and membrane
EZ55_TS080,EZ55_00743,,1,kegg.orthology:K01897,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",,non_transporter,unknown,Lipid metabolism
EZ55_TS081,EZ55_00762,lptD,1,kegg.orthology:K04744,-,unresolved,unresolved,none,reclassified: surface-polysaccharide / cell-envelope biosynthesis-export (not a solute importer),"lptD, imp, ostA; LPS-assembly protein",,non_transporter,unknown,Cell wall and membrane
EZ55_TS082,EZ55_00765,dsbC,1,kegg.orthology:K03981,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1],,non_transporter,unknown,Cell wall and membrane
EZ55_TS083,EZ55_00785,,1,kegg.orthology:K07243,PERM,high-affinity iron,specific_compound,confident,kegg_ko,"FTR, FTH1, efeU; high-affinity iron transporter",,importer,inorganic,Inorganic ion transport
EZ55_TS084,EZ55_00789,,1,,SBP,unresolved,unresolved,none,,transporter substrate-binding domain-containing protein,,importer,unknown,Amino acid metabolism
EZ55_TS085,EZ55_00795,sspA,1,kegg.orthology:K03599,-,unresolved,unresolved,none,,"sspA, mglA; stringent starvation protein A",,importer,unknown,Post-translational modification
EZ55_TS086,EZ55_00800,mgtE,1,kegg.orthology:K06213,-,magnesium,specific_compound,confident,kegg_ko,mgtE; magnesium transporter,,importer,inorganic,Inorganic ion transport
EZ55_TS087,EZ55_00801,ptsO,1,kegg.orthology:K08485,-,unresolved,unresolved,none,,"ptsO, npr; phosphocarrier protein NPr",,importer,unknown,Carbohydrate metabolism
EZ55_TS088,EZ55_00803,ptsN,1,kegg.orthology:K02806,-,unresolved,unresolved,none,,ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-],,importer,unknown,Carbohydrate metabolism
EZ55_TS089,EZ55_00806,lptB,1,kegg.orthology:K06861,ATP,saccharide,broad_class,confident,brite_leaf,Lipopolysaccharide transporter,,exporter,organic,Unknown
EZ55_TS090,EZ55_00807,lptA,1,kegg.orthology:K09774,-,unresolved,unresolved,none,,lptA; lipopolysaccharide export system protein LptA,,exporter,unknown,Unknown
EZ55_TS091,EZ55_00808,lptC,1,kegg.orthology:K11719,-,unresolved,unresolved,none,,lptC; lipopolysaccharide export system protein LptC,,exporter,unknown,Unknown
EZ55_TS092,EZ55_00811,yrbG,1,kegg.orthology:K07301,-,sodium,specific_compound,inferred,product,calcium/sodium antiporter,,importer,inorganic,Inorganic ion transport
EZ55_TS093,EZ55_00812;EZ55_00813;EZ55_00814;EZ55_00815;EZ55_00816,mlaF;mlaE;mlaD;ttg2D;yrbB,5,kegg.orthology:K02065;kegg.orthology:K02066;kegg.orthology:K02067;kegg.orthology:K07323;kegg.orthology:K07122,ATP;PERM;SBP;SBP;SBP,phospholipid/cholesterol/gamma-HCH,multi_substrate,confident,kegg_ko,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",phospholipid; cholesterol; gamma-hch,importer,organic,Secondary metabolites;Unknown
EZ55_TS094,EZ55_00833,secD,1,kegg.orthology:K12257,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),secDF; SecD/SecF fusion protein,,non_transporter,unknown,Intracellular trafficking
EZ55_TS095,EZ55_00834,nhaP2,1,kegg.orthology:K11105,-,potassium,specific_compound,inferred,kegg_ko_keyword,"cvrA, nhaP2; potassium/hydrogen antiporter",,importer,inorganic,Inorganic ion transport
EZ55_TS096,EZ55_00837,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
EZ55_TS097,EZ55_00838,ywfM,1,kegg.orthology:K03298,-,unresolved,unresolved,none,,"TC.DME; drug/metabolite transporter, DME family",,importer,unknown,Amino acid metabolism
EZ55_TS098,EZ55_00841,,1,kegg.orthology:K01999,SBP,branched-chain amino acid,narrow_class,confident,kegg_ko,livK; branched-chain amino acid transport system substrate-binding protein,leucine; isoleucine; valine,importer,organic,Amino acid metabolism
EZ55_TS099,EZ55_00850;EZ55_00851,;,2,kegg.orthology:K03585;kegg.orthology:K03296,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
EZ55_TS100,EZ55_00852,nodT,1,kegg.orthology:K18139,-,unresolved,unresolved,none,,"oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane
EZ55_TS101,EZ55_00858;EZ55_00859;EZ55_00860,pstC;pstA;pstB,3,kegg.orthology:K02037;kegg.orthology:K02038;kegg.orthology:K02036,PERM;PERM;ATP,phosphate,specific_compound,confident,kegg_ko,pstC; phosphate transport system permease protein,,importer,inorganic,Inorganic ion transport
EZ55_TS102,EZ55_00861,phoU,1,kegg.orthology:K02039,-,phosphate,specific_compound,confident,kegg_ko,phoU; phosphate transport system protein,,importer,inorganic,Inorganic ion transport
EZ55_TS103,EZ55_00862,pitA,1,kegg.orthology:K03306,PERM,inorganic phosphate,specific_compound,confident,kegg_ko,"TC.PIT; inorganic phosphate transporter, PiT family",,importer,inorganic,Inorganic ion transport
EZ55_TS104,EZ55_00892,sstT,1,kegg.orthology:K07862,-,serine/threonine,multi_substrate,confident,kegg_ko,sstT; serine/threonine transporter,serine; threonine,importer,organic,Amino acid metabolism
EZ55_TS105,EZ55_00899,,1,kegg.orthology:K07274,-,unresolved,unresolved,none,,"mipA, ompV; MipA family protein",,importer,unknown,Cell wall and membrane
EZ55_TS106,EZ55_00904,ybiT,1,,ATP,unresolved,unresolved,none,,ABC-F family ATPase,,importer,unknown,Unknown
EZ55_TS107,EZ55_00910,,1,kegg.orthology:K16052,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,"ynaI, mscMJ; MscS family membrane protein",,importer,inorganic,Cell wall and membrane
EZ55_TS108,EZ55_00913,,1,,-,unresolved,unresolved,none,,porin family protein,,importer,unknown,Cell wall and membrane
EZ55_TS109,EZ55_00915,,1,kegg.orthology:K07552,PERM,unresolved,unresolved,none,,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein",,exporter,unknown,Amino acid metabolism
EZ55_TS110,EZ55_00937,,1,kegg.orthology:K06518,-,unresolved,unresolved,none,,cidA; holin-like protein,,importer,unknown,Unknown
EZ55_TS111,EZ55_00950,gspA,1,kegg.orthology:K02450,-,unresolved,unresolved,none,,gspA; general secretion pathway protein A,,exporter,unknown,Intracellular trafficking
EZ55_TS112,EZ55_00951,gspB,1,kegg.orthology:K02451,-,unresolved,unresolved,none,,gspB; general secretion pathway protein B,,exporter,unknown,Intracellular trafficking
EZ55_TS113,EZ55_00962,recA,1,kegg.orthology:K03553,-,unresolved,unresolved,none,,recA; recombination protein RecA,,importer,unknown,Replication and repair
EZ55_TS114,EZ55_00963;EZ55_00964,natA;natB,2,kegg.orthology:K09697;kegg.orthology:K09696,ATP;PERM,sodium,specific_compound,confident,kegg_ko,natA; sodium transport system ATP-binding protein [EC:7.2.2.4],,exporter,inorganic,Energy production
EZ55_TS115,EZ55_00967,ccmA,1,kegg.orthology:K02193,ATP,heme,specific_compound,inferred,kegg_ko_keyword,ccmA; heme exporter protein A [EC:7.6.2.5],,exporter,organic,Post-translational modification
EZ55_TS116,EZ55_00968;EZ55_00969,ccmB;ccmC,2,kegg.orthology:K02194;kegg.orthology:K02195,-;PERM,heme,specific_compound,inferred,kegg_ko_keyword,ccmB; heme exporter protein B,,exporter,organic,Post-translational modification
EZ55_TS117,EZ55_00970,ccmD,1,kegg.orthology:K02196,-,heme,specific_compound,inferred,kegg_ko_keyword,ccmD; heme exporter protein D,,exporter,organic,Intracellular trafficking
EZ55_TS118,EZ55_00972,ccmF,1,kegg.orthology:K02198,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccmF; cytochrome c-type biogenesis protein CcmF,,non_transporter,unknown,Post-translational modification
EZ55_TS119,EZ55_00979,dtpT,1,kegg.orthology:K03305,-,oligopeptide,narrow_class,confident,kegg_ko,"TC.POT; proton-dependent oligopeptide transporter, POT family",,importer,organic,Amino acid metabolism
EZ55_TS120,EZ55_00980;EZ55_00981;EZ55_00982,kpsE;kpsT;kpsM,3,kegg.orthology:K10107;kegg.orthology:K09689;kegg.orthology:K09688,PERM;ATP;PERM,saccharide,broad_class,confident,kegg_ko,kpsE; capsular polysaccharide transport system permease protein,,exporter,organic,Carbohydrate metabolism;Cell wall and membrane
EZ55_TS121,EZ55_00989,,1,kegg.orthology:K02237,-,unresolved,unresolved,none,,comEA; competence protein ComEA,,importer,unknown,Replication and repair
EZ55_TS122,EZ55_01020,yaeT,1,kegg.orthology:K07277,-,unresolved,unresolved,none,,"SAM50, TOB55, bamA; outer membrane protein insertion porin family",,importer,unknown,Cell wall and membrane
EZ55_TS123,EZ55_01030,kefB,1,kegg.orthology:K03455,-,unresolved,unresolved,none,,"KEA1_2_3, kefB, kefC; K+:H+ antiporter",,importer,unknown,Inorganic ion transport
EZ55_TS124,EZ55_01063,fliD,1,kegg.orthology:K02407,-,unresolved,unresolved,none,,fliD; flagellar hook-associated protein 2,,importer,unknown,Cell motility
EZ55_TS125,EZ55_01074,fliF,1,kegg.orthology:K02409,-,unresolved,unresolved,none,,fliF; flagellar M-ring protein FliF,,importer,unknown,Cell motility
EZ55_TS126,EZ55_01076;EZ55_01077,fliH;fliI,2,kegg.orthology:K02411;kegg.orthology:K02412,-;ATP,unresolved,unresolved,none,,fliH; flagellar assembly protein FliH,,exporter,unknown,Cell motility
EZ55_TS127,EZ55_01082,fliN,1,kegg.orthology:K02417,-,unresolved,unresolved,none,,fliN; flagellar motor switch protein FliN,,importer,unknown,Cell motility
EZ55_TS128,EZ55_01083,fliO,1,kegg.orthology:K02418,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"fliO, fliZ; flagellar protein FliO/FliZ",,non_transporter,unknown,Cell motility
EZ55_TS129,EZ55_01084,fliP,1,kegg.orthology:K02419,-,unresolved,unresolved,none,,fliP; flagellar biosynthesis protein FliP,,exporter,unknown,Cell motility
EZ55_TS130,EZ55_01085,fliQ,1,kegg.orthology:K02420,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),fliQ; flagellar biosynthesis protein FliQ,,non_transporter,unknown,Cell motility
EZ55_TS131,EZ55_01086,fliR,1,kegg.orthology:K02421,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),fliR; flagellar biosynthesis protein FliR,,non_transporter,unknown,Cell motility
EZ55_TS132,EZ55_01087,flhB,1,kegg.orthology:K02401,-,unresolved,unresolved,none,,flhB; flagellar biosynthesis protein FlhB,,exporter,unknown,Cell motility
EZ55_TS133,EZ55_01090,flhA,1,kegg.orthology:K02400,-,unresolved,unresolved,none,,flhA; flagellar biosynthesis protein FlhA,,exporter,unknown,Cell motility
EZ55_TS134,EZ55_01111,,1,kegg.orthology:K03321,PERM,sulfate,specific_compound,confident,kegg_ko,"TC.SULP; sulfate permease, SulP family",,importer,inorganic,Inorganic ion transport
EZ55_TS135,EZ55_01112,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Inorganic ion transport
EZ55_TS136,EZ55_01124,oadG,1,kegg.orthology:K01573,-,sodium,specific_compound,inferred,reclassified: enzyme / biosynthesis (not a membrane solute transporter),Lyase and sodium transporter,,non_transporter,inorganic,Energy production
EZ55_TS137,EZ55_01125,oadA,1,kegg.orthology:K01571,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),oadA; oxaloacetate decarboxylase (Na+ extruding) subunit alpha [EC:7.2.4.2],,non_transporter,unknown,Energy production
