locus_tag,contig,start,end,strand,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,cog,gene_category,anchor,role_first_pass
ACZ81_02460,NZ_CP012202.1,555962,557080,+,TonB-dependent receptor,phosphate-selective porin O and P,,,,Inorganic ion transport and metabolism,Inorganic ion transport,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,other
ACZ81_02465,NZ_CP012202.1,557100,557897,+,substrate-binding periplasmic protein,ABC transporter,K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein,3.A.1.3,Amino acid transport and metabolism ; Signal transduction mechanisms,Amino acid metabolism,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,substrate-binding
ACZ81_02470,NZ_CP012202.1,558044,559381,+,alginate export family protein,Alginate export,,,,Cell wall/membrane/envelope biogenesis,Cell wall and membrane,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
ACZ81_02475,NZ_CP012202.1,559524,560795,+,NRAMP family divalent metal transporter,COG1914 Mn2 and Fe2 transporters of the NRAMP family,,,,Inorganic ion transport and metabolism,Inorganic ion transport,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,other
ACZ81_02480,NZ_CP012202.1,560943,561413,+,hypothetical protein,,,,,,Unknown,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
ACZ81_02485,NZ_CP012202.1,561423,562679,-,serine hydroxymethyltransferase,"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism",K00600,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]",,Amino acid transport and metabolism,Amino acid metabolism,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,catabolic
ACZ81_02490,NZ_CP012202.1,562851,563708,+,LysR family transcriptional regulator,Transcriptional regulator,,,,Transcription,Transcription,glutamine_K10036_ABSENT__polarAA_ABC_K02030_rep,unclear
ACZ81_03310,NZ_CP012202.1,741363,741857,+,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,"COG0801 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase",K00950,folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3],,Coenzyme transport and metabolism,Coenzyme metabolism,single_gene_2A_carrier_benE_2.A.46.1,catabolic
ACZ81_03315,NZ_CP012202.1,741866,742666,+,undecaprenyl-diphosphate phosphatase,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,K06153,bacA; undecaprenyl-diphosphatase [EC:3.6.1.27],,Defense mechanisms,Defense mechanisms,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03320,NZ_CP012202.1,742840,743211,+,histidine triad nucleotide-binding protein,COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases,K02503,"HINT1_2, hinT, hit; histidine triad (HIT) family protein [EC:3.9.1.-]",,Nucleotide transport and metabolism ; Carbohydrate transport and metabolism,Nucleotide metabolism,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03325,NZ_CP012202.1,743294,744988,-,dipeptidyl-peptidase 3 family protein,Peptidase family M49,,,,Function unknown,Unknown,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03330,NZ_CP012202.1,745437,746273,+,HDOD domain-containing protein,signal transduction protein,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]",,Signal transduction mechanisms,Signal transduction,single_gene_2A_carrier_benE_2.A.46.1,catabolic
ACZ81_03335,NZ_CP012202.1,746385,747575,-,benzoate/H(+) symporter BenE family transporter,protein involved in benzoate metabolism,K05782,benE; benzoate membrane transport protein,2.A.46.1,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites,single_gene_2A_carrier_benE_2.A.46.1,other
ACZ81_03340,NZ_CP012202.1,747762,748325,+,helix-turn-helix domain-containing protein,transcriptional,,,,Transcription,Transcription,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03345,NZ_CP012202.1,748533,749444,-,recombination-associated protein RdgC,May be involved in recombination,K03554,rdgC; recombination associated protein RdgC,,"Replication, recombination and repair",Replication and repair,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03350,NZ_CP012202.1,749562,751292,-,sensor histidine kinase,COG0642 Signal transduction histidine kinase,,,,Signal transduction mechanisms,Signal transduction,single_gene_2A_carrier_benE_2.A.46.1,catabolic
ACZ81_03355,NZ_CP012202.1,751547,752236,+,phosphate regulon transcriptional regulator PhoB,This protein is a positive regulator for the phosphate regulon. Transcription of this operon is positively regulated by PhoB and PhoR when phosphate is limited,K07657,"phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB",,Signal transduction mechanisms,Signal transduction,single_gene_2A_carrier_benE_2.A.46.1,unclear
ACZ81_03360,NZ_CP012202.1,752337,753638,+,phosphate regulon sensor histidine kinase PhoR,Signal transduction histidine kinase,K07636,"phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",,Signal transduction mechanisms,Signal transduction,single_gene_2A_carrier_benE_2.A.46.1,catabolic
ACZ81_03895,NZ_CP012202.1,873706,875169,+,potassium/proton antiporter,COG3263 NhaP-type Na H and K H antiporters with a unique C-terminal domain,K11105,"cvrA, nhaP2; potassium/hydrogen antiporter",2.A.36.6,Inorganic ion transport and metabolism,Inorganic ion transport,branched_chain_AA_livK_K01999,other
ACZ81_03900,NZ_CP012202.1,875626,878022,-,TonB-dependent receptor,TonB dependent receptor,,,,Inorganic ion transport and metabolism,Inorganic ion transport,branched_chain_AA_livK_K01999,other
ACZ81_03905,NZ_CP012202.1,878423,879367,+,DMT family transporter,EamA-like transporter family,K03298,"TC.DME; drug/metabolite transporter, DME family",2.A.7.3,Amino acid transport and metabolism ; Carbohydrate transport and metabolism,Amino acid metabolism,branched_chain_AA_livK_K01999,other
ACZ81_03910,NZ_CP012202.1,879387,880151,-,substrate-binding periplasmic protein,"Bacterial extracellular solute-binding proteins, family 3",,,,Amino acid transport and metabolism ; Signal transduction mechanisms,Amino acid metabolism,branched_chain_AA_livK_K01999,substrate-binding
ACZ81_03915,NZ_CP012202.1,880175,883054,-,ATP-binding protein,Histidine kinase,,,,Signal transduction mechanisms,Signal transduction,branched_chain_AA_livK_K01999,ATP-binding
ACZ81_03920,NZ_CP012202.1,883051,884229,-,ABC transporter substrate-binding protein,"COG0683 ABC-type branched-chain amino acid transport systems, periplasmic component",K01999,livK; branched-chain amino acid transport system substrate-binding protein,3.A.1.4,Amino acid transport and metabolism,Amino acid metabolism,branched_chain_AA_livK_K01999,substrate-binding
ACZ81_03925,NZ_CP012202.1,884566,885063,+,3^-5^ exonuclease,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3^-5^ exonuclease",,,,"Replication, recombination and repair",Replication and repair,branched_chain_AA_livK_K01999,unclear
ACZ81_03930,NZ_CP012202.1,885136,885606,-,hypothetical protein,,,,,,Unknown,branched_chain_AA_livK_K01999,unclear
ACZ81_03935,NZ_CP012202.1,885847,886992,-,methionine adenosyltransferase,"Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme",K00789,"metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]",,Coenzyme transport and metabolism,Coenzyme metabolism,branched_chain_AA_livK_K01999,catabolic
ACZ81_03940,NZ_CP012202.1,887420,889411,+,transketolase,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate",K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",,Carbohydrate transport and metabolism,Carbohydrate metabolism,branched_chain_AA_livK_K01999,unclear
ACZ81_03945,NZ_CP012202.1,889430,890440,+,erythrose-4-phosphate dehydrogenase,Catalyzes the NAD-dependent conversion of D-erythrose 4-phosphate to 4-phosphoerythronate,K00134 ; K03472,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] ; epd; D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]",,Carbohydrate transport and metabolism,Carbohydrate metabolism,branched_chain_AA_livK_K01999,catabolic
