organism_name,locus_tag,system_id,system_size,class_,class_reason,carrier_family,carrier_type_abc,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors,control_confident,in_candidate,reference_class
Alteromonas macleodii HOT1A3,ACZ81_04685,ACZ81_S0201,1,carrier-family,recognized carrier family POT,POT,,other/unclear,PTR2,dtpT :: peptide MFS transporter :: POT family,K03305,The Proton-dependent Oligopeptide Transporter (POT/PTR) Family,proton-dependent oligopeptide,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05440,ACZ81_S0023,5,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,"dppF :: ATP-binding cassette domain-containing protein :: ABC transporter, ATP-binding protein",K12372 ; K19230,3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,ACZ81_05435,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05445,ACZ81_S0023,5,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,sapD :: peptide ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,K02031 ; K02032 ; K13896 ; K19229,3.A.1.5.21 ; 3.A.1.5.24 ; 3.A.1.5.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,ACZ81_05435,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05450,ACZ81_S0023,5,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1 ; OppC_N,"sapC :: ABC transporter permease subunit :: ABC-type antimicrobial peptide transport system, permease component",K12370 ; K19228,3.A.1.5.5,dipeptide,confident,KO|antimicrobial-peptide,dual-C+N,importer,NA,ACZ81_05435,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05455,ACZ81_S0023,5,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,"dppB :: ABC transporter permease :: COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",K12369 ; K15581 ; K19227,3.A.1.5.1 ; 3.A.1.5.18 ; 3.A.1.5.19 ; 3.A.1.5.25 ; 3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,ACZ81_05435,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05460,ACZ81_S0023,5,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-cassette-complete,substrate-binding,SBP_bac_5,"sapA :: ABC transporter substrate-binding protein :: ABC-type dipeptide transport system, periplasmic component",K12368 ; K19226,3.A.1.5.5,dipeptide,confident,KO,dual-C+N,importer,NA,ACZ81_05435,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_05870,ACZ81_S0241,1,carrier-family,recognized secondary carrier family phenylpropionate-hcaT,phenylpropionate-hcaT,,secondary-carrier,MFS_1_like,hcaT :: MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K05820,2.A.1.27,hcaT :: MFS,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_05865,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_06040,ACZ81_S0024,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,type 2 periplasmic-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,ACZ81_06035,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_06075,ACZ81_S0254,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,CitMHS ; TrkA_C,SLC13 family permease :: COG0471 Di- and tricarboxylate transporters,,,SLC13 family,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_06100,ACZ81_S0255,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,putP :: sodium/proline symporter PutP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307 ; K11928,2.A.21.2,solute:Na+,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_07020,ACZ81_S0284,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,CitMHS ; GntP_permease,GntP family permease :: COG2610 H gluconate symporter and related permeases,,,GntP family,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_07015,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_07450,ACZ81_S0293,1,carrier-family,recognized carrier family SLC13-dicarboxylate,SLC13-dicarboxylate,,other/unclear,SDF,gltP :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,,,dicarboxylate/amino acid:cation,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_07825,ACZ81_S0300,1,carrier-family,recognized secondary carrier family NCS-nucleobase,NCS-nucleobase,,secondary-carrier,Xan_ur_permease,yjcD :: NCS2 family permease :: COG2252 Permeases,K06901,2.A.1.40,adenine/guanine/hypoxanthine,confident,KO,dual-C+N,importer,NA,ACZ81_07830,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_07855,ACZ81_S0301,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Cupin_5 ; NUP,purine nucleoside permease :: Purine nucleoside permease,,,purine nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_07865,ACZ81_S0303,1,carrier-family,recognized secondary carrier family NCS-nucleobase,NCS-nucleobase,,secondary-carrier,Xan_ur_permease,xanQ :: uracil-xanthine permease family protein :: xanthine,K03458 ; K16345 ; K16346,The Nucleobase/Ascorbate Transporter (NAT) or Nucleobase:Cation Symporter-2 (NCS2) Family ; 2.A.40.4.2 ; 2.A.40.4.3,nucleobase:cation,confident,KO,dual-C+N,importer,NA,ACZ81_07870,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_08220,ACZ81_S0311,1,carrier-family,resolved carbon-import secondary carrier (spinster family MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,spinster family MFS transporter :: Sugar (and other) transporter,,,spinster family MFS,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_08215|ACZ81_08225,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_08425,ACZ81_S0316,1,carrier-family,recognized carrier family SLC13-dicarboxylate,SLC13-dicarboxylate,,other/unclear,SDF,gltT :: dicarboxylate/amino acid:cation symporter :: Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,K03309,The Dicarboxylate/Amino Acid:Cation (Na+ or H+) Symporter (DAACS) Family,dicarboxylate/amino acid:cation (Na+ or H+),confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_08690,ACZ81_S0321,1,carrier-family,recognized carrier family NCS-nucleobase,NCS-nucleobase,,other/unclear,,purine-cytosine permease family protein :: COG1457 Purine-cytosine permease and related proteins,K03457,The Nucleobase:Cation Symporter-1 (NCS1) Family,nucleobase:cation,confident,KO,dual-C+N,importer,NA,ACZ81_08685|ACZ81_08695,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_09090,ACZ81_S0334,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,betT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K02168,2.A.15.1.3 ; 2.A.15.1.4,choline/glycine/proline betaine,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_09445,ACZ81_S0339,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,putP :: sodium/proline symporter PutP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307 ; K11928,2.A.21.2,solute:Na+,confident,KO,dual-C+N,importer,NA,ACZ81_09440|ACZ81_09450,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_09705,ACZ81_S0035,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ACZ81_09700,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_09860,ACZ81_S0350,1,carrier-family,resolved carbon-import secondary carrier (maltose/moltooligosaccharide),secondary-carrier-organic,,secondary-carrier,MFS_1 ; MFS_2,MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K16211,2.A.2.6,maltose/moltooligosaccharide,confident,KO,organic-C,importer,NA,ACZ81_09855|ACZ81_09865,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_11845,ACZ81_S0390,1,carrier-family,recognized carrier family TRAP,TRAP,,other/unclear,DctP,"TRAP transporter substrate-binding protein :: COG1638 TRAP-type C4-dicarboxylate transport system, periplasmic component",,,TRAP,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_11840,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_12100,ACZ81_S0396,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,Na_sulph_symp,sdcS :: SLC13 family permease :: COG0471 Di- and tricarboxylate transporters,K14445,2.A.47.1,solute carrier family 13 (sodium-dependent dicarboxylate,confident,KO,organic-C,importer,NA,ACZ81_12105,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_12280,ACZ81_S0040,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ACZ81_12275|ACZ81_12285,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_12425,ACZ81_S0402,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,SCFA_trans,atoE :: short-chain fatty acid transporter :: COG2031 Short chain fatty acids transporter,K02106,2.A.73.1,short-chain fatty acids,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_12835,ACZ81_S0042,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,type 2 periplasmic-binding domain-containing protein :: -,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ACZ81_RS20900,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_12890,ACZ81_S0410,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,Lactate_perm,lldP :: L-lactate permease,K00427 ; K03303,The Lactate Permease (LctP) Family ; 2.A.14.1.1,L-lactate,confident,KO,organic-C,importer,NA,ACZ81_12885,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14055,ACZ81_S0442,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,choline transporter :: Choline-glycine betaine transporter,,,choline,inferred,product/eggNOG,dual-C+N,importer,NA,ACZ81_14050,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14220,ACZ81_S0047,4,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-cassette-complete,substrate-binding,SBP_bac_5,"nikA :: ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding proteins, family 5 Middle",K02035,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,ACZ81_14240,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14225,ACZ81_S0047,4,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,nikB :: ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,K02033,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,ACZ81_14240,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14230,ACZ81_S0047,4,transport-role,ABC permease (Pfam),ABC-subunit,ABC-cassette-complete,permease,BPD_transp_1,ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,K02034,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,ACZ81_14240,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14235,ACZ81_S0047,4,transport-role,ABC ATP-binding (Pfam),ABC-subunit,ABC-cassette-complete,ATP-binding,ABC_tran ; oligo_HPY,ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,K02031 ; K02032,3.A.1.5,peptide/nickel,inferred,KO,dual-C+N,importer,NA,ACZ81_14240,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14420,ACZ81_S0450,1,carrier-family,recognized carrier family APC,APC,,other/unclear,,hypothetical protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,NA,ACZ81_14415|ACZ81_14425,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_14470,ACZ81_S0451,1,carrier-family,resolved carbon-import secondary carrier (gluP :: sugar MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,gluP :: sugar MFS transporter :: Major Facilitator Superfamily,K02429,2.A.1.7,sugar MFS,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_15420,ACZ81_S0483,1,carrier-family,resolved carbon-import secondary carrier (fucP :: L-fucose:H+),secondary-carrier-organic,,secondary-carrier,MFS_1,fucP :: L-fucose:H+ symporter permease :: Major Facilitator Superfamily,K02429,2.A.1.7,L-fucose:H+,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_15425,ACZ81_S0484,1,carrier-family,carbohydrate-selective porin (non-specific sugar entry),carbohydrate-porin,,other/unclear,OprB,"rpfN :: carbohydrate porin :: Carbohydrate-selective porin, OprB family",K07267,1.B.19.1,carbohydrate (non-specific porin),inferred,TCDB-porin,organic-C,importer,NA,ACZ81_15430,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_15600,ACZ81_S0050,1,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-orphan-SBP,substrate-binding,SBP_bac_8,ABC transporter substrate-binding protein :: Spermidine putrescine-binding periplasmic protein,K02055,3.A.1.11,unresolved,inferred,none,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_15825,ACZ81_S0496,1,carrier-family,recognized carrier family glycerol/glp,glycerol/glp,,other/unclear,MIP,glpF :: MIP/aquaporin family protein :: Belongs to the MIP aquaporin (TC 1.A.8) family,K02440,1.A.8.1 ; 1.A.8.2,glycerol,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_15895,ACZ81_S0051,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"pedG :: substrate-binding periplasmic protein :: COG0834 ABC-type amino acid transport signal transduction systems, periplasmic component domain",,,pedG ::,inferred,product/eggNOG,dual-C+N,importer,transport,ACZ81_15890,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16020,ACZ81_S0505,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,betT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K02168,2.A.15.1.3 ; 2.A.15.1.4,choline/glycine/proline betaine,confident,KO,dual-C+N,importer,NA,ACZ81_16015,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16495,ACZ81_S0522,1,carrier-family,recognized secondary carrier family APC,APC,,secondary-carrier,AA_permease_2,APC family permease :: amino acid,,,APC family,inferred,product/eggNOG,dual-C+N,importer,NA,ACZ81_16490|ACZ81_16500,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16565,ACZ81_S0524,1,carrier-family,recognized carrier family NCS-nucleobase,NCS-nucleobase,,other/unclear,Transp_cyt_pur,"ybbW :: NCS1 family nucleobase:cation symporter-1 :: Permease for cytosine/purines, uracil, thiamine, allantoin",K03457 ; K10975,The Nucleobase:Cation Symporter-1 (NCS1) Family ; 2.A.39.3.8,nucleobase:cation,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16630,ACZ81_S0526,1,carrier-family,recognized carrier family gluconate/organic-acid,gluconate/organic-acid,,other/unclear,GntP_permease,gntU :: GntP family permease :: COG2610 H gluconate symporter and related permeases,K03299 ; K06156,The Gluconate:H+ Symporter (GntP) Family ; 2.A.8.1.8,gluconate:H+,confident,KO,organic-C,importer,NA,ACZ81_16635,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16760,ACZ81_S0534,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Gate ; Nucleos_tra2_C ; Nucleos_tra2_N,yeiM :: NupC/NupG family nucleoside CNT transporter :: Belongs to the concentrative nucleoside transporter (CNT) (TC 2.A.41) family,K03317,The Concentrative Nucleoside Transporter (CNT) Family,concentrative nucleoside,confident,KO,dual-C+N,importer,NA,ACZ81_16755|ACZ81_16765,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16800,ACZ81_S0536,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,actP :: sodium:solute symporter family protein :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K14393,2.A.21.7,cation/acetate,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_16835,ACZ81_S0539,1,carrier-family,recognized carrier family APC,APC,,other/unclear,,amino acid ABC transporter substrate-binding protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,amino acid,inferred,product/eggNOG,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18100,ACZ81_S0063,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18130,ACZ81_S0572,1,carrier-family,recognized secondary carrier family MFS-sugar,MFS-sugar,,secondary-carrier,MFS_1,MFS transporter :: COG0738 Fucose permease,,,unresolved,inferred,none,organic-C,importer,NA,ACZ81_18135,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18185,ACZ81_S0064,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,transporter substrate-binding domain-containing protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18465,ACZ81_S0065,1,transport-role,ABC ATP-binding (Pfam),ABC-subunit,,ATP-binding,ABC_tran,"ABC transporter ATP-binding protein :: ABC-type antimicrobial peptide transport system, ATPase component",K02003,The ATP-binding Cassette (ABC) Superfamily,unresolved,inferred,none|antimicrobial-peptide,dual-C+N,importer,NA,,,True,set-aside
Alteromonas macleodii HOT1A3,ACZ81_18570,ACZ81_S0586,1,carrier-family,resolved carbon-import secondary carrier (gluP :: sugar MFS),secondary-carrier-organic,,secondary-carrier,MFS_1,gluP :: sugar MFS transporter :: glucose galactose transporter,K02429,2.A.1.7,sugar MFS,inferred,product/eggNOG,organic-C,importer,NA,ACZ81_18565,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18585,ACZ81_S0587,1,carrier-family,recognized secondary carrier family MFS-sugar,MFS-sugar,,secondary-carrier,Sugar_tr,xylE :: sugar porter family MFS transporter :: Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,K08138 ; K08139,2.A.1.1.3,sugar porter family MFS,inferred,product/eggNOG,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_18810,ACZ81_S0597,1,carrier-family,recognized carrier family fatty-acid,fatty-acid,,other/unclear,Toluene_X,fadL :: OmpP1/FadL family transporter :: Long-chain fatty acid,K06076,The FadL Outer Membrane Protein (FadL) Family,long-chain fatty acid,confident,KO,organic-C,importer,NA,ACZ81_18815,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_19175,ACZ81_S0068,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,ACZ81_19170,,True,candidate
Alteromonas macleodii HOT1A3,ACZ81_19780,ACZ81_S0641,1,carrier-family,resolved carbon-import secondary carrier (glycoside/pentoside/hexuronide:cation),secondary-carrier-organic,,secondary-carrier,MFS_2,MFS transporter :: MFS/sugar transport protein,K03292,The Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family,glycoside/pentoside/hexuronide:cation,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00061,EZ55_S0001,2,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,EZ55_00060,,True,candidate
Alteromonas macleodii EZ55,EZ55_00062,EZ55_S0001,2,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,hypothetical protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,,,unresolved,inferred,none,dual-C+N,importer,transport-inferred,EZ55_00060,,True,candidate
Alteromonas macleodii EZ55,EZ55_00101,EZ55_S0076,1,carrier-family,recognized carrier family BCCT,BCCT,,other/unclear,BCCT,cudT :: BCCT family transporter :: Belongs to the BCCT transporter (TC 2.A.15) family,K03451,The Betaine/Carnitine/Choline Transporter (BCCT) Family,betaine/carnitine,confident,KO,dual-C+N,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00183,EZ55_S0003,1,transport-role,ABC substrate-binding (Pfam),ABC-subunit,ABC-orphan-SBP,substrate-binding,SBP_bac_1,ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,K02027,3.A.1.1,multiple sugar,confident,KO,organic-C,importer,NA,,,True,candidate
Alteromonas macleodii EZ55,EZ55_00206,EZ55_S0090,1,carrier-family,recognized carrier family SSS,SSS,,other/unclear,SSF,sglT :: sodium/sugar symporter :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,The Solute:Sodium Symporter (SSS) Family,solute:Na+,confident,KO,organic-C,importer,NA,EZ55_00205,,True,candidate
Alteromonas macleodii EZ55,EZ55_00340,EZ55_S0109,1,carrier-family,recognized carrier family nucleoside-Nup,nucleoside-Nup,,other/unclear,Nuc_H_symport,nucleoside permease :: LacY proton/sugar symporter,K05820,2.A.1.27,nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,EZ55_00339|EZ55_00341,,True,candidate
Alteromonas macleodii EZ55,EZ55_00530,EZ55_S0009,1,transport-role,ABC substrate-binding (Pfam),APC,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC transporter,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,,,True,candidate
