organism_name,locus_tag,system_id,system_size,carrier_type,role_from_pfam,pfam_domains,gene_summary,kegg_ko_id,tcdb_family,substrate_provisional,substrate_confidence,substrate_source,organic_c_vs_inorganic,importer_vs_exporter,sbp_bac3_bucket,catabolic_neighbors
Alteromonas macleodii HOT1A3,ACZ81_00615,ACZ81_S0081,1,other,other/unclear,MS_channel_2nd,mechanosensitive ion channel family protein :: Mechanosensitive ion channel,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00630,ACZ81_S0082,1,other,other/unclear,MS_channel_2nd ; MS_channel_1st_1,cmpX :: mechanosensitive ion channel family protein :: COG0668 Small-conductance mechanosensitive channel,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00640,ACZ81_S0083,1,other,other/unclear,CBS ; MgtE ; MgtE_N,mgtE :: magnesium transporter :: MgtE intracellular N domain,K06213,1.A.26.1,magnesium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00660,ACZ81_S0084,1,other,other/unclear,Na_H_Exchanger ; TrkA_N,nhaP :: cation:proton antiporter :: Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,K03316,The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,Na+:H+,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00685,ACZ81_S0085,1,other,other/unclear,HTH_1 ; LysR_substrate,argP :: ArgP/LysG family DNA-binding transcriptional regulator :: Transcriptional regulator,K05596,,"LysR family transcriptional regulator, arginine and lysine",confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00690,ACZ81_S0086,1,other,other/unclear,LysE,argO :: LysE/ArgO family amino acid transporter :: COG1279 Lysine efflux permease,K06895,2.A.75.1,LysE/ArgO family amino acid,inferred,product/eggNOG,dual-C+N,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_00695,ACZ81_S0087,1,other,other/unclear,Multi_Drug_Res,sugE :: DMT family transporter :: COG2076 Membrane transporters of cations and cationic drugs,K11741,2.A.7.1,quaternary ammonium compound-resistance protein SugE,confident,KO,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_00710,ACZ81_S0088,1,other,other/unclear,Beta-barrel_RND ; BSH_RND ; HH_MFP_RND ; RND-MFP_C,acrA :: efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K03585,2.A.6.2 ; 8.A.1.6,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_00715,ACZ81_S0089,1,other,other/unclear,ACR_tran,ttgB :: efflux RND transporter permease subunit :: Efflux pump,K18138 ; K18299,2.A.6.2.16,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,ACZ81_00720
Alteromonas macleodii HOT1A3,ACZ81_00775,ACZ81_S0090,1,other,other/unclear,GST_C ; GST_C_3 ; GST_N ; GST_N_3,gstA :: glutathione S-transferase :: Belongs to the GST superfamily,K00799,1.A.12.2.2 ; 1.A.12.3.2,glutathione S-transferase [EC:2.5.1.18],confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00790,ACZ81_S0091,1,other,other/unclear,CBS ; MgtE ; MgtE_N,mgtE :: magnesium transporter :: Mg Co Ni transporter MgtE,K06213,1.A.26.1,magnesium,confident,KO,inorganic,importer,NA,ACZ81_00785
Alteromonas macleodii HOT1A3,ACZ81_00795,ACZ81_S0092,1,secondary-carrier,secondary-carrier,EamA,rarD :: EamA family transporter RarD :: RarD protein,K05786,2.A.7.7,chloramphenicol-sensitive protein RarD,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00870,ACZ81_S0003,1,ABC-orphan-SBP,substrate-binding,SBP_bac_1,ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,K02027,3.A.1.1,multiple sugar,confident,KO,organic-C,importer,NA,ACZ81_00865|ACZ81_00875
Alteromonas macleodii HOT1A3,ACZ81_00930,ACZ81_S0093,1,other,other/unclear,HSP70,yegD :: Hsp70 family protein :: MreB/Mbl protein,K04046,The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_00925
Alteromonas macleodii HOT1A3,ACZ81_00940,ACZ81_S0004,1,other-permease,ATP-binding,ABC_tran,"uvrA :: excinuclease ABC subunit UvrA :: The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",K03701,,excinuclease,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_00945,ACZ81_S0094,1,secondary-carrier,secondary-carrier,MFS_1 ; Sugar_tr,yajR :: MFS transporter :: COG0477 Permeases of the major facilitator superfamily,,,yajR :: MFS,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_00950
Alteromonas macleodii HOT1A3,ACZ81_00965,ACZ81_S0005,1,ABC-orphan-SBP,substrate-binding,LacI ; Peripla_BP_3,LacI family DNA-binding transcriptional regulator :: transcriptional,,,LacI family DNA-binding transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_00960|ACZ81_00970
Alteromonas macleodii HOT1A3,ACZ81_00985,ACZ81_S0095,1,other,other/unclear,SSF,sglT :: sodium/sugar symporter :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,The Solute:Sodium Symporter (SSS) Family,solute:Na+,confident,KO,organic-C,importer,NA,ACZ81_00980
Alteromonas macleodii HOT1A3,ACZ81_01010,ACZ81_S0096,1,other,other/unclear,SSF,SLC5 family protein :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family,K03307,The Solute:Sodium Symporter (SSS) Family,solute:Na+,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01015,ACZ81_S0097,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor :: TonB-dependent Receptor Plug Domain,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_01020
Alteromonas macleodii HOT1A3,ACZ81_01065,ACZ81_S0098,1,other,other/unclear,STN ; Secretin ; Secretin_N_2,mshL :: pilus (MSHA type) biogenesis protein MshL,K12282,,MSHA biogenesis protein MshL,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01085,ACZ81_S0099,1,other,other/unclear,T2SSF,"mshG :: type II secretion system F family protein :: Type II secretory pathway, component PulF",K02505 ; K12278,,protein,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_01130,ACZ81_S0100,1,other,other/unclear,MreB_Mbl,"mreB :: rod shape-determining protein :: Forms membrane-associated dynamic filaments that are essential for cell shape determination. Acts by regulating cell wall synthesis and cell elongation, and thus cell shape. A feedback loop between cell geometry and MreB localization may maintain elongated cell shape by targeting cell wall growth to regions of negative cell wall curvature",K03569,1.A.33.1 ; 9.B.157.1,rod shape-determining protein MreB and related proteins,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01135,ACZ81_S0101,1,other,other/unclear,MreC,mreC :: rod shape-determining protein MreC :: Involved in formation and maintenance of cell shape,K03570,9.B.157.1,rod shape-determining protein MreC,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01140,ACZ81_S0102,1,other,other/unclear,MreD,mreD :: rod shape-determining protein MreD :: Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins,K03571,9.B.157.1,rod shape-determining protein MreD,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01375,ACZ81_S0103,1,other,other/unclear,ACR_tran,czcA :: efflux RND transporter permease subunit :: AcrB/AcrD/AcrF family,K15726,2.A.6.1.2,heavy metal efflux system protein,confident,KO,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_01380,ACZ81_S0104,1,other,other/unclear,BSH_CzcB ; CzcB_C ; CzcB_N,czcB :: efflux RND transporter periplasmic adaptor subunit :: COG0845 Membrane-fusion protein,K15727,8.A.1.2.1,"membrane fusion protein, heavy metal efflux system",confident,KO,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_01385,ACZ81_S0105,1,other,other/unclear,OEP,czcC :: TolC family protein :: Outer membrane efflux protein,K15725,1.B.17.2.2,"outer membrane protein, heavy metal efflux system",confident,KO,inorganic,exporter,NA,ACZ81_01390
Alteromonas macleodii HOT1A3,ACZ81_01515,ACZ81_S0106,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01520,ACZ81_S0006,1,ABC-orphan-SBP,substrate-binding,LacI ; Peripla_BP_3,cebR :: LacI family DNA-binding transcriptional regulator :: COG1609 Transcriptional regulators,,,LacI family DNA-binding transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01525,ACZ81_S0107,1,secondary-carrier,secondary-carrier,MFS_1,MFS transporter :: Major Facilitator Superfamily,,,unresolved,inferred,none,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01540,ACZ81_S0108,1,secondary-carrier,secondary-carrier,EamA,DMT family transporter :: Transporter,,,DMT family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_01545
Alteromonas macleodii HOT1A3,ACZ81_01565,ACZ81_S0007,1,ABC-orphan-SBP,substrate-binding,LacI ; Peripla_BP_3,LacI family DNA-binding transcriptional regulator :: transcriptional,,,LacI family DNA-binding transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_01560
Alteromonas macleodii HOT1A3,ACZ81_01580,ACZ81_S0109,1,other,other/unclear,Nuc_H_symport,nucleoside permease :: LacY proton/sugar symporter,K05820,2.A.1.27,nucleoside,inferred,product/eggNOG,dual-C+N,importer,NA,ACZ81_01575|ACZ81_01585
Alteromonas macleodii HOT1A3,ACZ81_01730,ACZ81_S0110,1,other,other/unclear,Na_H_Exchanger ; TrkA_N,nhaP :: cation:proton antiporter :: Belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,K03316,The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,Na+:H+,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01830,ACZ81_S0111,1,other,other/unclear,Ammonium_transp,amtB :: ammonium transporter :: Ammonium transporter,K03320,The Ammonium Transporter Channel (Amt) Family,ammonium,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_01865,ACZ81_S0112,1,other,other/unclear,,efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K21136,2.A.6.2.27 ; The Membrane Fusion Protein (MFP) Family,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_01870,ACZ81_S0113,1,other,other/unclear,ACR_tran,efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,,,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_01975,ACZ81_S0114,1,other,other/unclear,AMIN ; STN ; Secretin ; Secretin_N,"pilQ :: type IV pilus secretin PilQ :: COG4796 Type II secretory pathway, component HofQ",K02507 ; K02666,3.A.15.2,protein,confident,KO,ambiguous,importer,NA,ACZ81_01970
Alteromonas macleodii HOT1A3,ACZ81_02120,ACZ81_S0115,1,other,other/unclear,,pvdR :: efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K02005 ; K13888,The Membrane Fusion Protein (MFP) Family,HlyD family secretion protein,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_02125,ACZ81_S0008,1,other-permease,ATP-binding,ABC_tran ; FtsX ; MacB_PCD,"macB :: MacB family efflux pump subunit :: Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides",K02003 ; K05685,The ATP-binding Cassette (ABC) Superfamily ; 3.A.1.122.1 ; 3.A.1.122.12,macrolide,confident,KO,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_02130,ACZ81_S0116,1,other,other/unclear,OEP,TolC family protein :: Outer membrane efflux protein,,,unresolved,inferred,none,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_02150,ACZ81_S0117,1,other,other/unclear,SecB,"secB :: protein-export chaperone SecB :: One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA",K03071,The General Secretory Pathway (Sec) Family,preprotein translocase subunit SecB,confident,KO,ambiguous,exporter,NA,ACZ81_02145
Alteromonas macleodii HOT1A3,ACZ81_02185,ACZ81_S0118,1,secondary-carrier,secondary-carrier,EamA,DMT family transporter :: COG0697 Permeases of the drug metabolite transporter (DMT) superfamily,,,DMT family,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_02180|ACZ81_02190
Alteromonas macleodii HOT1A3,ACZ81_02215,ACZ81_S0119,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,TonB-dependent receptor domain-containing protein :: TonB dependent receptor,,,TonB-dependent,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_02200
Alteromonas macleodii HOT1A3,ACZ81_02250,ACZ81_S0120,1,other,other/unclear,,tatA :: Sec-independent protein translocase subunit TatA :: Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system,K03116 ; K03425,The Twin Arginine Targeting (Tat) Family,sec-independent protein translocase protein TatA,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02255,ACZ81_S0121,1,other,other/unclear,TatA_B_E,"tatB :: Sec-independent protein translocase protein TatB :: Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation",K03117,The Twin Arginine Targeting (Tat) Family,sec-independent protein translocase protein TatB,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02260,ACZ81_S0122,1,other,other/unclear,TatC,"tatC :: twin-arginine translocase subunit TatC :: Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides",K03118,The Twin Arginine Targeting (Tat) Family,sec-independent protein translocase protein TatC,confident,KO,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02315,ACZ81_S0123,1,other,other/unclear,Na_H_antiport_1,nhaA :: Na+/H+ antiporter NhaA :: Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,K03313,2.A.33.1,Na+:H+,confident,KO,inorganic,importer,NA,ACZ81_02320
Alteromonas macleodii HOT1A3,ACZ81_02410,ACZ81_S0124,1,other,other/unclear,Na_H_antiporter,mleN :: Na+/H+ antiporter NhaC family protein :: Na H antiporter,,,Na+/H+,inferred,product/eggNOG,ambiguous,importer,NA,ACZ81_02415
Alteromonas macleodii HOT1A3,ACZ81_02420,ACZ81_S0125,1,other,other/unclear,MS_channel_2nd,mechanosensitive ion channel family protein :: Mechanosensitive ion channel,,,unresolved,inferred,none,ambiguous,importer,NA,ACZ81_02415|ACZ81_02425
Alteromonas macleodii HOT1A3,ACZ81_02460,ACZ81_S0126,1,other,other/unclear,Porin_O_P,TonB-dependent receptor :: phosphate-selective porin O and P,,,TonB-dependent,inferred,product/eggNOG,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02465,ACZ81_S0009,1,ABC-orphan-SBP,substrate-binding,SBP_bac_3,substrate-binding periplasmic protein :: ABC transporter,K02030,3.A.1.3,polar amino acid,confident,KO,dual-C+N,importer,transport-inferred,
Alteromonas macleodii HOT1A3,ACZ81_02475,ACZ81_S0127,1,secondary-carrier,secondary-carrier,Nramp,NRAMP family divalent metal transporter :: COG1914 Mn2 and Fe2 transporters of the NRAMP family,,,NRAMP family divalent metal,inferred,product/eggNOG,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02490,ACZ81_S0128,1,other,other/unclear,HTH_1 ; LysR_substrate,dgdR :: LysR family transcriptional regulator :: Transcriptional regulator,,,LysR family transcriptional regulator,inferred,product/eggNOG,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02510,ACZ81_S0129,1,other,other/unclear,UPF0060,YnfA family protein :: UPF0060 membrane protein,K09771,2.A.7.26,unresolved,inferred,none,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_02675,ACZ81_S0130,1,other,other/unclear,Zip,ZIP family metal transporter :: divalent heavy-metal cations transporter,K07238,2.A.5.5,zinc,confident,KO,inorganic,importer,NA,ACZ81_02670|ACZ81_02680
Alteromonas macleodii HOT1A3,ACZ81_02730,ACZ81_S0131,1,other,other/unclear,LysM ; Peptidase_M23,nlpD :: peptidoglycan DD-metalloendopeptidase family protein :: COG0739 Membrane proteins related to metalloendopeptidases,K06194,1.A.34.1.2,lipoprotein NlpD,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02820,ACZ81_S0132,1,other,other/unclear,GAF ; GAF_2 ; PEP-utilisers_N ; PEP-utilizers ; PEP-utilizers_C,ptsP :: phosphoenolpyruvate--protein phosphotransferase :: Belongs to the PEP-utilizing enzyme family,K08483 ; K08484,The Phosphotransferase System Enzyme I (EI) Family,phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],confident,KO,organic-C,importer,NA,ACZ81_02815
Alteromonas macleodii HOT1A3,ACZ81_02825,ACZ81_S0133,1,other,other/unclear,TauE,sulfite exporter TauE/SafE family protein :: membrane transporter protein,K07090,,unresolved,inferred,none,inorganic,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_02855,ACZ81_S0134,1,secondary-carrier,secondary-carrier,Acatn ; MFS_1,ampG :: AmpG family muropeptide MFS transporter :: COG0477 Permeases of the major facilitator superfamily,K08218,2.A.1.25,AmpG family muropeptide MFS,inferred,product/eggNOG,dual-C+N,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02940,ACZ81_S0135,1,other,other/unclear,Ion_trans,ion transporter :: COG1226 Kef-type K transport systems,K08714,1.A.1.14,voltage-gated sodium channel,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02945,ACZ81_S0136,1,other,other/unclear,OEP,tolC :: outer membrane channel protein TolC :: COG1538 Outer membrane protein,K12340,The Outer Membrane Factor (OMF) Family ; 2.A.6.2,outer membrane protein,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_02990,ACZ81_S0137,1,other,other/unclear,HSP70,Hsp70 family protein :: Heat shock 70 kDa protein,K04043,1.A.33.1,molecular chaperone DnaK,confident,KO,ambiguous,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03055,ACZ81_S0138,1,other,other/unclear,CarbopepD_reg_2 ; CarboxypepD_reg ; Plug ; TonB_dep_Rec_b-barrel,"TonB-dependent receptor :: COG1629 Outer membrane receptor proteins, mostly Fe transport",K02014,The Outer Membrane Receptor (OMR) Family,iron complex outermembrane recepter protein,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03115,ACZ81_S0139,1,other,other/unclear,STAS ; STAS_2 ; Sulfate_transp,SulP family inorganic anion transporter :: COG0659 Sulfate permease and related transporters (MFS superfamily),K03321,2.A.53.3,sulfate,confident,KO,inorganic,importer,NA,ACZ81_03120
Alteromonas macleodii HOT1A3,ACZ81_03160,ACZ81_S0010,3,ABC-cassette-complete,substrate-binding,NMT1_2,"nrtC :: CmpA/NrtA family ABC transporter substrate-binding protein :: COG0715 ABC-type nitrate sulfonate bicarbonate transport systems, periplasmic components",K15576,3.A.1.16.1 ; 3.A.1.16.2,nitrate/nitrite,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03165,ACZ81_S0010,3,ABC-cassette-complete,permease,BPD_transp_1,"nrtB :: ABC transporter permease :: ABC-type nitrate sulfonate bicarbonate transport system, permease component",K15577,3.A.1.16.1 ; 3.A.1.16.2,nitrate/nitrite,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03170,ACZ81_S0010,3,ABC-cassette-complete,ATP-binding,ABC_tran,"nasD :: ABC transporter ATP-binding protein :: COG1116 ABC-type nitrate sulfonate bicarbonate transport system, ATPase component",K15578,3.A.1.16.1,nitrate/nitrite,confident,KO,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03190,ACZ81_S0140,1,other,other/unclear,Plug ; TonB_dep_Rec_b-barrel,btuB :: TonB-dependent receptor plug domain-containing protein :: Outer membrane cobalamin receptor protein,K16092,1.B.14.3,vitamin B12,confident,KO,inorganic,importer,NA,ACZ81_03195
Alteromonas macleodii HOT1A3,ACZ81_03245,ACZ81_S0141,1,other,other/unclear,,efflux RND transporter periplasmic adaptor subunit :: Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family,K03585,2.A.6.2 ; 8.A.1.6,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,ACZ81_03240
Alteromonas macleodii HOT1A3,ACZ81_03250,ACZ81_S0142,1,other,other/unclear,ACR_tran,acrF :: efflux RND transporter permease subunit :: Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family,K18138,2.A.6.2,efflux RND,inferred,product/eggNOG,ambiguous,exporter,NA,
Alteromonas macleodii HOT1A3,ACZ81_03255,ACZ81_S0143,1,other,other/unclear,PBP_like_2,type 2 periplasmic-binding domain-containing protein :: Phosphate ABC transporter substrate-binding protein,,,unresolved,inferred,none,inorganic,importer,NA,
Alteromonas macleodii HOT1A3,ACZ81_03335,ACZ81_S0144,1,secondary-carrier,secondary-carrier,BenE,benE :: benzoate/H(+) symporter BenE family transporter :: protein involved in benzoate metabolism,K05782,2.A.46.1,benzoate membrane,confident,KO,organic-C,importer,NA,
