system_label,locus_tag,contig,start,end,strand,gap_to_prev,product,gene_summary,pfam_domains,role_from_pfam,kegg_ko_id,tcdb_family,substrate_hint,rule_check,feat_reason
HOT1A3_qc_06_peptide,ACZ81_05445,NZ_CP012202.1,1233971,1234966,-,0,peptide ABC transporter ATP-binding protein,sapD :: peptide ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,ABC_tran ; oligo_HPY,ATP-binding,K02031 ; K02032 ; K13896 ; K19229,3.A.1.5.21 ; 3.A.1.5.24 ; 3.A.1.5.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 2 ATPase); stops L=strand-flip@ACZ81_05435 R=non-transport@ACZ81_05465(other/unclear); substrate~peptide,complete-cassette-peptide
HOT1A3_qc_06_peptide,ACZ81_05450,NZ_CP012202.1,1234968,1235861,-,2,ABC transporter permease subunit,"sapC :: ABC transporter permease subunit :: ABC-type antimicrobial peptide transport system, permease component",BPD_transp_1 ; OppC_N,permease,K12370 ; K19228,3.A.1.5.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 2 ATPase); stops L=strand-flip@ACZ81_05435 R=non-transport@ACZ81_05465(other/unclear); substrate~peptide,complete-cassette-peptide
HOT1A3_qc_06_peptide,ACZ81_05455,NZ_CP012202.1,1235848,1236816,-,-13,ABC transporter permease,"dppB :: ABC transporter permease :: COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",BPD_transp_1,permease,K12369 ; K15581 ; K19227,3.A.1.5.1 ; 3.A.1.5.18 ; 3.A.1.5.19 ; 3.A.1.5.25 ; 3.A.1.5.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 2 ATPase); stops L=strand-flip@ACZ81_05435 R=non-transport@ACZ81_05465(other/unclear); substrate~peptide,complete-cassette-peptide
HOT1A3_qc_06_peptide,ACZ81_05460,NZ_CP012202.1,1236876,1238636,-,60,ABC transporter substrate-binding protein,"sapA :: ABC transporter substrate-binding protein :: ABC-type dipeptide transport system, periplasmic component",SBP_bac_5,substrate-binding,K12368 ; K19226,3.A.1.5.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 2 ATPase); stops L=strand-flip@ACZ81_05435 R=non-transport@ACZ81_05465(other/unclear); substrate~peptide,complete-cassette-peptide
HOT1A3_qc_07_iron/metal/inorganic,ACZ81_08915,NZ_CP012202.1,2057690,2059078,+,,ABC transporter substrate-binding protein,ynjB :: ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding protein,SBP_bac_8,substrate-binding,K05777,,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_08910(other/unclear) R=non-transport@ACZ81_08930(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_07_iron/metal/inorganic,ACZ81_08920,NZ_CP012202.1,2059078,2060877,+,0,ABC transporter permease,ynjC :: ABC transporter permease :: transport system permease component,BPD_transp_1,permease,K05778,,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_08910(other/unclear) R=non-transport@ACZ81_08930(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_07_iron/metal/inorganic,ACZ81_08925,NZ_CP012202.1,2060926,2061555,+,49,ATP-binding cassette domain-containing protein,ynjD :: ATP-binding cassette domain-containing protein :: ABC transporter,ABC_tran,ATP-binding,K05779,,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=non-transport@ACZ81_08910(other/unclear) R=non-transport@ACZ81_08930(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_08_amino_acid,ACZ81_09705,NZ_CP012202.1,2228337,2229149,-,,substrate-binding periplasmic protein,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=strand-flip@ACZ81_09700 R=non-transport@ACZ81_09710(other/unclear); rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_09_iron/metal/inorganic,ACZ81_11320,NZ_CP012202.1,2606122,2607363,-,,ATP-binding cassette domain-containing protein,"ATP-binding cassette domain-containing protein :: ABC-type molybdate transport system, ATPase component",ABC_tran ; TOBE,ATP-binding,K02017,3.A.1.8,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=strand-flip@ACZ81_11315 R=non-transport@ACZ81_11335(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_09_iron/metal/inorganic,ACZ81_11325,NZ_CP012202.1,2607365,2608060,-,2,molybdate ABC transporter permease subunit,"modB :: molybdate ABC transporter permease subunit :: COG4149 ABC-type molybdate transport system, permease component",BPD_transp_1,permease,K02018,3.A.1.8,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=strand-flip@ACZ81_11315 R=non-transport@ACZ81_11335(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_09_iron/metal/inorganic,ACZ81_11330,NZ_CP012202.1,2608063,2609283,-,3,molybdate ABC transporter substrate-binding protein,"modA :: molybdate ABC transporter substrate-binding protein :: molybdenum ABC transporter, periplasmic",SBP_bac_11,substrate-binding,K02020,3.A.1.8,iron/metal/inorganic,GROUPED complete cassette (1 SBP + 1 permease + 1 ATPase); stops L=strand-flip@ACZ81_11315 R=non-transport@ACZ81_11335(other/unclear); substrate~iron/metal/inorganic,complete-cassette-iron/metal/inorganic
HOT1A3_qc_10_amino_acid,ACZ81_12280,NZ_CP012202.1,2830306,2831118,-,,substrate-binding periplasmic protein,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_12275(other/unclear) R=non-transport@ACZ81_12285(other/unclear); rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_11_amino_acid,ACZ81_12835,NZ_CP012202.1,2952683,2953420,-,,type 2 periplasmic-binding domain-containing protein,type 2 periplasmic-binding domain-containing protein :: -,SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_RS20900(other/unclear) R=non-transport@ACZ81_12865(other/unclear); rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_12_peptide,ACZ81_14220,NZ_CP012202.1,3272279,3273886,+,,ABC transporter substrate-binding protein,"nikA :: ABC transporter substrate-binding protein :: Bacterial extracellular solute-binding proteins, family 5 Middle",SBP_bac_5,substrate-binding,K02035,3.A.1.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 1 ATPase); stops L=strand-flip@ACZ81_14215 R=strand-flip@ACZ81_14240; substrate~peptide,complete-cassette-peptide
HOT1A3_qc_12_peptide,ACZ81_14225,NZ_CP012202.1,3273889,3274872,+,3,ABC transporter permease,nikB :: ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,BPD_transp_1,permease,K02033,3.A.1.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 1 ATPase); stops L=strand-flip@ACZ81_14215 R=strand-flip@ACZ81_14240; substrate~peptide,complete-cassette-peptide
HOT1A3_qc_12_peptide,ACZ81_14230,NZ_CP012202.1,3274869,3275738,+,-3,ABC transporter permease,ABC transporter permease :: Binding-protein-dependent transport system inner membrane component,BPD_transp_1,permease,K02034,3.A.1.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 1 ATPase); stops L=strand-flip@ACZ81_14215 R=strand-flip@ACZ81_14240; substrate~peptide,complete-cassette-peptide
HOT1A3_qc_12_peptide,ACZ81_14235,NZ_CP012202.1,3275735,3277150,+,-3,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein :: Belongs to the ABC transporter superfamily,ABC_tran ; oligo_HPY,ATP-binding,K02031 ; K02032,3.A.1.5,peptide,GROUPED complete cassette (1 SBP + 2 permease + 1 ATPase); stops L=strand-flip@ACZ81_14215 R=strand-flip@ACZ81_14240; substrate~peptide,complete-cassette-peptide
HOT1A3_qc_13_amino_acid,ACZ81_17450,NZ_CP012202.1,4050114,4051139,+,,substrate-binding periplasmic protein,substrate-binding periplasmic protein :: ABC-type amino acid transport signal transduction systems periplasmic component domain,SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_17445(other/unclear) R=strand-flip@ACZ81_17455; rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_14_amino_acid,ACZ81_18100,NZ_CP012202.1,4217936,4219246,-,,substrate-binding periplasmic protein,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_18095(other/unclear) R=non-transport@ACZ81_18105(other/unclear); rule correctly refused to group",AA-family orphan-SBP
HOT1A3_qc_15_amino_acid,ACZ81_19175,NZ_CP012202.1,4479188,4479949,-,,substrate-binding periplasmic protein,"substrate-binding periplasmic protein :: Bacterial extracellular solute-binding proteins, family 3",SBP_bac_3,substrate-binding,K02030,3.A.1.3,amino_acid,"NO cassette formed -- orphan SBP (1 SBP, 0 permease, 0 ATPase); STOP fired immediately L=non-transport@ACZ81_19170(other/unclear) R=strand-flip@ACZ81_19180; rule correctly refused to group",AA-family orphan-SBP
