og_id,consensus_product,total_member_count,total_organism_count,proc_strains,proc_members,proc_hypo_members,frac_hypo,tier,is_hypothetical,breadth,n_significant_datapoints,best_rank,max_abs_log2fc,direction,direction_by_treatment,n_tested_datapoints,pct_datapoints_de,n_members_with_de,dominant_category,responded,is_broad,is_prominent,is_highlight
cyanorak:CK_00055728,conserved hypothetical protein,27,19,17,25,25,1.0,core,True,5,26,2.0,7.25,mixed,"{'darkness': 'mixed', 'iron': 'mixed', 'nitrogen': 'down', 'plastic': 'down', 'salt': 'down'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00000893,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,26,3.0,2.8,mixed,"{'carbon': 'down', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'down', 'viral': 'up'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00001230,conserved membrane protein,21,21,17,17,17,1.0,core,True,5,26,23.0,6.18,mixed,"{'darkness': 'mixed', 'growth_phase': 'up', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'down'}",,,6.0,Unknown,True,False,False,False
cyanorak:CK_00036942,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,22,2.0,7.88,mixed,"{'darkness': 'down', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'down', 'viral': 'down'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00003450,conserved hypothetical protein,12,12,12,12,12,1.0,broad,True,5,21,22.0,7.46,mixed,"{'darkness': 'mixed', 'growth_phase': 'up', 'light': 'up', 'nitrogen': 'up', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00041018,conserved hypothetical protein,20,18,16,18,18,1.0,core,True,5,20,15.0,6.62,mixed,"{'coculture': 'mixed', 'darkness': 'mixed', 'iron': 'up', 'nitrogen': 'mixed', 'salt': 'down'}",,,6.0,Unknown,True,False,False,False
cyanorak:CK_00036391,conserved hypothetical protein,20,20,16,16,16,1.0,core,True,5,19,10.0,11.4,mixed,"{'coculture': 'mixed', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'up'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00046483,Conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,5,19,10.0,5.63,mixed,"{'darkness': 'mixed', 'growth_phase': 'up', 'nitrogen': 'down', 'plastic': 'down', 'salt': 'down'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00049418,conserved hypothetical protein,18,17,13,13,13,1.0,broad,True,5,19,1.0,6.63,mixed,"{'carbon': 'up', 'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'up'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00001506,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,18,8.0,4.71,mixed,"{'carbon': 'up', 'coculture': 'mixed', 'darkness': 'up', 'nitrogen': 'mixed', 'salt': 'down'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00054285,Conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,5,17,3.0,3.55,mixed,"{'carbon': 'mixed', 'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'up'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00001094,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,15,59.0,2.94,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00000713,conserved hypothetical protein,20,20,17,17,17,1.0,core,True,5,15,8.0,6.34,mixed,"{'coculture': 'down', 'darkness': 'down', 'nitrogen': 'up', 'salt': 'up', 'viral': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00001236,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,15,16.0,8.19,mixed,"{'carbon': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'plastic': 'up', 'salt': 'up'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00000936,uncharacterized conserved secreted protein,21,21,17,17,17,1.0,core,True,5,15,47.0,11.5,mixed,"{'carbon': 'up', 'coculture': 'mixed', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'up'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00000335,Conserved hypotothetical protein,21,21,17,17,17,1.0,core,True,5,15,30.0,10.97,mixed,"{'carbon': 'mixed', 'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'mixed'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00002627,"helper component proteinase, Prochlorococcus-specific",14,14,14,14,14,1.0,core,True,5,15,32.0,6.62,mixed,"{'carbon': 'up', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'up'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00003517,conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,5,15,2.0,6.48,mixed,"{'darkness': 'mixed', 'growth_phase': 'up', 'light': 'mixed', 'plastic': 'down', 'salt': 'down'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00039912,Hypothetical protein,12,12,12,12,12,1.0,broad,True,5,15,1.0,6.72,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'iron': 'mixed', 'nitrogen': 'mixed', 'salt': 'up'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00000752,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,14,36.0,5.73,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'growth_phase': 'down', 'nitrogen': 'up', 'salt': 'up'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00001495,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,14,54.0,5.76,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down', 'viral': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00003414,"conserved hypothetical protein, Prochlorococcus-specific",17,17,17,17,15,0.8823529411764706,core,True,5,14,35.0,5.49,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'plastic': 'up', 'salt': 'up'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00003993,uncharacterized conserved membrane protein,14,14,14,14,14,1.0,core,True,5,14,4.0,5.28,mixed,"{'darkness': 'up', 'growth_phase': 'up', 'iron': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00049877,"conserved hypothetical UPF0367 protein, cyanobacteria specific",21,21,17,17,17,1.0,core,True,5,13,17.0,12.98,mixed,"{'carbon': 'down', 'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00050253,uncharacterized conserved membrane protein,9,9,9,9,9,1.0,broad,True,5,13,5.0,4.25,mixed,"{'carbon': 'up', 'iron': 'mixed', 'nitrogen': 'up', 'plastic': 'up', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00000872,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,12,32.0,5.58,mixed,"{'coculture': 'mixed', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'up'}",,,6.0,Unknown,True,False,False,False
cyanorak:CK_00047257,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,5,12,30.0,2.86,mixed,"{'carbon': 'up', 'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00044766,uncharacterized conserved membrane protein,14,14,14,14,14,1.0,core,True,5,12,4.0,5.67,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'light': 'down', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00003439,uncharacterized conserved membrane protein,9,9,9,9,9,1.0,broad,True,5,12,1.0,12.48,mixed,"{'coculture': 'down', 'iron': 'down', 'nitrogen': 'up', 'plastic': 'up', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00049169,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,5,11,9.0,6.4,mixed,"{'coculture': 'up', 'darkness': 'up', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00001349,conserved hypothetical protein,16,16,12,12,12,1.0,broad,True,5,11,2.0,12.4,mixed,"{'coculture': 'down', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'up', 'viral': 'up'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00003569,conserved hypothetical protein,9,9,9,9,9,1.0,broad,True,5,11,2.0,3.15,mixed,"{'carbon': 'up', 'iron': 'mixed', 'nitrogen': 'down', 'plastic': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00003500,uncharacterized conserved secreted protein,13,13,13,13,13,1.0,broad,True,5,10,16.0,5.22,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00056778,uncharacterized conserved secreted protein,11,9,9,11,11,1.0,broad,True,5,10,1.0,4.69,mixed,"{'carbon': 'mixed', 'growth_phase': 'down', 'iron': 'mixed', 'plastic': 'up', 'salt': 'up'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00043487,conserved hypothetical protein,9,9,9,9,9,1.0,broad,True,5,10,1.0,5.87,mixed,"{'carbon': 'up', 'coculture': 'up', 'growth_phase': 'down', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00002698,conserved hypothetical protein,9,9,9,9,9,1.0,broad,True,5,10,39.0,2.96,mixed,"{'carbon': 'up', 'coculture': 'up', 'darkness': 'mixed', 'plastic': 'up', 'viral': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00001222,conserved hypothetical protein,19,19,16,16,16,1.0,core,True,5,9,37.0,11.97,mixed,"{'coculture': 'mixed', 'darkness': 'down', 'nitrogen': 'down', 'salt': 'down', 'viral': 'down'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00043306,conserved hypothetical protein,9,9,9,9,8,0.8888888888888888,broad,True,5,9,3.0,2.33,mixed,"{'carbon': 'down', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'down', 'viral': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00043018,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,5,8,34.0,3.08,mixed,"{'carbon': 'up', 'darkness': 'down', 'nitrogen': 'up', 'salt': 'down', 'viral': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00002114,conserved hypothetical protein,20,20,16,16,16,1.0,core,True,5,8,2.0,12.6,mixed,"{'coculture': 'down', 'darkness': 'down', 'growth_phase': 'up', 'nitrogen': 'up', 'salt': 'down'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00054066,conserved hypothetical protein,9,9,9,9,9,1.0,broad,True,5,8,4.0,6.28,mixed,"{'carbon': 'up', 'coculture': 'up', 'growth_phase': 'down', 'nitrogen': 'mixed', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00042789,conserved hypothetical protein family PM-14,19,14,14,19,19,1.0,core,True,4,22,2.0,8.52,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00053552,conserved hypothetical protein,14,12,12,14,14,1.0,broad,True,4,21,5.0,4.53,mixed,"{'coculture': 'down', 'darkness': 'up', 'nitrogen': 'up', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00001269,conserved hypothetical protein,19,19,15,15,15,1.0,core,True,4,20,6.0,11.04,mixed,"{'coculture': 'mixed', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'up'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00003991,conserved hypothetical protein,12,12,12,12,12,1.0,broad,True,4,20,1.0,6.55,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'iron': 'mixed', 'nitrogen': 'down'}",,,2.0,Unknown,True,False,True,True
cyanorak:CK_00001432,conserved hypothetical protein,19,18,14,15,15,1.0,core,True,4,18,9.0,5.32,mixed,"{'darkness': 'mixed', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00003570,possible M protein repeat,11,9,9,11,11,1.0,broad,True,4,18,3.0,4.58,mixed,"{'carbon': 'down', 'nitrogen': 'mixed', 'plastic': 'up', 'salt': 'mixed'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00036065,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,4,17,25.0,2.95,mixed,"{'coculture': 'up', 'darkness': 'up', 'nitrogen': 'mixed', 'salt': 'up'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00000296,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,15,24.0,6.3,mixed,"{'carbon': 'mixed', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00001293,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,15,4.0,3.31,mixed,"{'darkness': 'mixed', 'nitrogen': 'down', 'plastic': 'down', 'salt': 'down'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00001295,conserved hypothetical protein,18,18,14,14,14,1.0,core,True,4,15,11.0,6.24,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00002720,Conserved hypothetical protein,18,13,13,18,18,1.0,broad,True,4,15,23.0,7.28,mixed,"{'carbon': 'up', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'up'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00001888,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,14,56.0,11.04,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00051501,conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,4,14,4.0,9.39,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00000958,conserved hypothetical protein,22,21,17,18,18,1.0,core,True,4,13,24.0,11.81,mixed,"{'coculture': 'down', 'darkness': 'up', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00001155,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,13,146.0,4.43,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00056837,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,4,13,4.0,4.56,mixed,"{'carbon': 'down', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00045409,conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,4,13,5.0,7.46,mixed,"{'darkness': 'mixed', 'iron': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00046788,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,12,7.0,5.26,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00001175,conserved hypothetical protein,19,19,15,15,15,1.0,core,True,4,12,14.0,1.91,mixed,"{'carbon': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'down'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00002638,"uncharacterized conserved membrane protein, Prochlorococcus-specific",14,14,14,14,14,1.0,core,True,4,12,27.0,6.61,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'iron': 'mixed', 'salt': 'up'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00044315,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,4,12,31.0,11.17,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'down'}",,,3.0,Unknown,True,False,True,True
cyanorak:CK_00050291,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,11,29.0,6.34,mixed,"{'carbon': 'up', 'darkness': 'mixed', 'nitrogen': 'down', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00000706,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,11,45.0,12.1,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'down'}",,,4.0,Unknown,True,False,True,True
cyanorak:CK_00001653,putative cAMP phosphodiesterase class-II,21,21,17,17,17,1.0,core,True,4,11,17.0,2.95,mixed,"{'darkness': 'mixed', 'nitrogen': 'down', 'plastic': 'down', 'salt': 'up'}",,,5.0,Unknown,True,False,False,False
cyanorak:CK_00056279,conserved hypothetical protein,21,21,17,17,17,1.0,core,True,4,11,8.0,12.1,mixed,"{'coculture': 'down', 'darkness': 'mixed', 'nitrogen': 'mixed', 'salt': 'up'}",,,5.0,Unknown,True,False,True,True
cyanorak:CK_00003940,uncharacterized conserved membrane protein,14,14,14,14,14,1.0,core,True,4,11,8.0,6.79,mixed,"{'carbon': 'mixed', 'darkness': 'mixed', 'plastic': 'up', 'salt': 'up'}",,,4.0,Unknown,True,False,False,False
cyanorak:CK_00004066,conserved hypothetical protein,14,14,14,14,14,1.0,core,True,4,11,30.0,2.22,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'plastic': 'down', 'salt': 'down'}",,,3.0,Unknown,True,False,False,False
cyanorak:CK_00036878,Conserved hypothetical protein,13,13,13,13,13,1.0,broad,True,4,11,1.0,4.99,mixed,"{'coculture': 'up', 'darkness': 'mixed', 'nitrogen': 'up', 'salt': 'up'}",,,3.0,Unknown,True,False,True,True
