system_id,locus_tags,gene_names,n_genes,KO_ids,component_roles,substrate_call,resolution_level,confidence_flag,source,substrate_evidence,substrate_options,importer_or_exporter,organic_or_inorganic,gene_categories
HOT1A3_TS011,ACZ81_00615,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS012,ACZ81_00630,cmpX,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS013,ACZ81_00640,mgtE,1,kegg.orthology:K06213,-,magnesium,specific_compound,confident,kegg_ko,mgtE; magnesium transporter,,importer,inorganic,Inorganic ion transport
HOT1A3_TS014,ACZ81_00660,nhaP,1,kegg.orthology:K03316,-,unresolved,unresolved,none,,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,importer,unknown,Inorganic ion transport
HOT1A3_TS015,ACZ81_00685,argP,1,kegg.orthology:K05596,-,unresolved,unresolved,none,,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator",,importer,unknown,Transcription
HOT1A3_TS016,ACZ81_00690,argO,1,kegg.orthology:K06895,PERM,lysine,specific_compound,inferred,kegg_ko_keyword,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,exporter,organic,Unknown
HOT1A3_TS017,ACZ81_00695,sugE,1,kegg.orthology:K11741,-,unresolved,unresolved,none,,sugE; quaternary ammonium compound-resistance protein SugE,,importer,unknown,Inorganic ion transport
HOT1A3_TS018,ACZ81_00710;ACZ81_00715,acrA;ttgB,2,kegg.orthology:K03585;kegg.orthology:K18138,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS019,ACZ81_00775,gstA,1,kegg.orthology:K00799,-,unresolved,unresolved,none,,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,importer,unknown,Post-translational modification
HOT1A3_TS020,ACZ81_00790,mgtE,1,kegg.orthology:K06213,-,magnesium,specific_compound,confident,kegg_ko,mgtE; magnesium transporter,,importer,inorganic,Inorganic ion transport
HOT1A3_TS021,ACZ81_00795,rarD,1,kegg.orthology:K05786,-,unresolved,unresolved,none,,rarD; chloramphenicol-sensitive protein RarD,,importer,unknown,Unknown
HOT1A3_TS022,ACZ81_00870,,1,kegg.orthology:K02027,SBP,sugar,broad_class,confident,kegg_ko,ABC.MS.S; multiple sugar transport system substrate-binding protein,,importer,organic,Carbohydrate metabolism
HOT1A3_TS023,ACZ81_00930,yegD,1,kegg.orthology:K04046,-,unresolved,unresolved,none,,yegD; hypothetical chaperone protein,,importer,unknown,Post-translational modification
HOT1A3_TS024,ACZ81_00945,yajR,1,,PERM,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS025,ACZ81_00985,sglT,1,kegg.orthology:K03307,-,The Solute:Sodium Symporter (SSS),specific_compound,inferred,tcdb_family,The Solute:Sodium Symporter (SSS) Family,,importer,inorganic,Unknown
HOT1A3_TS026,ACZ81_01010,,1,kegg.orthology:K03307,-,The Solute:Sodium Symporter (SSS),specific_compound,inferred,tcdb_family,The Solute:Sodium Symporter (SSS) Family,,importer,inorganic,Unknown
HOT1A3_TS027,ACZ81_01015,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS028,ACZ81_01020,glpK,1,kegg.orthology:K00864,-,glycerol,specific_compound,inferred,reclassified: enzyme / biosynthesis (not a membrane solute transporter),Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,,non_transporter,organic,Energy production
HOT1A3_TS029,ACZ81_01130,mreB,1,kegg.orthology:K03569,-,unresolved,unresolved,none,,mreB; rod shape-determining protein MreB and related proteins,,importer,unknown,Cell cycle and division
HOT1A3_TS030,ACZ81_01135,mreC,1,kegg.orthology:K03570,-,unresolved,unresolved,none,,mreC; rod shape-determining protein MreC,,importer,unknown,Cell wall and membrane
HOT1A3_TS031,ACZ81_01140,mreD,1,kegg.orthology:K03571,-,unresolved,unresolved,none,,mreD; rod shape-determining protein MreD,,importer,unknown,Cell wall and membrane
HOT1A3_TS032,ACZ81_01375,czcA,1,kegg.orthology:K15726,PERM,unresolved,unresolved,none,,"czcA, cusA, cnrA; heavy metal efflux system protein",,exporter,unknown,Inorganic ion transport
HOT1A3_TS033,ACZ81_01380,czcB,1,kegg.orthology:K15727,-,unresolved,unresolved,none,,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
HOT1A3_TS034,ACZ81_01385,czcC,1,kegg.orthology:K15725,-,unresolved,unresolved,none,,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
HOT1A3_TS035,ACZ81_01515,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS036,ACZ81_01525,,1,,-,unresolved,unresolved,none,,MFS transporter,,importer,unknown,Carbohydrate metabolism
HOT1A3_TS037,ACZ81_01540,,1,,-,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS038,ACZ81_01580,,1,kegg.orthology:K05820,PERM,3-phenylpropionic acid,specific_compound,inferred,kegg_ko_keyword,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",,importer,organic,Amino acid metabolism
HOT1A3_TS039,ACZ81_01730,nhaP,1,kegg.orthology:K03316,-,unresolved,unresolved,none,,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,importer,unknown,Inorganic ion transport
HOT1A3_TS040,ACZ81_01830,amtB,1,kegg.orthology:K03320,-,ammonium,specific_compound,confident,kegg_ko,"amt, AMT, MEP; ammonium transporter, Amt family",,importer,inorganic,Inorganic ion transport
HOT1A3_TS041,ACZ81_01865;ACZ81_01870,;,2,kegg.orthology:K21136,-;PERM,unresolved,unresolved,none,,"triA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS042,ACZ81_01940,,1,,-,unresolved,unresolved,none,,TorF family putative porin,,importer,unknown,Unknown
HOT1A3_TS043,ACZ81_01975,pilQ,1,kegg.orthology:K02507,-,unresolved,unresolved,none,,hofQ; protein transport protein HofQ,,importer,unknown,Intracellular trafficking
HOT1A3_TS044,ACZ81_02120;ACZ81_02125,pvdR;macB,2,kegg.orthology:K02005;kegg.orthology:K02003,-;ATP,unresolved,unresolved,none,,ABC.CD.TX; HlyD family secretion protein,,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS045,ACZ81_02150,secB,1,kegg.orthology:K03071,-,unresolved,unresolved,none,,secB; preprotein translocase subunit SecB,,exporter,unknown,Intracellular trafficking
HOT1A3_TS046,ACZ81_02185,,1,,PERM,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS047,ACZ81_02215,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Cell wall and membrane
HOT1A3_TS048,ACZ81_02250,tatA,1,kegg.orthology:K03116,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),tatA; sec-independent protein translocase protein TatA,,non_transporter,unknown,Intracellular trafficking
HOT1A3_TS049,ACZ81_02255,tatB,1,kegg.orthology:K03117,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),tatB; sec-independent protein translocase protein TatB,,non_transporter,unknown,Intracellular trafficking
HOT1A3_TS050,ACZ81_02260,tatC,1,kegg.orthology:K03118,-,arginine,specific_compound,inferred,reclassified: protein-export/secretion (not a solute importer),twin-arginine translocase subunit TatC,,non_transporter,organic,Intracellular trafficking
HOT1A3_TS051,ACZ81_02315,nhaA,1,kegg.orthology:K03313,-,sodium,specific_compound,inferred,function_description,Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,,importer,inorganic,Inorganic ion transport
HOT1A3_TS052,ACZ81_02410,mleN,1,,-,unresolved,unresolved,none,,Na+/H+ antiporter NhaC family protein,,importer,unknown,Energy production
HOT1A3_TS053,ACZ81_02420,,1,,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,mechanosensitive ion channel family protein,,importer,inorganic,Cell wall and membrane
HOT1A3_TS054,ACZ81_02460;ACZ81_02465,;,2,kegg.orthology:K02030,-;SBP,phosphate,specific_compound,inferred,function_description,phosphate-selective porin O and P,,importer,inorganic,Amino acid metabolism;Inorganic ion transport
HOT1A3_TS055,ACZ81_02475,,1,,-,unresolved,unresolved,none,,NRAMP family divalent metal transporter,,importer,unknown,Inorganic ion transport
HOT1A3_TS056,ACZ81_02510,,1,kegg.orthology:K09771,-,unresolved,unresolved,none,,TC.SMR3; small multidrug resistance family-3 protein,,exporter,unknown,Unknown
HOT1A3_TS057,ACZ81_02675,,1,kegg.orthology:K07238,-,zinc,specific_compound,confident,kegg_ko,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",,importer,inorganic,Inorganic ion transport
HOT1A3_TS058,ACZ81_02730,nlpD,1,kegg.orthology:K06194,-,unresolved,unresolved,none,,nlpD; lipoprotein NlpD,,importer,unknown,Cell cycle and division
HOT1A3_TS059,ACZ81_02820,ptsP,1,kegg.orthology:K08483,-,unresolved,unresolved,none,,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,importer,unknown,Signal transduction
HOT1A3_TS060,ACZ81_02825,,1,kegg.orthology:K07090,-,unresolved,unresolved,none,,K07090; uncharacterized protein,,exporter,unknown,Unknown
HOT1A3_TS061,ACZ81_02855,ampG,1,kegg.orthology:K08218,PERM,peptide,narrow_class,confident,brite_leaf,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],,importer,organic,Carbohydrate metabolism
HOT1A3_TS062,ACZ81_02940,,1,kegg.orthology:K08714,-,voltage-gated sodium,specific_compound,confident,kegg_ko,VGSC; voltage-gated sodium channel,,importer,inorganic,Inorganic ion transport
HOT1A3_TS063,ACZ81_02945,tolC,1,kegg.orthology:K12340,-,unresolved,unresolved,none,,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,importer,unknown,Cell wall and membrane
HOT1A3_TS064,ACZ81_02990,,1,kegg.orthology:K04043,-,unresolved,unresolved,none,,"dnaK, HSPA9; molecular chaperone DnaK",,importer,unknown,Post-translational modification
HOT1A3_TS065,ACZ81_03055,,1,kegg.orthology:K02014,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,TC.FEV.OM; iron complex outermembrane recepter protein,,importer,inorganic,Coenzyme metabolism
HOT1A3_TS066,ACZ81_03115,,1,kegg.orthology:K03321,PERM,sulfate,specific_compound,confident,kegg_ko,"TC.SULP; sulfate permease, SulP family",,importer,inorganic,Inorganic ion transport
HOT1A3_TS067,ACZ81_03160;ACZ81_03165;ACZ81_03170,nrtC;nrtB;nasD,3,kegg.orthology:K15576;kegg.orthology:K15577;kegg.orthology:K15578,SBP;PERM;ATP,nitrate/nitrite,multi_substrate,confident,kegg_ko,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate; nitrite,importer,inorganic,Inorganic ion transport
HOT1A3_TS068,ACZ81_03190,btuB,1,kegg.orthology:K16092,-,vitamin B12,specific_compound,confident,kegg_ko,btuB; vitamin B12 transporter,,importer,organic,Coenzyme metabolism
HOT1A3_TS069,ACZ81_03245;ACZ81_03250,;acrF,2,kegg.orthology:K03585;kegg.orthology:K18138,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS070,ACZ81_03255,,1,,SBP,phosphate,specific_compound,inferred,function_description,Phosphate ABC transporter substrate-binding protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS071,ACZ81_03335,benE,1,kegg.orthology:K05782,-,benzoate,specific_compound,confident,kegg_ko,benE; benzoate membrane transport protein,,importer,organic,Secondary metabolites
HOT1A3_TS072,ACZ81_03365,pstS,1,kegg.orthology:K02040,SBP,phosphate,specific_compound,confident,kegg_ko,pstS; phosphate transport system substrate-binding protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS073,ACZ81_03375,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor domain-containing protein,,importer,unknown,Inorganic ion transport
HOT1A3_TS074,ACZ81_03385,,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
HOT1A3_TS075,ACZ81_03390,,1,kegg.orthology:K03561,-,unresolved,unresolved,none,,exbB; biopolymer transport protein ExbB,,importer,unknown,Intracellular trafficking
HOT1A3_TS076,ACZ81_03395,,1,kegg.orthology:K03559,-,unresolved,unresolved,none,,exbD; biopolymer transport protein ExbD,,importer,unknown,Intracellular trafficking
HOT1A3_TS077,ACZ81_03400,,1,kegg.orthology:K03832,-,unresolved,unresolved,none,,tonB; periplasmic protein TonB,,importer,unknown,Cell wall and membrane
HOT1A3_TS078,ACZ81_03420,,1,kegg.orthology:K01897,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),"ACSL, fadD; long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",,non_transporter,unknown,Lipid metabolism
HOT1A3_TS079,ACZ81_03515,lptD,1,kegg.orthology:K04744,-,unresolved,unresolved,none,reclassified: surface-polysaccharide / cell-envelope biosynthesis-export (not a solute importer),"lptD, imp, ostA; LPS-assembly protein",,non_transporter,unknown,Cell wall and membrane
HOT1A3_TS080,ACZ81_03535,dsbC,1,kegg.orthology:K03981,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1],,non_transporter,unknown,Cell wall and membrane
HOT1A3_TS081,ACZ81_03640,,1,kegg.orthology:K07243,PERM,high-affinity iron,specific_compound,confident,kegg_ko,"FTR, FTH1, efeU; high-affinity iron transporter",,importer,inorganic,Inorganic ion transport
HOT1A3_TS082,ACZ81_03690,sspA,1,kegg.orthology:K03599,-,unresolved,unresolved,none,,"sspA, mglA; stringent starvation protein A",,importer,unknown,Post-translational modification
HOT1A3_TS083,ACZ81_03715,mgtE,1,kegg.orthology:K06213,-,magnesium,specific_compound,confident,kegg_ko,mgtE; magnesium transporter,,importer,inorganic,Inorganic ion transport
HOT1A3_TS084,ACZ81_03720,ptsO,1,kegg.orthology:K08485,-,unresolved,unresolved,none,,"ptsO, npr; phosphocarrier protein NPr",,importer,unknown,Carbohydrate metabolism
HOT1A3_TS085,ACZ81_03730,ptsN,1,kegg.orthology:K02806,-,unresolved,unresolved,none,,ptsN; nitrogen PTS system EIIA component [EC:2.7.1.-],,importer,unknown,Carbohydrate metabolism
HOT1A3_TS086,ACZ81_03745,lptB,1,kegg.orthology:K06861,ATP,saccharide,broad_class,confident,brite_leaf,Lipopolysaccharide transporter,,exporter,organic,Unknown
HOT1A3_TS087,ACZ81_03750,lptA,1,kegg.orthology:K09774,-,unresolved,unresolved,none,,lptA; lipopolysaccharide export system protein LptA,,exporter,unknown,Unknown
HOT1A3_TS088,ACZ81_03755,lptC,1,kegg.orthology:K11719,-,unresolved,unresolved,none,,lptC; lipopolysaccharide export system protein LptC,,exporter,unknown,Unknown
HOT1A3_TS089,ACZ81_03770,yrbG,1,kegg.orthology:K07301,-,calcium,specific_compound,inferred,product,calcium/sodium antiporter,,importer,inorganic,Inorganic ion transport
HOT1A3_TS090,ACZ81_03775;ACZ81_03780;ACZ81_03785;ACZ81_03790;ACZ81_03795,mlaF;mlaE;mlaD;ttg2D;yrbB,5,kegg.orthology:K02065;kegg.orthology:K02066;kegg.orthology:K02067;kegg.orthology:K07323;kegg.orthology:K07122,ATP;PERM;SBP;SBP;SBP,phospholipid/cholesterol/gamma-HCH,multi_substrate,confident,kegg_ko,"mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",phospholipid; cholesterol; gamma-hch,importer,organic,Secondary metabolites;Unknown
HOT1A3_TS091,ACZ81_03890,secD,1,kegg.orthology:K12257,-,unresolved,unresolved,none,reclassified: protein-export/secretion (not a solute importer),secDF; SecD/SecF fusion protein,,non_transporter,unknown,Intracellular trafficking
HOT1A3_TS092,ACZ81_03895,nhaP2,1,kegg.orthology:K11105,-,potassium,specific_compound,inferred,kegg_ko_keyword,"cvrA, nhaP2; potassium/hydrogen antiporter",,importer,inorganic,Inorganic ion transport
HOT1A3_TS093,ACZ81_03900,,1,,-,unresolved,unresolved,none,,TonB-dependent receptor,,importer,unknown,Inorganic ion transport
HOT1A3_TS094,ACZ81_03905,ywfM,1,kegg.orthology:K03298,-,unresolved,unresolved,none,,"TC.DME; drug/metabolite transporter, DME family",,importer,unknown,Amino acid metabolism
HOT1A3_TS095,ACZ81_03920,,1,kegg.orthology:K01999,SBP,branched-chain amino acid,narrow_class,confident,kegg_ko,livK; branched-chain amino acid transport system substrate-binding protein,leucine; isoleucine; valine,importer,organic,Amino acid metabolism
HOT1A3_TS096,ACZ81_03990;ACZ81_03995,;,2,kegg.orthology:K03585;kegg.orthology:K03296,-;PERM,unresolved,unresolved,none,,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS097,ACZ81_04000,nodT,1,kegg.orthology:K18139,-,unresolved,unresolved,none,,"oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system",,exporter,unknown,Cell wall and membrane
HOT1A3_TS098,ACZ81_04030;ACZ81_04035;ACZ81_04040,pstC;pstA;pstB,3,kegg.orthology:K02037;kegg.orthology:K02038;kegg.orthology:K02036,PERM;PERM;ATP,phosphate,specific_compound,confident,kegg_ko,pstC; phosphate transport system permease protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS099,ACZ81_04045,phoU,1,kegg.orthology:K02039,-,phosphate,specific_compound,confident,kegg_ko,phoU; phosphate transport system protein,,importer,inorganic,Inorganic ion transport
HOT1A3_TS100,ACZ81_04050,pitA,1,kegg.orthology:K03306,PERM,inorganic phosphate,specific_compound,confident,kegg_ko,"TC.PIT; inorganic phosphate transporter, PiT family",,importer,inorganic,Inorganic ion transport
HOT1A3_TS101,ACZ81_04155,sstT,1,kegg.orthology:K07862,-,serine/threonine,multi_substrate,confident,kegg_ko,sstT; serine/threonine transporter,serine; threonine,importer,organic,Amino acid metabolism
HOT1A3_TS102,ACZ81_04190,,1,kegg.orthology:K07274,-,unresolved,unresolved,none,,"mipA, ompV; MipA family protein",,importer,unknown,Cell wall and membrane
HOT1A3_TS103,ACZ81_04210,ybiT,1,,ATP,unresolved,unresolved,none,,ABC-F family ATPase,,importer,unknown,Unknown
HOT1A3_TS104,ACZ81_04225,,1,kegg.orthology:K16052,-,unresolved,unresolved,none,reclassified: mechanosensitive ion channel; organic call is a spurious 'membrane lipid bilayer' match,"ynaI, mscMJ; MscS family membrane protein",,importer,inorganic,Cell wall and membrane
HOT1A3_TS105,ACZ81_RS20765,,1,,PERM,unresolved,unresolved,none,,DMT family transporter,,importer,unknown,Amino acid metabolism
HOT1A3_TS106,ACZ81_04240,,1,kegg.orthology:K16089,-,iron/siderophore,specific_compound,inferred,kegg_ko_keyword,"TC.FEV.OM2, cirA, cfrA, hmuR; outer membrane receptor for ferrienterochelin and colicins",,importer,inorganic,Inorganic ion transport
HOT1A3_TS107,ACZ81_04250;ACZ81_04255,rbbA;yhhJ,2,kegg.orthology:K13926;kegg.orthology:K01992,ATP;PERM,unresolved,unresolved,none,,rbbA; ribosome-dependent ATPase,,exporter,unknown,Defense mechanisms
HOT1A3_TS108,ACZ81_04260,,1,kegg.orthology:K07552,PERM,unresolved,unresolved,none,,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein",,exporter,unknown,Amino acid metabolism
HOT1A3_TS109,ACZ81_04290,czcC,1,kegg.orthology:K15725,-,unresolved,unresolved,none,,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane
HOT1A3_TS110,ACZ81_04295;ACZ81_04300,czcB;czcA,2,kegg.orthology:K15727;kegg.orthology:K15726,-;PERM,unresolved,unresolved,none,,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,exporter,unknown,Cell wall and membrane;Inorganic ion transport
HOT1A3_TS111,ACZ81_04320;ACZ81_04325,;,2,kegg.orthology:K03296,-;PERM,unresolved,unresolved,none,,efflux RND transporter periplasmic adaptor subunit,,exporter,unknown,Cell wall and membrane;Defense mechanisms
HOT1A3_TS112,ACZ81_04350,,1,kegg.orthology:K07112,-,unresolved,unresolved,none,,K07112; uncharacterized protein,,importer,unknown,Unknown
HOT1A3_TS113,ACZ81_04355,,1,kegg.orthology:K07112,-,unresolved,unresolved,none,,K07112; uncharacterized protein,,importer,unknown,Unknown
HOT1A3_TS114,ACZ81_04365,,1,kegg.orthology:K07090,-,unresolved,unresolved,none,,K07090; uncharacterized protein,,exporter,unknown,Unknown
HOT1A3_TS115,ACZ81_04470,,1,kegg.orthology:K06518,-,unresolved,unresolved,none,,cidA; holin-like protein,,importer,unknown,Unknown
HOT1A3_TS116,ACZ81_04540,gspA,1,kegg.orthology:K02450,-,unresolved,unresolved,none,,gspA; general secretion pathway protein A,,exporter,unknown,Intracellular trafficking
HOT1A3_TS117,ACZ81_04545,gspB,1,kegg.orthology:K02451,-,unresolved,unresolved,none,,gspB; general secretion pathway protein B,,exporter,unknown,Intracellular trafficking
HOT1A3_TS118,ACZ81_04600,recA,1,kegg.orthology:K03553,-,unresolved,unresolved,none,,recA; recombination protein RecA,,importer,unknown,Replication and repair
HOT1A3_TS119,ACZ81_04605;ACZ81_04610,natA;natB,2,kegg.orthology:K09697;kegg.orthology:K09696,ATP;PERM,sodium,specific_compound,confident,kegg_ko,natA; sodium transport system ATP-binding protein [EC:7.2.2.4],,exporter,inorganic,Energy production
HOT1A3_TS120,ACZ81_04625,ccmA,1,kegg.orthology:K02193,ATP,heme,specific_compound,inferred,kegg_ko_keyword,ccmA; heme exporter protein A [EC:7.6.2.5],,exporter,organic,Post-translational modification
HOT1A3_TS121,ACZ81_04630;ACZ81_04635,ccmB;ccmC,2,kegg.orthology:K02194;kegg.orthology:K02195,-;PERM,heme,specific_compound,inferred,kegg_ko_keyword,ccmB; heme exporter protein B,,exporter,organic,Post-translational modification
HOT1A3_TS122,ACZ81_04640,ccmD,1,kegg.orthology:K02196,-,heme,specific_compound,inferred,kegg_ko_keyword,ccmD; heme exporter protein D,,exporter,organic,Intracellular trafficking
HOT1A3_TS123,ACZ81_04650,ccmF,1,kegg.orthology:K02198,-,unresolved,unresolved,none,reclassified: enzyme / biosynthesis (not a membrane solute transporter),ccmF; cytochrome c-type biogenesis protein CcmF,,non_transporter,unknown,Post-translational modification
HOT1A3_TS124,ACZ81_04685,dtpT,1,kegg.orthology:K03305,-,oligopeptide,narrow_class,confident,kegg_ko,"TC.POT; proton-dependent oligopeptide transporter, POT family",,importer,organic,Amino acid metabolism
HOT1A3_TS125,ACZ81_04690;ACZ81_04695;ACZ81_04700,kpsE;kpsT;kpsM,3,kegg.orthology:K10107;kegg.orthology:K09689;kegg.orthology:K09688,PERM;ATP;PERM,saccharide,broad_class,confident,kegg_ko,kpsE; capsular polysaccharide transport system permease protein,,exporter,organic,Carbohydrate metabolism;Cell wall and membrane
HOT1A3_TS126,ACZ81_04740,,1,kegg.orthology:K02237,-,unresolved,unresolved,none,,comEA; competence protein ComEA,,importer,unknown,Replication and repair
HOT1A3_TS127,ACZ81_04875,yaeT,1,kegg.orthology:K07277,-,unresolved,unresolved,none,,"SAM50, TOB55, bamA; outer membrane protein insertion porin family",,importer,unknown,Cell wall and membrane
HOT1A3_TS128,ACZ81_04925,kefB,1,kegg.orthology:K03455,-,unresolved,unresolved,none,,"KEA1_2_3, kefB, kefC; K+:H+ antiporter",,importer,unknown,Inorganic ion transport
HOT1A3_TS129,ACZ81_05080,fliD,1,kegg.orthology:K02407,-,unresolved,unresolved,none,,fliD; flagellar hook-associated protein 2,,importer,unknown,Cell motility
HOT1A3_TS130,ACZ81_05170,fliF,1,kegg.orthology:K02409,-,unresolved,unresolved,none,,fliF; flagellar M-ring protein FliF,,importer,unknown,Cell motility
HOT1A3_TS131,ACZ81_05180;ACZ81_05185,fliH;fliI,2,kegg.orthology:K02411;kegg.orthology:K02412,-;ATP,unresolved,unresolved,none,,fliH; flagellar assembly protein FliH,,exporter,unknown,Cell motility
HOT1A3_TS132,ACZ81_05210,fliN,1,kegg.orthology:K02417,-,unresolved,unresolved,none,,fliN; flagellar motor switch protein FliN,,importer,unknown,Cell motility
