locus_tag,gene_name,product,gene_category,contig,start,end,strand,role,ko_id,ko_name,ko_substrate,brite_leaf,tcdb_id,tcdb_name,substrate_call,resolution_level,organic_or_inorganic,substrate_source,substrate_confidence,substrate_evidence,substrate_options,sources
ACZ81_00585,sfuB,ABC transporter permease,Inorganic ion transport,NZ_CP012202.1,128183,129703,+,PERM,kegg.orthology:K02011,"afuB, fbpB; iron(III) transport system permease protein",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuB, fbpB; iron(III) transport system permease protein",,brite;kegg;tcdb;func
ACZ81_00590,,ABC transporter ATP-binding protein,Inorganic ion transport,NZ_CP012202.1,129703,130734,+,ATP,kegg.orthology:K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",iron(III),Iron(III) transporter,tcdb:3.A.1.10,3.A.1.10,iron(III),specific_compound,inorganic,kegg_ko,confident,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]",,brite;kegg;tcdb;func
ACZ81_00615,,mechanosensitive ion channel family protein,Cell wall and membrane,NZ_CP012202.1,133172,134044,-,,,,,,,,unresolved,unresolved,,,none,mechanosensitive ion channel family protein,,func
ACZ81_00630,cmpX,mechanosensitive ion channel family protein,Cell wall and membrane,NZ_CP012202.1,135623,136483,-,,,,,,,,unresolved,unresolved,,,none,mechanosensitive ion channel family protein,,func
ACZ81_00640,mgtE,magnesium transporter,Inorganic ion transport,NZ_CP012202.1,136969,138309,+,,kegg.orthology:K06213,mgtE; magnesium transporter,magnesium,Pores ion channels [TC:1],tcdb:1.A.26.1,1.A.26.1,magnesium,specific_compound,inorganic,kegg_ko,confident,mgtE; magnesium transporter,,brite;kegg;tcdb;func
ACZ81_00660,nhaP,cation:proton antiporter,Inorganic ion transport,NZ_CP012202.1,141573,143387,-,,kegg.orthology:K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.36,The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,unresolved,unresolved,,,none,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,brite;kegg;tcdb;func
ACZ81_00685,argP,ArgP/LysG family DNA-binding transcriptional regulator,Transcription,NZ_CP012202.1,147186,148070,-,,kegg.orthology:K05596,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator","LysR family transcriptional regulator, arginine and lysine",,,,unresolved,unresolved,,,none,"argP, iciA; LysR family transcriptional regulator, arginine and lysine transport system/DNA replication regulator",,kegg
ACZ81_00690,argO,LysE/ArgO family amino acid transporter,Unknown,NZ_CP012202.1,148248,148850,+,PERM,kegg.orthology:K06895,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.75.1,2.A.75.1,lysine,specific_compound,organic,kegg_ko_keyword,inferred,"lysE, argO; L-lysine exporter family protein LysE/ArgO",,brite;tcdb;func
ACZ81_00695,sugE,DMT family transporter,Inorganic ion transport,NZ_CP012202.1,148966,149283,+,,kegg.orthology:K11741,sugE; quaternary ammonium compound-resistance protein SugE,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.1,2.A.7.1,unresolved,unresolved,,,none,sugE; quaternary ammonium compound-resistance protein SugE,,brite;tcdb;func
ACZ81_00710,acrA,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_CP012202.1,151259,152404,+,,kegg.orthology:K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,Accessory factors involved in transport [TC:8],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,brite;kegg;tcdb;func
ACZ81_00715,ttgB,efflux RND transporter permease subunit,Defense mechanisms,NZ_CP012202.1,152426,155524,+,PERM,kegg.orthology:K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.2.16,2.A.6.2.16,unresolved,unresolved,,,none,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,brite;kegg;tcdb;func
ACZ81_00775,gstA,glutathione S-transferase,Post-translational modification,NZ_CP012202.1,168816,169484,+,,kegg.orthology:K00799,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,Pores ion channels [TC:1],tcdb:1.A.12.2.2,1.A.12.2.2,unresolved,unresolved,,,none,"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,brite;tcdb
ACZ81_00790,mgtE,magnesium transporter,Inorganic ion transport,NZ_CP012202.1,172224,173561,+,,kegg.orthology:K06213,mgtE; magnesium transporter,magnesium,Pores ion channels [TC:1],tcdb:1.A.26.1,1.A.26.1,magnesium,specific_compound,inorganic,kegg_ko,confident,mgtE; magnesium transporter,,brite;kegg;tcdb;func
ACZ81_00795,rarD,EamA family transporter RarD,Unknown,NZ_CP012202.1,173787,174701,+,,kegg.orthology:K05786,rarD; chloramphenicol-sensitive protein RarD,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.7,2.A.7.7,unresolved,unresolved,,,none,rarD; chloramphenicol-sensitive protein RarD,,brite;tcdb;func
ACZ81_00870,,ABC transporter substrate-binding protein,Carbohydrate metabolism,NZ_CP012202.1,189901,191142,+,SBP,kegg.orthology:K02027,ABC.MS.S; multiple sugar transport system substrate-binding protein,multiple sugar,Putative multiple sugar transporter,tcdb:3.A.1.1,3.A.1.1,sugar,broad_class,organic,kegg_ko,confident,ABC.MS.S; multiple sugar transport system substrate-binding protein,,brite;kegg;tcdb;func
ACZ81_00930,yegD,Hsp70 family protein,Post-translational modification,NZ_CP012202.1,200750,202252,+,,kegg.orthology:K04046,yegD; hypothetical chaperone protein,,,tcdb:1.A.33,The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family,unresolved,unresolved,,,none,yegD; hypothetical chaperone protein,,tcdb
ACZ81_00945,yajR,MFS transporter,Amino acid metabolism,NZ_CP012202.1,205865,207202,+,PERM,,,,,,,unresolved,unresolved,,,none,MFS transporter,,func
ACZ81_00985,sglT,sodium/sugar symporter,Unknown,NZ_CP012202.1,215117,216679,+,,kegg.orthology:K03307,"TC.SSS; solute:Na+ symporter, SSS family",,,tcdb:2.A.21,The Solute:Sodium Symporter (SSS) Family,The Solute:Sodium Symporter (SSS),specific_compound,inorganic,tcdb_family,inferred,The Solute:Sodium Symporter (SSS) Family,,kegg;tcdb;func
ACZ81_01010,,SLC5 family protein,Unknown,NZ_CP012202.1,222677,224131,-,,kegg.orthology:K03307,"TC.SSS; solute:Na+ symporter, SSS family",,,tcdb:2.A.21,The Solute:Sodium Symporter (SSS) Family,The Solute:Sodium Symporter (SSS),specific_compound,inorganic,tcdb_family,inferred,The Solute:Sodium Symporter (SSS) Family,,kegg;tcdb;func
ACZ81_01015,,TonB-dependent receptor,Inorganic ion transport,NZ_CP012202.1,224198,226942,-,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor,,func
ACZ81_01020,glpK,glycerol kinase GlpK,Energy production,NZ_CP012202.1,227248,228732,-,,kegg.orthology:K00864,"glpK, GK; glycerol kinase [EC:2.7.1.30]",,,,,glycerol,specific_compound,organic,function_description,inferred,Key enzyme in the regulation of glycerol uptake and metabolism. Catalyzes the phosphorylation of glycerol to yield sn- glycerol 3-phosphate,,func
ACZ81_01130,mreB,rod shape-determining protein,Cell cycle and division,NZ_CP012202.1,250241,251284,+,,kegg.orthology:K03569,mreB; rod shape-determining protein MreB and related proteins,,,tcdb:1.A.33.1,1.A.33.1,unresolved,unresolved,,,none,mreB; rod shape-determining protein MreB and related proteins,,tcdb
ACZ81_01135,mreC,rod shape-determining protein MreC,Cell wall and membrane,NZ_CP012202.1,251322,252224,+,,kegg.orthology:K03570,mreC; rod shape-determining protein MreC,,,tcdb:9.B.157.1,9.B.157.1,unresolved,unresolved,,,none,mreC; rod shape-determining protein MreC,,tcdb
ACZ81_01140,mreD,rod shape-determining protein MreD,Cell wall and membrane,NZ_CP012202.1,252217,252693,+,,kegg.orthology:K03571,mreD; rod shape-determining protein MreD,,,tcdb:9.B.157.1,9.B.157.1,unresolved,unresolved,,,none,mreD; rod shape-determining protein MreD,,tcdb
ACZ81_01375,czcA,efflux RND transporter permease subunit,Inorganic ion transport,NZ_CP012202.1,300256,303402,-,PERM,kegg.orthology:K15726,"czcA, cusA, cnrA; heavy metal efflux system protein",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.1.2,2.A.6.1.2,unresolved,unresolved,,,none,"czcA, cusA, cnrA; heavy metal efflux system protein",,brite;kegg;tcdb;func
ACZ81_01380,czcB,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_CP012202.1,303415,304653,-,,kegg.orthology:K15727,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,Accessory factors involved in transport [TC:8],tcdb:8.A.1.2.1,8.A.1.2.1,unresolved,unresolved,,,none,"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system",,brite;kegg;tcdb;func
ACZ81_01385,czcC,TolC family protein,Cell wall and membrane,NZ_CP012202.1,304650,305939,-,,kegg.orthology:K15725,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,Pores ion channels [TC:1],tcdb:1.B.17.2.2,1.B.17.2.2,unresolved,unresolved,,,none,"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system",,brite;kegg;tcdb
ACZ81_01515,,TonB-dependent receptor,Inorganic ion transport,NZ_CP012202.1,335245,337503,-,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor,,func
ACZ81_01525,,MFS transporter,Carbohydrate metabolism,NZ_CP012202.1,339012,340250,+,,,,,,,,unresolved,unresolved,,,none,MFS transporter,,func
ACZ81_01540,,DMT family transporter,Amino acid metabolism,NZ_CP012202.1,343807,344700,-,,,,,,,,unresolved,unresolved,,,none,DMT family transporter,,func
ACZ81_01580,,nucleoside permease,Amino acid metabolism,NZ_CP012202.1,354671,355888,+,PERM,kegg.orthology:K05820,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",MFS,Phenylproprionate permease (PPP) family [TC:2.A.1.27],tcdb:2.A.1.27,2.A.1.27,3-phenylpropionic acid,specific_compound,organic,kegg_ko_keyword,inferred,"hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter",,brite;kegg;tcdb;func
ACZ81_01730,nhaP,cation:proton antiporter,Inorganic ion transport,NZ_CP012202.1,384414,386225,-,,kegg.orthology:K03316,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.36,The Monovalent Cation:Proton Antiporter-1 (CPA1) Family,unresolved,unresolved,,,none,"nhaP, nhaS1, nhaS2; Na+:H+ antiporter",,brite;kegg;tcdb;func
ACZ81_01830,amtB,ammonium transporter,Inorganic ion transport,NZ_CP012202.1,409855,411102,+,,kegg.orthology:K03320,"amt, AMT, MEP; ammonium transporter, Amt family",ammonium,Pores ion channels [TC:1],tcdb:1.A.11,The Ammonium Transporter Channel (Amt) Family,ammonium,specific_compound,inorganic,kegg_ko,confident,"amt, AMT, MEP; ammonium transporter, Amt family",,brite;kegg;tcdb;func
ACZ81_01865,,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_CP012202.1,418621,419760,+,,kegg.orthology:K21136,"triA; membrane fusion protein, multidrug efflux system",,Accessory factors involved in transport [TC:8],tcdb:2.A.6.2.27,2.A.6.2.27,unresolved,unresolved,,,none,"triA; membrane fusion protein, multidrug efflux system",,brite;kegg;tcdb;func
ACZ81_01870,,efflux RND transporter permease subunit,Defense mechanisms,NZ_CP012202.1,419760,422906,+,PERM,,,,,,,unresolved,unresolved,,,none,efflux RND transporter permease subunit,,func
ACZ81_01940,,TorF family putative porin,Unknown,NZ_CP012202.1,441724,442551,+,,,,,,,,unresolved,unresolved,,,none,TorF family putative porin,,func
ACZ81_01975,pilQ,type IV pilus secretin PilQ,Intracellular trafficking,NZ_CP012202.1,447913,449685,-,,kegg.orthology:K02507,hofQ; protein transport protein HofQ,protein,,tcdb:3.A.15.2,3.A.15.2,unresolved,unresolved,,,none,hofQ; protein transport protein HofQ,,tcdb
ACZ81_02120,pvdR,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_CP012202.1,481806,482984,+,,kegg.orthology:K02005,ABC.CD.TX; HlyD family secretion protein,,Accessory factors involved in transport [TC:8],tcdb:8.A.1,The Membrane Fusion Protein (MFP) Family,unresolved,unresolved,,,none,ABC.CD.TX; HlyD family secretion protein,,brite;kegg;tcdb;func
ACZ81_02125,macB,MacB family efflux pump subunit,Defense mechanisms,NZ_CP012202.1,482986,484956,+,ATP,kegg.orthology:K02003,ABC.CD.A; putative ABC transport system ATP-binding protein,putative ABC,Macrolide exporter,tcdb:3.A.1.122.1,3.A.1.122.1,unresolved,unresolved,,,none,ABC.CD.A; putative ABC transport system ATP-binding protein,,brite;kegg;tcdb;func
ACZ81_02150,secB,protein-export chaperone SecB,Intracellular trafficking,NZ_CP012202.1,489458,489967,-,,kegg.orthology:K03071,secB; preprotein translocase subunit SecB,,,tcdb:3.A.5,The General Secretory Pathway (Sec) Family,unresolved,unresolved,,,none,secB; preprotein translocase subunit SecB,,kegg;tcdb
ACZ81_02185,,DMT family transporter,Amino acid metabolism,NZ_CP012202.1,494611,495486,-,PERM,,,,,,,unresolved,unresolved,,,none,DMT family transporter,,func
ACZ81_02215,,TonB-dependent receptor domain-containing protein,Cell wall and membrane,NZ_CP012202.1,499567,502653,+,,,,,,,,unresolved,unresolved,,,none,TonB-dependent receptor domain-containing protein,,func
ACZ81_02250,tatA,Sec-independent protein translocase subunit TatA,Intracellular trafficking,NZ_CP012202.1,509650,509895,+,,kegg.orthology:K03116,tatA; sec-independent protein translocase protein TatA,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,unresolved,unresolved,,,none,tatA; sec-independent protein translocase protein TatA,,kegg;tcdb;func
ACZ81_02255,tatB,Sec-independent protein translocase protein TatB,Intracellular trafficking,NZ_CP012202.1,509895,510194,+,,kegg.orthology:K03117,tatB; sec-independent protein translocase protein TatB,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,unresolved,unresolved,,,none,tatB; sec-independent protein translocase protein TatB,,kegg;tcdb
ACZ81_02260,tatC,twin-arginine translocase subunit TatC,Intracellular trafficking,NZ_CP012202.1,510195,510950,+,,kegg.orthology:K03118,tatC; sec-independent protein translocase protein TatC,,,tcdb:2.A.64,The Twin Arginine Targeting (Tat) Family,arginine,specific_compound,organic,product,inferred,twin-arginine translocase subunit TatC,,kegg;tcdb
ACZ81_02315,nhaA,Na+/H+ antiporter NhaA,Inorganic ion transport,NZ_CP012202.1,524456,525730,-,,kegg.orthology:K03313,"nhaA; Na+:H+ antiporter, NhaA family",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.33.1,2.A.33.1,sodium,specific_compound,inorganic,function_description,inferred,Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons,,brite;kegg;tcdb;func
ACZ81_02410,mleN,Na+/H+ antiporter NhaC family protein,Energy production,NZ_CP012202.1,543926,545302,-,,,,,,,,unresolved,unresolved,,,none,Na+/H+ antiporter NhaC family protein,,func
ACZ81_02420,,mechanosensitive ion channel family protein,Cell wall and membrane,NZ_CP012202.1,547591,548661,+,,,,,,,,unresolved,unresolved,,,none,mechanosensitive ion channel family protein,,func
ACZ81_02460,,TonB-dependent receptor,Inorganic ion transport,NZ_CP012202.1,555962,557080,+,,,,,,,,phosphate,specific_compound,inorganic,function_description,inferred,phosphate-selective porin O and P,,func
ACZ81_02465,,substrate-binding periplasmic protein,Amino acid metabolism,NZ_CP012202.1,557100,557897,+,SBP,kegg.orthology:K02030,ABC.PA.S; polar amino acid transport system substrate-binding protein,polar amino acid,Putative polar amino acid transporter,tcdb:3.A.1.3,3.A.1.3,polar amino acid,narrow_class,organic,kegg_ko,confident,ABC.PA.S; polar amino acid transport system substrate-binding protein,glutamate; aspartate; glutamine; arginine,brite;kegg;tcdb;func
ACZ81_02475,,NRAMP family divalent metal transporter,Inorganic ion transport,NZ_CP012202.1,559524,560795,+,,,,,,,,unresolved,unresolved,,,none,NRAMP family divalent metal transporter,,func
ACZ81_02510,,YnfA family protein,Unknown,NZ_CP012202.1,565125,565457,-,,kegg.orthology:K09771,TC.SMR3; small multidrug resistance family-3 protein,,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.7.26,2.A.7.26,unresolved,unresolved,,,none,TC.SMR3; small multidrug resistance family-3 protein,,brite;tcdb
ACZ81_02675,,ZIP family metal transporter,Inorganic ion transport,NZ_CP012202.1,589129,589845,+,,kegg.orthology:K07238,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",zinc,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.5.5,2.A.5.5,zinc,specific_compound,inorganic,kegg_ko,confident,"TC.ZIP, zupT, ZRT3, ZIP2; zinc transporter, ZIP family",,brite;kegg;tcdb;func
ACZ81_02730,nlpD,peptidoglycan DD-metalloendopeptidase family protein,Cell cycle and division,NZ_CP012202.1,597173,598012,-,,kegg.orthology:K06194,nlpD; lipoprotein NlpD,,,tcdb:1.A.34.1.2,1.A.34.1.2,unresolved,unresolved,,,none,nlpD; lipoprotein NlpD,,tcdb
ACZ81_02820,ptsP,phosphoenolpyruvate--protein phosphotransferase,Signal transduction,NZ_CP012202.1,616695,618986,+,,kegg.orthology:K08483,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,Enzyme I [TC:8.A.7],tcdb:8.A.7,The Phosphotransferase System Enzyme I (EI) Family,unresolved,unresolved,,,none,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9],,brite;tcdb
ACZ81_02825,,sulfite exporter TauE/SafE family protein,Unknown,NZ_CP012202.1,618990,619796,+,,kegg.orthology:K07090,K07090; uncharacterized protein,,,,,unresolved,unresolved,,,none,K07090; uncharacterized protein,,func
ACZ81_02855,ampG,AmpG family muropeptide MFS transporter,Carbohydrate metabolism,NZ_CP012202.1,625785,627131,-,PERM,kegg.orthology:K08218,"ampG; MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG",MFS,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],tcdb:2.A.1.25,2.A.1.25,peptide,narrow_class,organic,brite_leaf,confident,Peptide-acetyl-CoA transporter (PAT) [TC:2.A.1.25],,brite;kegg;tcdb;func
ACZ81_02940,,ion transporter,Inorganic ion transport,NZ_CP012202.1,650998,651852,-,,kegg.orthology:K08714,VGSC; voltage-gated sodium channel,voltage-gated sodium,Pores ion channels [TC:1],tcdb:1.A.1.14,1.A.1.14,voltage-gated sodium,specific_compound,inorganic,kegg_ko,confident,VGSC; voltage-gated sodium channel,,brite;kegg;tcdb;func
ACZ81_02945,tolC,outer membrane channel protein TolC,Cell wall and membrane,NZ_CP012202.1,652360,653733,-,,kegg.orthology:K12340,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,Pores ion channels [TC:1],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein",,brite;tcdb;func
ACZ81_02990,,Hsp70 family protein,Post-translational modification,NZ_CP012202.1,660667,663162,+,,kegg.orthology:K04043,"dnaK, HSPA9; molecular chaperone DnaK",,,tcdb:1.A.33.1,1.A.33.1,unresolved,unresolved,,,none,"dnaK, HSPA9; molecular chaperone DnaK",,tcdb
ACZ81_03055,,TonB-dependent receptor,Coenzyme metabolism,NZ_CP012202.1,676047,678440,+,,kegg.orthology:K02014,TC.FEV.OM; iron complex outermembrane recepter protein,,Pores ion channels [TC:1],tcdb:1.B.14,The Outer Membrane Receptor (OMR) Family,iron/siderophore,specific_compound,inorganic,kegg_ko_keyword,inferred,TC.FEV.OM; iron complex outermembrane recepter protein,,brite;tcdb;func
ACZ81_03115,,SulP family inorganic anion transporter,Inorganic ion transport,NZ_CP012202.1,688037,689602,+,PERM,kegg.orthology:K03321,"TC.SULP; sulfate permease, SulP family",sulfate,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.53.3,2.A.53.3,sulfate,specific_compound,inorganic,kegg_ko,confident,"TC.SULP; sulfate permease, SulP family",,brite;kegg;tcdb;func
ACZ81_03160,nrtC,CmpA/NrtA family ABC transporter substrate-binding protein,Inorganic ion transport,NZ_CP012202.1,703265,704674,+,SBP,kegg.orthology:K15576,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein",nitrate; nitrite,brite;kegg;tcdb;func
ACZ81_03165,nrtB,ABC transporter permease,Inorganic ion transport,NZ_CP012202.1,704763,705758,+,PERM,kegg.orthology:K15577,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein",nitrate; nitrite,brite;kegg;tcdb;func
ACZ81_03170,nasD,ABC transporter ATP-binding protein,Inorganic ion transport,NZ_CP012202.1,705775,706677,+,ATP,kegg.orthology:K15578,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]",nitrate/nitrite,Nitrate/nitrite transporter,tcdb:3.A.1.16.1,3.A.1.16.1,nitrate/nitrite,multi_substrate,inorganic,kegg_ko,confident,"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:7.3.2.4]",nitrate; nitrite,brite;kegg;tcdb;func
ACZ81_03190,btuB,TonB-dependent receptor plug domain-containing protein,Coenzyme metabolism,NZ_CP012202.1,709966,711888,-,,kegg.orthology:K16092,btuB; vitamin B12 transporter,vitamin B12,Pores ion channels [TC:1],tcdb:1.B.14.3,1.B.14.3,vitamin B12,specific_compound,organic,kegg_ko,confident,btuB; vitamin B12 transporter,,brite;kegg;tcdb;func
ACZ81_03245,,efflux RND transporter periplasmic adaptor subunit,Cell wall and membrane,NZ_CP012202.1,723410,724459,+,,kegg.orthology:K03585,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,Accessory factors involved in transport [TC:8],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"acrA, mexA, adeI, smeD, mtrC, cmeA; membrane fusion protein, multidrug efflux system",,brite;kegg;tcdb;func
ACZ81_03250,acrF,efflux RND transporter permease subunit,Defense mechanisms,NZ_CP012202.1,724474,727581,+,PERM,kegg.orthology:K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.6.2,2.A.6.2,unresolved,unresolved,,,none,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump",,brite;kegg;tcdb;func
ACZ81_03255,,type 2 periplasmic-binding domain-containing protein,Inorganic ion transport,NZ_CP012202.1,728112,728516,+,SBP,,,,,,,phosphate,specific_compound,inorganic,function_description,inferred,Phosphate ABC transporter substrate-binding protein,,func
ACZ81_03335,benE,benzoate/H(+) symporter BenE family transporter,Secondary metabolites,NZ_CP012202.1,746385,747575,-,,kegg.orthology:K05782,benE; benzoate membrane transport protein,benzoate,Electrochemical potential-driven transporters [TC:2],tcdb:2.A.46.1,2.A.46.1,benzoate,specific_compound,organic,kegg_ko,confident,benE; benzoate membrane transport protein,,brite;tcdb;func
