og_group_id,og_product,routes,both_routes,n_strains,strains,n_genes,locus_tags
eggnog:4661S@72275,alkaline phosphatase PhoX,vesicle,False,1,MIT1002,1,MIT1002_02422
eggnog:467ZY@72275,nucleoid-associated protein HU-beta,vesicle,False,1,MIT1002,1,MIT1002_02756
eggnog:465QK@72275,SapC family protein,vesicle,False,1,MIT1002,1,MIT1002_03036
eggnog:464YM@72275,Na(+)-translocating NADH-quinone reductase subunit A,vesicle,False,1,MIT1002,1,MIT1002_03488
eggnog:467T8@72275,30S ribosomal protein S18,vesicle,False,1,MIT1002,1,MIT1002_03817
eggnog:464BH@72275,phosphoglycerate dehydrogenase,vesicle,False,1,MIT1002,1,MIT1002_02993
eggnog:464WN@72275,FMN-dependent L-lactate dehydrogenase LldD,vesicle,False,1,MIT1002,1,MIT1002_03330
eggnog:467UW@72275,30S ribosomal protein S14,vesicle,False,1,MIT1002,1,MIT1002_03598
eggnog:46403@72275,DNA-directed RNA polymerase subunit beta^,vesicle,False,1,MIT1002,1,MIT1002_03732
eggnog:46CFF@72275,FKBP-type peptidyl-prolyl cis-trans isomerase,vesicle,False,1,MIT1002,1,MIT1002_04007
