locus_tag,strain_short,substrates,tier,func_evidence,export_evidence
AMBAS45_11955,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Extracellular;signal:TAT lipoprotein signal peptide (Tat/SPII)
AMBAS45_12520,AD45,carbohydrate,A: degradative + exported,CAZy GH103,signal:Signal peptide (Sec/SPI)
AMBAS45_13880,AD45,carbohydrate,A: degradative + exported,Pfam Pectinacetylesterase,signal:Signal peptide (Sec/SPI)
AMBAS45_14170,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Extracellular;signal:Signal peptide (Sec/SPI)
AMBAS45_14395,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.52 (beta-N-acetylhexosaminidase),loc:Outer membrane;signal:Signal peptide (Sec/SPI)
AMBAS45_00055,AD45,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.20 (DNA-3-methyladenine glycosylase I),
AMBAS45_01150,AD45,carbohydrate,"B: degradative, export uncertain",EC 3.2.1.23 (beta-galactosidase),
AMBAS45_16560,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.4 (cellulase),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_18035,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.1 (alpha-amylase),loc:Extracellular
AMBAS45_18450,AD45,carbohydrate,"B: degradative, export uncertain",EC 3.2.1.177 (alpha-D-xyloside xylohydrolase),
AMBAS45_18470,AD45,carbohydrate,A: degradative + exported,Pfam Glycosyl hydrolases family 16,loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_18490,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.21 (beta-glucosidase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_18735,AD45,carbohydrate,A: degradative + exported,EC 3.2.2.9 (adenosylhomocysteine nucleosidase),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_01770,AD45,carbohydrate,"B: degradative, export uncertain",CAZy GH103,
AMBAS45_02430,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.52 (beta-N-acetylhexosaminidase),signal:Signal peptide (Sec/SPI)
AMBAS45_02610,AD45,carbohydrate,A: degradative + exported,CAZy GH23,loc:Periplasmic;signal:Signal peptide (Sec/SPI)
AMBAS45_03845,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",loc:Outer membrane;signal:Signal peptide (Sec/SPI)
AMBAS45_03850,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_03865,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_03895,AD45,carbohydrate,A: degradative + exported,Pfam Glycosyl hydrolase family 85,signal:Signal peptide (Sec/SPI)
AMBAS45_03915,AD45,carbohydrate,A: degradative + exported,"EC 3.2.1.- (Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds)",signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_19140,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.20 (alpha-glucosidase),signal:Signal peptide (Sec/SPI)
AMBAS45_RS01095,AD45,carbohydrate,"B: degradative, export uncertain",Pfam Concanavalin A-like lectin/glucanases superfamily,
AMBAS45_RS20855,AD45,carbohydrate,"B: degradative, export uncertain",Pfam Glycosyl hydrolases family 17,
AMBAS45_RS20860,AD45,carbohydrate,"B: degradative, export uncertain",Pfam Glycosyl hydrolases family 17,
AMBAS45_09405,AD45,carbohydrate,"B: degradative, export uncertain",EC 3.2.2.- (Hydrolyzing N-glycosyl compounds),
AMBAS45_10730,AD45,carbohydrate,A: degradative + exported,CAZy GH13,loc:Extracellular
AMBAS45_11095,AD45,carbohydrate,"B: degradative, export uncertain",Pfam Carbohydrate-binding module 48 (Isoamylase N-terminal domain),
AMBAS45_11270,AD45,carbohydrate,A: degradative + exported,EC 3.2.1.1 (alpha-amylase),loc:Extracellular;signal:Signal peptide (Sec/SPI)
AMBAS45_16470,AD45,carbohydrate (ester);ester (other);lipid/ester,A: degradative + exported,EC 3.1.2.12 (S-formylglutathione hydrolase) | CAZy CE1 | Pfam Putative esterase,loc:Periplasmic
AMBAS45_11960,AD45,carbohydrate;lipid/ester,A: degradative + exported,EC 3.1.1.11 (pectinesterase) | GO-MF pectinesterase activity,loc:Extracellular;signal:Signal peptide (Sec/SPI)
AMBAS45_12405,AD45,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
AMBAS45_00860,AD45,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
AMBAS45_07135,AD45,ester (other),"B: degradative, export uncertain",EC 3.1.2.- (Thiolester hydrolases),
AMBAS45_19300,AD45,ester (other),"B: degradative, export uncertain",EC 3.1.-.- (Acting on ester bonds),
AMBAS45_08165,AD45,ester (other),"B: degradative, export uncertain",EC 3.1.2.20 (acyl-CoA hydrolase),
AMBAS45_11310,AD45,ester (other);lipid/ester,"B: degradative, export uncertain",EC 3.1.-.- (Acting on ester bonds) | Pfam GDSL-like Lipase/Acylhydrolase family,
AMBAS45_00820,AD45,ester (other);nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.30.1 (Aspergillus nuclease S1) | GO-MF endonuclease activity,signal:Signal peptide (Sec/SPI)
AMBAS45_11855,AD45,ester (other);organic phosphate,"B: degradative, export uncertain",EC 3.1.-.- (Acting on ester bonds) | Pfam Endonuclease/Exonuclease/phosphatase family,
AMBAS45_16055,AD45,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | Pfam Calcineurin-like phosphoesterase,signal:Signal peptide (Sec/SPI)
AMBAS45_17300,AD45,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.3.1 (alkaline phosphatase),loc:Extracellular;signal:TAT lipoprotein signal peptide (Tat/SPII)
AMBAS45_03065,AD45,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | EC 3.1.3.5 (5^-nucleotidase),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
AMBAS45_05605,AD45,ester (other);organic phosphate,A: degradative + exported,EC 3.1.-.- (Acting on ester bonds) | Pfam Endonuclease/Exonuclease/phosphatase family,signal:Signal peptide (Sec/SPI)
AMBAS45_11940,AD45,lipid/ester,A: degradative + exported,EC 3.1.1.- (Carboxylic ester hydrolases),signal:Signal peptide (Sec/SPI)
AMBAS45_13295,AD45,lipid/ester,A: degradative + exported,EC 3.1.1.4 (phospholipase A2),loc:Outer membrane;signal:Signal peptide (Sec/SPI)
AMBAS45_13590,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
AMBAS45_14080,AD45,lipid/ester,A: degradative + exported,EC 3.1.1.45 (carboxymethylenebutenolidase),loc:Periplasmic
AMBAS45_14330,AD45,lipid/ester,A: degradative + exported,Pfam Putative esterase,signal:Signal peptide (Sec/SPI)
AMBAS45_16175,AD45,lipid/ester,"B: degradative, export uncertain",Pfam Phospholipase D Active site motif,
AMBAS45_00175,AD45,lipid/ester,A: degradative + exported,EC 3.1.1.77 (acyloxyacyl hydrolase),signal:Signal peptide (Sec/SPI)
AMBAS45_00540,AD45,lipid/ester,"B: degradative, export uncertain",Pfam Phospholipase/Carboxylesterase,
AMBAS45_17645,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.96 (D-aminoacyl-tRNA deacylase),
AMBAS45_18160,AD45,lipid/ester,A: degradative + exported,EC 3.1.1.3 (triacylglycerol lipase),signal:Signal peptide (Sec/SPI)
AMBAS45_18680,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.29 (peptidyl-tRNA hydrolase),
AMBAS45_03380,AD45,lipid/ester,A: degradative + exported,Pfam Putative esterase,signal:Signal peptide (Sec/SPI)
AMBAS45_06395,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
AMBAS45_09700,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.- (Carboxylic ester hydrolases),
AMBAS45_09750,AD45,lipid/ester,A: degradative + exported,Pfam Bacterial virulence factor lipase N-terminal,signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_10315,AD45,lipid/ester,A: degradative + exported,Pfam Patatin-like phospholipase,loc:Extracellular
AMBAS45_11675,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.61 (protein-glutamate methylesterase),
AMBAS45_11810,AD45,lipid/ester,"B: degradative, export uncertain",EC 3.1.1.31 (6-phosphogluconolactonase),
AMBAS45_02120,AD45,lipid/ester;protein/peptide,"B: degradative, export uncertain","EC 3.1.1.5 (lysophospholipase) | Pfam Serine aminopeptidase, S33",
AMBAS45_06705,AD45,lipid/ester;protein/peptide,A: degradative + exported,EC 3.1.1.5 (lysophospholipase) | GO-MF peptidase activity,loc:Periplasmic;signal:Signal peptide (Sec/SPI)
AMBAS45_13795,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF DNA endonuclease activity,
AMBAS45_15225,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF nuclease activity,
AMBAS45_00440,AD45,nucleic acid,"B: degradative, export uncertain",Pfam HNH endonuclease,
AMBAS45_16845,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF 3^-5^ exonuclease activity,
AMBAS45_17055,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF RNA nuclease activity,
AMBAS45_19045,AD45,nucleic acid,"B: degradative, export uncertain",Pfam HNH endonuclease,
AMBAS45_01795,AD45,nucleic acid,A: degradative + exported,GO-MF nuclease activity,signal:Signal peptide (Sec/SPI)
AMBAS45_02415,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF RNA nuclease activity,
AMBAS45_02560,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF endonuclease activity,
AMBAS45_04160,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF single-stranded DNA endodeoxyribonuclease activity,
AMBAS45_07450,AD45,nucleic acid,"B: degradative, export uncertain",Pfam HNH endonuclease,
AMBAS45_08325,AD45,nucleic acid,"B: degradative, export uncertain",EC 3.1.26.4 (ribonuclease H),
AMBAS45_09360,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF endonuclease activity,
AMBAS45_10840,AD45,nucleic acid,"B: degradative, export uncertain",GO-MF RNA endonuclease activity,
AMBAS45_11980,AD45,nucleic acid;organic phosphate,A: degradative + exported,Pfam Endonuclease/Exonuclease/phosphatase family | Pfam Endonuclease I,loc:Outer membrane;signal:Signal peptide (Sec/SPI)
AMBAS45_16280,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_00300,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_00350,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_00425,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",GO-MF endonuclease activity | Pfam Membrane domain of glycerophosphoryl diester phosphodiesterase,
AMBAS45_00625,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_01755,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain","EC 3.1.4.58 (RNA 2^,3^-cyclic 3^-phosphodiesterase) | GO-MF 2^,3^-cyclic-nucleotide 3^-phosphodiesterase activity",
AMBAS45_05810,AD45,nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.4.46 (glycerophosphodiester phosphodiesterase) | GO-MF glycerophosphodiester phosphodiesterase activity,loc:Periplasmic
AMBAS45_06995,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_RS20770,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_07600,AD45,nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,signal:Signal peptide (Sec/SPI)
AMBAS45_07900,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_08340,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_08760,AD45,nucleic acid;organic phosphate,A: degradative + exported,Pfam Endonuclease/Exonuclease/phosphatase family | Pfam Endonuclease I,signal:Signal peptide (Sec/SPI)
AMBAS45_08880,AD45,nucleic acid;organic phosphate,A: degradative + exported,EC 3.1.30.- (Endoribonucleases active with either ribo- or deoxyribonucleic acids and producing 5^-phosphomonoesters) | GO-MF endonuclease activity,loc:Extracellular;signal:Signal peptide (Sec/SPI)
AMBAS45_10590,AD45,nucleic acid;organic phosphate,"B: degradative, export uncertain",EC 3.1.4.52 (cyclic-guanylate-specific phosphodiesterase) | GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_11875,AD45,organic phosphate,A: degradative + exported,Pfam Alkaline phosphatase PhoX,signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_12025,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_12595,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.- (Phosphoric monoester hydrolases),
AMBAS45_12935,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.27 (phosphatidylglycerophosphatase),
AMBAS45_13565,AD45,organic phosphate,A: degradative + exported,EC 3.1.3.1 (alkaline phosphatase),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_13845,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_15100,AD45,organic phosphate,A: degradative + exported,"Pfam Beta-lactamase hydrolase-like protein, phosphatase-like domain",signal:Signal peptide (Sec/SPI)
AMBAS45_15105,AD45,organic phosphate,"B: degradative, export uncertain",Pfam Low molecular weight phosphotyrosine protein phosphatase,
AMBAS45_15575,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF phosphoprotein phosphatase activity,
AMBAS45_16115,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF phosphoprotein phosphatase activity,
AMBAS45_16170,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.3 (phosphoserine phosphatase),
AMBAS45_16210,AD45,organic phosphate,"B: degradative, export uncertain",Pfam Chemotaxis phosphatase CheX,
AMBAS45_00390,AD45,organic phosphate,A: degradative + exported,"Pfam Beta-lactamase hydrolase-like protein, phosphatase-like domain",loc:Periplasmic
AMBAS45_00835,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.11 (fructose-bisphosphatase),
AMBAS45_01415,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.18 (phosphoglycolate phosphatase),
AMBAS45_16465,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_16610,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_16985,AD45,organic phosphate,A: degradative + exported,Pfam Alkaline phosphatase PhoX,signal:TAT signal peptide (Tat/SPI)
AMBAS45_18600,AD45,organic phosphate,A: degradative + exported,"Pfam HAD superfamily, subfamily IIIB (Acid phosphatase)",loc:Outer membrane;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_19130,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF phosphoprotein phosphatase activity,
AMBAS45_01885,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_03010,AD45,organic phosphate,"B: degradative, export uncertain",EC 3.1.3.- (Phosphoric monoester hydrolases),
AMBAS45_03215,AD45,organic phosphate,A: degradative + exported,EC 3.1.3.1 (alkaline phosphatase),signal:Signal peptide (Sec/SPI)
AMBAS45_03280,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF phosphoprotein phosphatase activity,
AMBAS45_06040,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF protein histidine phosphatase activity,
AMBAS45_06225,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_06735,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF phosphoprotein phosphatase activity,
AMBAS45_19240,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF ribonucleoside triphosphate phosphatase activity,
AMBAS45_RS21010,AD45,organic phosphate,"B: degradative, export uncertain","Pfam HAD superfamily, subfamily IIIB (Acid phosphatase)",
AMBAS45_07315,AD45,organic phosphate,"B: degradative, export uncertain",GO-MF cyclic-guanylate-specific phosphodiesterase activity,
AMBAS45_08275,AD45,organic phosphate,A: degradative + exported,EC 3.1.3.8 (3-phytase),loc:Extracellular;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_09310,AD45,organic phosphate,A: degradative + exported,EC 3.1.3.16 (protein-serine/threonine phosphatase),loc:Periplasmic
AMBAS45_11985,AD45,protein/peptide,A: degradative + exported,EC 3.4.11.2 (membrane alanyl aminopeptidase),signal:Signal peptide (Sec/SPI)
AMBAS45_12195,AD45,protein/peptide,A: degradative + exported,EC 3.4.16.- (Serine-type carboxypeptidases),signal:Signal peptide (Sec/SPI)
AMBAS45_12380,AD45,protein/peptide,A: degradative + exported,GO-MF metallopeptidase activity,signal:Signal peptide (Sec/SPI)
AMBAS45_12410,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.23.- (Aspartic endopeptidases),
AMBAS45_12485,AD45,protein/peptide,A: degradative + exported,EC 3.4.21.83 (oligopeptidase B),loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_12710,AD45,protein/peptide,A: degradative + exported,GO-MF metallopeptidase activity,signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_12715,AD45,protein/peptide,A: degradative + exported,EC 3.4.21.89 (signal peptidase I),signal:Signal peptide (Sec/SPI)
AMBAS45_13035,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.89 (signal peptidase I),
AMBAS45_13170,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.23.36 (signal peptidase II),
AMBAS45_13535,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.105 (rhomboid protease),
AMBAS45_13600,AD45,protein/peptide,A: degradative + exported,EC 3.4.21.- (Serine endopeptidases),loc:Periplasmic;signal:Signal peptide (Sec/SPI)
AMBAS45_13755,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.22.- (Cysteine endopeptidases),
AMBAS45_13980,AD45,protein/peptide,A: degradative + exported,Pfam Metallopeptidase family M24,signal:Signal peptide (Sec/SPI)
AMBAS45_14040,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.-.- (Acting on peptide bonds (peptidases)),
AMBAS45_14160,AD45,protein/peptide,"B: degradative, export uncertain",Pfam Vault protein inter-alpha-trypsin domain,
AMBAS45_14165,AD45,protein/peptide,A: degradative + exported,EC 3.4.22.70 (sortase A),signal:Signal peptide (Sec/SPI)
AMBAS45_14210,AD45,protein/peptide,A: degradative + exported,EC 3.4.23.- (Aspartic endopeptidases),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_14230,AD45,protein/peptide,A: degradative + exported,EC 3.4.24.- (Metalloendopeptidases),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_14425,AD45,protein/peptide,A: degradative + exported,EC 3.4.13.9 (Xaa-Pro dipeptidase),signal:TAT signal peptide (Tat/SPI)
AMBAS45_14435,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.-.- (Acting on peptide bonds (peptidases)),
AMBAS45_14565,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.23.- (Aspartic endopeptidases),
AMBAS45_14585,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.23.43 (prepilin peptidase),
AMBAS45_14675,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.-.- (Acting on peptide bonds (peptidases)),
AMBAS45_14740,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.16.4 (serine-type D-Ala-D-Ala carboxypeptidase),
AMBAS45_14770,AD45,protein/peptide,A: degradative + exported,EC 3.4.13.19 (membrane dipeptidase),signal:Signal peptide (Sec/SPI)
AMBAS45_14795,AD45,protein/peptide,A: degradative + exported,"Pfam Serine aminopeptidase, S33",signal:Signal peptide (Sec/SPI)
AMBAS45_14845,AD45,protein/peptide,A: degradative + exported,EC 3.4.24.- (Metalloendopeptidases),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_15420,AD45,protein/peptide,A: degradative + exported,Pfam Peptidase family M23,signal:Signal peptide (Sec/SPI)
AMBAS45_15595,AD45,protein/peptide,A: degradative + exported,GO-MF aspartic-type endopeptidase activity,loc:Periplasmic;signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_15935,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.11.1 (leucyl aminopeptidase),
AMBAS45_15960,AD45,protein/peptide,"B: degradative, export uncertain",Pfam Insulinase (Peptidase family M16),
AMBAS45_16105,AD45,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,loc:Extracellular;signal:Signal peptide (Sec/SPI)
AMBAS45_00220,AD45,protein/peptide,A: degradative + exported,EC 3.4.-.- (Acting on peptide bonds (peptidases)),signal:Signal peptide (Sec/SPI)
AMBAS45_00320,AD45,protein/peptide,"B: degradative, export uncertain",EC 3.4.21.105 (rhomboid protease),
AMBAS45_00870,AD45,protein/peptide,A: degradative + exported,EC 3.4.21.102 (C-terminal processing peptidase),signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_00905,AD45,protein/peptide,A: degradative + exported,"Pfam Serine aminopeptidase, S33",signal:Lipoprotein signal peptide (Sec/SPII)
AMBAS45_00950,AD45,protein/peptide,A: degradative + exported,"Pfam Serine aminopeptidase, S33",signal:Signal peptide (Sec/SPI)
AMBAS45_01180,AD45,protein/peptide,"B: degradative, export uncertain","Pfam Serine aminopeptidase, S33",
AMBAS45_16600,AD45,protein/peptide,A: degradative + exported,EC 3.4.14.5 (dipeptidyl-peptidase IV),signal:Signal peptide (Sec/SPI)
AMBAS45_16925,AD45,protein/peptide,A: degradative + exported,EC 3.4.-.- (Acting on peptide bonds (peptidases)),signal:Signal peptide (Sec/SPI)
AMBAS45_16965,AD45,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,signal:Signal peptide (Sec/SPI)
AMBAS45_17280,AD45,protein/peptide,A: degradative + exported,GO-MF serine-type peptidase activity,loc:Extracellular;signal:Signal peptide (Sec/SPI)
